Historic Coal Production Data: 2012
based on the U.S. Energy Information Administration and the U.S. Mine Safety and Health Administration

Year	MSHA ID	Mine Name	Mine State	Mine County	Mine Status	Mine Type	Company Type	Operation Type	Operating Company	Operating Company Address	Union Code	Production (short tons)	Average Employees	Labor Hours
2012	103393	Buttahatchee Mine No 1	Alabama	Marion	Temporarily closed	Surface	Indepedent Producer Operator	Mine only	National Coal Of Ala	"1810 Birmingham Ave, Suite 101, Jasper, AL 35501"	-	"104,852"	14	"32,163"
2012	102976	Piney Woods Preparation Plant	Alabama	Shelby	Active	Surface	Indepedent Producer Operator	Preparation Plant	"Jesse Creek Mining, Llc"	"1669 Mission Hills Road, Alabaster, AL 35007"	-	0	10	"21,438"
2012	102976	Piney Woods Preparation Plant	Alabama	Shelby	Active	Underground	Indepedent Producer Operator	Preparation Plant	"Jesse Creek Mining, Llc"	"1669 Mission Hills Road, Alabaster, AL 35007"	-	0	4	"8,757"
2012	103380	Calera	Alabama	Shelby	Active	Surface	Indepedent Producer Operator	Preparation Plant	Conrad Yelvington Distributors	"13101 Telecom Dr #101, Tampa, FL 33637"	-	0	7	"12,739"
2012	103422	Clark No 1 Mine	Alabama	Shelby	Active	Underground	Indepedent Producer Operator	Mine only	Jesse Creek Mining Llc	"1669 Mission Hills Road, Alabaster, AL 35117"	-	"20,294"	53	"127,254"
2012	101247	No 4 Mine	Alabama	Tuscaloosa	Active	Underground	Indepedent Producer Operator	Mine and Preparation Plant	Jim Walter Resources Inc	"P.O. Box 133, Brookwood, AL 35444"	United Mine Workers of America	"1,903,381"	631	"1,464,939"
2012	101401	No 7 Mine	Alabama	Tuscaloosa	Active	Underground	Indepedent Producer Operator	Mine and Preparation Plant	Jim Walter Resources Inc	"P.O. Box 133, Brookwood, AL 35444"	United Mine Workers of America	"4,764,268"	947	"2,435,004"
2012	103172	"Searles Mine No. 2, 3, 4, 5, 6"	Alabama	Tuscaloosa	Active	Surface	Indepedent Producer Operator	Mine only	"Southland Resources, Inc."	"P.O. Box 770, Cottondale, AL 35453"	-	"354,510"	86	"216,228"
2012	103179	Fleetwood Mine No 1	Alabama	Tuscaloosa	Active	Surface	Indepedent Producer Operator	Mine only	Black Warrior Minerals Inc	"P.O. Box 1190, Sumiton, AL 35148"	-	"110,803"	22	"61,834"
2012	103303	Shannon Mine	Alabama	Tuscaloosa	Active	Surface	Operating Subsidiary	Mine only	"Shannon, Llc"	"74 Industrial Parkway, Jasper, AL 35501"	-	"1,066,664"	364	"751,163"
2012	103323	Deerlick Mine	Alabama	Tuscaloosa	Active	Surface	Indepedent Producer Operator	Mine only	"Cahaba Resources, Llc"	"15567 Hwy 216, Brookwood, AL 35444"	-	"75,229"	16	"35,684"
2012	103362	Brc Alabama No. 4 Llc	Alabama	Tuscaloosa	Active	Surface	Indepedent Producer Operator	Mine and Preparation Plant	Brc Alabama No. 4 Llc	"P.O. Box 157, Brookwood, AL 35444"	-	0	101	"50,959"
2012	103364	Brc Alabama No. 7 Llc	Alabama	Tuscaloosa	Permanently abandoned	Surface	Indepedent Producer Operator	Mine and Preparation Plant	Brc Alabama No. 7 Llc	"P.O. Box 425, Brookwood, AL 35444"	-	0	26	"14,411"
2012	103436	Swann's Crossing	Alabama	Tuscaloosa	Active	Surface	Operating Subsidiary	Mine only	"Tuscaloosa Resources, Inc."	"3000 Riverchase Galleria, Ste, Birmingham, AL 35244"	-	"360,949"	79	"228,063"
2012	100347	Choctaw Mine	Alabama	Walker	Active	Surface	Indepedent Producer Operator	Mine and Preparation Plant	Taft Coal Sales & Associates I	"3000 Riverchase Galleria Ste 1, Birmingham, AL 35244"	-	"615,446"	97	"246,252"
2012	101362	Manchester Mine	Alabama	Walker	Active	Surface	Indepedent Producer Operator	Mine only	Black Warrior Minerals Inc	"P.O. Box 1190, Sumiton, AL 35148"	-	"150,882"	40	"111,699"
2012	102996	Jap Creek Mine	Alabama	Walker	Active	Surface	Operating Subsidiary	Mine only	Reed Minerals Inc	"3699 Industrial Pkwy, Jasper, AL 35501"	-	"292,111"	44	"123,278"
2012	103155	Corinth Prep Plant	Alabama	Walker	Active	Surface	Indepedent Producer Operator	Preparation Plant	Warrior Investment Company Inc	"218 Highway 195, Jasper, AL 35503"	-	0	17	"43,905"
2012	103155	Corinth Prep Plant	Alabama	Walker	Active	Underground	Indepedent Producer Operator	Preparation Plant	Warrior Investment Company Inc	"218 Highway 195, Jasper, AL 35503"	-	0	18	"43,905"
2012	103195	Mccollum/Sparks Branch Mine	Alabama	Walker	Active	Surface	Indepedent Producer Operator	Mine only	"Quality Coal, Inc."	"17405 Hwy 69 S, Jasper, AL 35501"	-	"84,257"	10	"20,528"
2012	103337	Gooden Creek	Alabama	Walker	Active	Surface	Indepedent Producer Operator	Mine only	Birmingham Coal & Coke Co Inc	"912 Edenton St, Birmingham, AL 35242"	-	"69,001"	17	"38,709"
2012	103342	Reese's Branch Mine	Alabama	Walker	Active	Surface	Indepedent Producer Operator	Mine only	"Cedar Lake Mining, Inc"	"2600 Warrior Jasper Road, Warrior, AL 35180"	-	"276,916"	59	"129,126"
2012	103370	Cresent Valley Mine	Alabama	Walker	Temporarily closed	Surface	Indepedent Producer Operator	Mine only	National Coal Of Alabama Inc	"1810 Birmingham Ave, Suite 101, Jasper, AL 35501"	-	"88,003"	12	"28,235"
2012	103372	Cane Creek Mine	Alabama	Walker	Active	Surface	Indepedent Producer Operator	Mine only	Cane Creek Llc	"P.O. Box 1253, Cullman, AL 35056"	-	"6,698"	12	"6,667"
2012	103376	Town Creek	Alabama	Walker	Active	Surface	Operating Subsidiary	Mine only	Reed Minerals Inc	"3699 Industrial Parkway, Jasper, AL 35501"	-	"309,314"	48	"140,943"
2012	103389	Carbon Hill Mine	Alabama	Walker	Active	Underground	Indepedent Producer Operator	Mine only	Prospect Mining And Developmen	"218 Hwy 195, Jasper, AL 35503"	-	"43,144"	35	"77,836"
2012	103398	Kansas Mine	Alabama	Walker	"Active, men working, not producing"	Surface	Indepedent Producer Operator	Mine only	"National Coal Of Alabama, Inc"	"1810 Birmingham Ave, Suite 101, Jasper, AL 35501"	-	"7,798"	2	"1,590"
2012	103410	Coal Valley Mine	Alabama	Walker	Active	Surface	Operating Subsidiary	Mine only	"Xinergy Of Alabama, Inc."	"2600 Warrior Jasper Rd, Warrior, AL 35180"	-	"347,156"	64	"159,645"
2012	103423	Dutton Hill Mine	Alabama	Walker	Active	Surface	Indepedent Producer Operator	Mine only	"Quality Coal Company, Inc."	"17405 Hwy 69 S, Jasper, AL 35501"	-	"53,404"	10	"35,475"
2012	103321	Poplar Springs	Alabama	Winston	Active	Surface	Indepedent Producer Operator	Mine only	National Coal Of Alabama Inc	"1810 Birmingham Ave, Suite 101, Jasper, AL 35501"	-	"372,942"	59	"150,757"
2012	103358	Old Union	Alabama	Winston	Active	Surface	Indepedent Producer Operator	Mine only	Birmingham Coal & Coke Co Inc	"912 Edenton St, Birmingham, AL 35242"	-	"254,088"	46	"124,506"
2012	5000030	Usibelli	Alaska	Yukon-Koyukuk	Active	Surface	Indepedent Producer Operator	Mine and Preparation Plant	Usibelli Coal Mine I	"P.O. Box 1000, Healy, AK 99743"		"2,052,086"	143	"343,176"
2012	201195	Kayenta Mine	Arizona	Navajo	Active	Surface	Operating Subsidiary	Mine and Preparation Plant	Peabody Western Coal Company	"P.O. Box 650, Kayenta, AZ 86033"	United Mine Workers of America	"7,493,276"	432	"1,015,929"
2012	301569	Penny #1	Arkansas	Sebastian	Active	Surface	Indepedent Producer Operator	Mine only	Comer Mining Company	"P.O. Box 986, Greenwood, AR 72936"	-	"1,921"	3	"5,164"
2012	301736	Sebastian Mine	Arkansas	Sebastian	Active	Underground	Indepedent Producer Operator	Mine and Preparation Plant	South Central Coal Co. Inc.	"P.O. Box 6, Spiro, OK 74959"	-	"96,200"	70	"163,599"
2012	503818	Terror Creek Loadout	Colorado	Delta	Active	Underground	Indepedent Producer Operator	Preparation Plant	Terror Creek Llc	"1840 Hwy 133, Paonia, CO 81428"	-	0	5	"6,362"
2012	504591	Bowie No 2 Mine	Colorado	Delta	Active	Underground	Indepedent Producer Operator	Mine and Preparation Plant	Bowie Resources Llc	"P.O. Box 1488, Paonia, CO 81428"	-	"3,430,291"	331	"702,387"
2012	503672	West Elk Mine	Colorado	Gunnison	Active	Underground	Operating Subsidiary	Mine and Preparation Plant	"Mountain Coal Company, L.L.C."	"P.O. Box 591, Somerset, CO 81434"	-	"6,852,136"	367	"807,767"
2012	504674	Elk Creek Mine	Colorado	Gunnison	Active	Underground	Operating Subsidiary	Mine only	"Oxbow Mining, Llc"	"P.O. Box 535, Somerset, CO 81434"	-	"2,958,014"	346	"656,262"
2012	504864	King Ii	Colorado	La Plata	Active	Underground	Operating Subsidiary	Mine only	Gcc Energy Llc	"6473 County Road 120, Hesperus, CO 81326"	-	"639,003"	81	"202,386"
2012	500296	New Elk Mine	Colorado	Las Animas	"Active, men working, not producing"	Underground	Indepedent Producer Operator	Mine and Preparation Plant	New Elk Coal Company Llc	"122 W. 1st Street, Trinidad, CO 81082"	-	"51,272"	96	"106,717"
2012	504461	New Elk Prep Plant	Colorado	Las Animas	"Active, men working, not producing"	Underground	Indepedent Producer Operator	Preparation Plant	New Elk Coal Company Llc	"122 W First, Trinidad, CO 81082"	-	0	77	"63,841"
2012	504975	Bates Portals	Colorado	Las Animas	"Active, men working, not producing"	Underground	Indepedent Producer Operator	Mine only	New Elk Coal Company Llc	"12250 Hy12, Weston, CO 81091"	-	"18,048"	39	"32,955"
2012	502838	Trapper Mine	Colorado	Moffat	Active	Surface	Indepedent Producer Operator	Mine only	Trapper Mining Inc	"P.O. Box 187, Craig, CO 81626"	International Union of Operation Engineers	"2,301,237"	185	"383,306"
2012	502962	Colowyo Mine	Colorado	Moffat	Active	Surface	Operating Subsidiary	Mine and Preparation Plant	Colowyo Coal Company L P	"5731 State Highway 13, Meeker, CO 81641"	-	"2,265,362"	261	"509,347"
2012	500299	New Horizon Mine	Colorado	Montrose	Active	Surface	Operating Subsidiary	Mine only	"Western Fuels-Colorado, Llc"	"P.O. Box 628, Nucla, CO 81424"		"353,398"	27	"52,511"
2012	503505	Deserado Mine	Colorado	Rio Blanco	Active	Underground	Indepedent Producer Operator	Mine and Preparation Plant	Blue Mountain Energy Inc	"3607 County Road #65, Rangely, CO 81648"	United Mine Workers of America	"1,673,461"	174	"341,182"
2012	503836	Foidel Creek Mine	Colorado	Routt	Active	Underground	Operating Subsidiary	Mine and Preparation Plant	Peabody Twentymile Mining Llc	"29515 Routt Cnty Rd#27, Oak Creek, CO 80467"	-	"7,974,732"	497	"1,033,083"
2012	504952	Peabody Sage Creek Mine	Colorado	Routt	"Active, men working, not producing"	Underground	Operating Subsidiary	Mine only	"Peabody Sage Creek Mining, Llc"	"29515 Rcr 33, Oak Creek, CO 80467"	-	"49,140"	19	"36,801"
2012	1103189	Mc#1 Mine	Illinois	Franklin	Active	Underground	Indepedent Producer Operator	Mine and Preparation Plant	M-Class Mining Llc	"11351 N. Thompsonville Rd., Macedonia, IL 62860"	-	"4,690,260"	241	"576,133"
2012	1103017	Wildcat Hills Mine - Cottage G	Illinois	Gallatin	Active	Surface	Operating Subsidiary	Mine and Preparation Plant	"Peabody Midwest Mining, Llc"	"7100 Eagle Crest Blvd., Suite, Evansville, IN 47715"	-	"1,997,441"	189	"456,358"
2012	1103020	Creek Paum Mine	Illinois	Jackson	Active	Surface	Indepedent Producer Operator	Mine and Preparation Plant	Knight Hawk Coal Llc	"500 Cuttler-Trico Road, Percy, IL 62272"	-	"91,585"	19	"31,511"
2012	1103020	Creek Paum Mine	Illinois	Jackson	Active	Underground	Indepedent Producer Operator	Mine and Preparation Plant	Knight Hawk Coal Llc	"500 Cuttler-Trico Road, Percy, IL 62272"	-	0	12	"6,105"
2012	1103140	Cora Terminal	Illinois	Jackson	Active	Surface	Indepedent Producer Operator	Preparation Plant	Kinder Morgan Operating Lp	"262 Cora Road, Rockwood, IL 62280"	International Union of Operation Engineers	0	49	"92,512"
2012	1103209	North Grindstone Mine	Illinois	Mcdonough	Permanently abandoned	Surface	Operating Subsidiary	Mine and Preparation Plant	Black Nugget Llc	"P.O. Box 235, Industry, IL 61440"	-	"183,641"	26	"53,231"
2012	1100726	Shay #1 Mine	Illinois	Macoupin	Active	Underground	Indepedent Producer Operator	Mine and Preparation Plant	Maryan Mining Llc	"14300 Brushy Mound Rd, Carlinville, IL 62626"	-	"1,702,286"	128	"290,427"
2012	1102632	Crown Iii Mine	Illinois	Macoupin	Active	Underground	Indepedent Producer Operator	Mine and Preparation Plant	"Tri County Coal, Llc"	"2 Mine Avenue/P. O. Box 139, Farmersville, IL 62533"	United Mine Workers of America	"811,103"	204	"424,175"
2012	1103182	Deer Run Mine	Illinois	Montgomery	Active	Underground	Indepedent Producer Operator	Mine and Preparation Plant	Patton Mining Llc	"211 N Broadway,ste 2600, St. Louis, MO 63102"	-	"2,365,356"	128	"300,594"
2012	1103045	Red Hawk	Illinois	Perry	Active	Surface	Indepedent Producer Operator	Mine and Preparation Plant	"Knight Hawk Coal, Llc"	"500 Cutler-Trico Road, Percy, IL 62272"	-	"514,339"	43	"92,953"
2012	1103143	Prairie Eagle	Illinois	Perry	Active	Surface	Indepedent Producer Operator	Mine and Preparation Plant	"Knight Hawk Coal, Llc"	"500 Cutler-Trico Road, Percy, IL 62272"	-	"201,694"	10	"62,829"
2012	1103143	Prairie Eagle	Illinois	Perry	Active	Underground	Indepedent Producer Operator	Mine and Preparation Plant	"Knight Hawk Coal, Llc"	"500 Cutler-Trico Road, Percy, IL 62272"	-	0	76	"49,056"
2012	1103147	Prairie Eagle-Underground	Illinois	Perry	Active	Underground	Indepedent Producer Operator	Mine only	"Knight Hawk Coal, Llc"	"500 Cutler-Trico Rd, Percy, IL 62272"	-	"1,856,866"	132	"289,992"
2012	1103205	Prairie Eagle South Undergroun	Illinois	Perry	Active	Underground	Indepedent Producer Operator	Mine only	Knight Hawk Coal Llc	"500 Cutler-Trico Road, Percy, IL 62272"	-	"980,937"	57	"118,768"
2012	1102408	Gateway Mine	Illinois	Randolph	Active	Underground	Indepedent Producer Operator	Mine only	"Peabody Midwest Mining, Llc"	"7100 Eagle Crest Blvd., Suite, Evansville, IN 47715"	-	"2,766,139"	224	"460,807"
2012	1102546	Preparation Plant	Illinois	Randolph	Active	Underground	Indepedent Producer Operator	Preparation Plant	"Peabody Midwest Mining, Llc"	"P.O. Box 397, Coulterville, IL 62237"	-	0	29	"71,792"
2012	1103224	Kellogg Terminal	Illinois	Randolph	Active	Surface	Indepedent Producer Operator	Preparation Plant	"Kellogg Terminal, Llc"	"No. 2 Monsanto Ave., Sauget, IL 62201"	-	0	5	"7,504"
2012	1103224	Kellogg Terminal	Illinois	Randolph	Active	Underground	Indepedent Producer Operator	Preparation Plant	"Kellogg Terminal, Llc"	"No. 2 Monsanto Ave., Sauget, IL 62201"	-	0	4	"7,504"
2012	1103226	Hawkeye Mine	Illinois	Randolph	Active	Surface	Indepedent Producer Operator	Mine only	"Knight Hawk Coal, Llc"	"500 Cutler-Trico Road, Percy, IL 62272"	-	"437,856"	29	"51,079"
2012	1103248	Black Hawk	Illinois	Randolph	Active	Surface	Indepedent Producer Operator	Mine only	Knight Hawk Coal Llc	"500 Cutler/Trico Road, Percy, IL 62272"	-	"158,810"	20	"28,934"
2012	1103225	Kinder Morgan Cahokia Terminal	Illinois	St Clair	Active	Surface	Indepedent Producer Operator	Preparation Plant	"Kinder Morgan Operating Lp, ""c"	"#2 Monsanto Avenute, Sauget, IL 62201"	-	0	34	"58,430"
2012	1103225	Kinder Morgan Cahokia Terminal	Illinois	St Clair	Active	Underground	Indepedent Producer Operator	Preparation Plant	"Kinder Morgan Operating Lp, ""c"	"#2 Monsanto Avenute, Sauget, IL 62201"	-	0	22	"38,953"
2012	1102752	The American Coal Company New	Illinois	Saline	Active	Underground	Operating Subsidiary	Mine and Preparation Plant	The American Coal Company	"P.O. Box 727, Harrisburg, IL 62946"	-	"5,641,788"	595	"1,401,825"
2012	1103054	Willow Lake Portal	Illinois	Saline	"Active, men working, not producing"	Underground	Operating Subsidiary	Mine only	Big Ridge Inc	"420 Long Lane Road, Equality, IL 62934"		"2,086,367"	407	"890,359"
2012	1103099	Willow Lake Central Preparatio	Illinois	Saline	Active	Surface	Operating Subsidiary	Preparation Plant	Big Ridge Inc	"420 Long Lane Road, Equality, IL 62934"		0	9	"18,625"
2012	1103099	Willow Lake Central Preparatio	Illinois	Saline	Active	Underground	Operating Subsidiary	Preparation Plant	Big Ridge Inc	"420 Long Lane Road, Equality, IL 62934"		0	36	"70,066"
2012	1103156	Wildcat Hills Mine-Underground	Illinois	Saline	Active	Underground	Operating Subsidiary	Mine only	"Peabody Midwest Mining, Llc"	"7100 Eagle Crst Blvd, #100, Evansville, IN 47715"	-	"1,457,906"	171	"386,652"
2012	1103212	Eagle River Coal Llc Mine No 1	Illinois	Saline	Active	Surface	Indepedent Producer Operator	Mine only	Eagle River Coal Llc	"29 W. Raymond St, Harrisburg, IL 62946"	-	"624,983"	47	"118,599"
2012	1103232	New Future Mine	Illinois	Saline	Active	Underground	Operating Subsidiary	Mine and Preparation Plant	The American Coal Company	"P.O. Box 727, Harrisburg, IL 62946"	-	"3,642,169"	380	"894,438"
2012	1102664	Viper Mine	Illinois	Sangamon	Active	Underground	Operating Subsidiary	Mine and Preparation Plant	"Arch Coal, Inc."	"5945 Lester Road, Williamsville, IL 62693"	-	"2,108,054"	312	"672,033"
2012	1103064	Friendsville Mine	Illinois	Wabash	Active	Surface	Operating Subsidiary	Mine only	Friendsville Mine Llc	"528 Main St, Ste 202, Evansville, IN 47708"	-	"1,439,028"	94	"239,626"
2012	1103193	Lively Grove Mine	Illinois	Washington	Active	Underground	Indepedent Producer Operator	Mine only	Prairie State Generating Compa	"4274 County Hwy 12, Marissa, IL 62257"	-	"2,818,895"	286	"638,255"
2012	1103058	Pattiki	Illinois	White	Active	Underground	Operating Subsidiary	Mine and Preparation Plant	"White County Coal, Llc"	"P.O. Box 457, Carmi, IL 62821"	-	"2,380,484"	315	"838,129"
2012	1103141	Mach #1 Mine	Illinois	Williamson	Active	Underground	Indepedent Producer Operator	Mine and Preparation Plant	Mach Mining Llc	"P.O. Box 300, Johnston City, IL 62951"	-	"7,528,061"	179	"444,099"
2012	1202397	Chinook Plant	Indiana	Clay	Active	Surface	Indepedent Producer Operator	Preparation Plant	"Bowie Refined Coal Chinook, Ll"	"3589 N County Rd 500 W, Brazil, IN 47834"	-	0	9	"21,065"
2012	1201732	Craney Mine	Indiana	Daviess	Active	Surface	Indepedent Producer Operator	Mine and Preparation Plant	Solar Sources Inc	"Post Office Box 7, Petersburg, IN 47567"	-	"50,953"	49	"52,911"
2012	1201946	Viking Mine - Corning Pit	Indiana	Daviess	Active	Surface	Operating Subsidiary	Mine and Preparation Plant	"Peabody Midwest Mining, Llc"	"P.O. Box 28, Montgomery, IN 47558"	-	"1,324,249"	129	"303,031"
2012	1202372	Antioch Mine	Indiana	Daviess	Active	Surface	Indepedent Producer Operator	Mine and Preparation Plant	"Solar Sources, Inc."	"P.O. Box 7, Petersburg, IN 47567"	-	"907,377"	82	"187,699"
2012	1202374	Shamrock Mine	Indiana	Dubois	Active	Surface	Indepedent Producer Operator	Mine and Preparation Plant	"Solar Sources, Inc."	"625 N. Ninth St., Petersburg, IN 47567"	-	"867,123"	91	"200,625"
2012	1202147	Francisco Mine	Indiana	Gibson	"Active, men working, not producing"	Underground	Operating Subsidiary	Preparation Plant	"Peabody Midwest Mining, Llc"	"7100 Eagle Crest Blvd. Ste 100, Evansville, IN 47715"	-	0	39	"87,073"
2012	1202207	Somerville	Indiana	Gibson	Active	Surface	Operating Subsidiary	Mine and Preparation Plant	United Minerals Co Llc	"P.O. Box 400, Huntingburg, IN 47542"	-	"667,280"	42	"124,423"
2012	1202215	Gibson Mine	Indiana	Gibson	Active	Underground	Operating Subsidiary	Mine and Preparation Plant	Gibson County Coal Llc	"P.O. Box 1269, Princeton, IN 47670"	-	"3,432,223"	359	"887,653"
2012	1202258	Somerville Central Mine	Indiana	Gibson	Active	Surface	Operating Subsidiary	Mine and Preparation Plant	"Peabody Midwest Mining, Llc"	"7100 Eagle Crest Blvd  Ste 100, Evansville, IN 47715"	-	"2,346,620"	174	"429,672"
2012	1202295	Francisco Underground Pit	Indiana	Gibson	Active	Underground	Operating Subsidiary	Mine only	"Peabody Midwest Mining, Llc"	"P.O. Box 347, Francisco, IN 47649"	-	"2,756,107"	282	"602,051"
2012	1202097	Switz City	Indiana	Greene	Active	Surface	Operating Subsidiary	Preparation Plant	Triad Mining Inc	"14521 W State Road 58, Edwardsport, IN 47528"	-	0	2	"3,748"
2012	1202097	Switz City	Indiana	Greene	Active	Underground	Operating Subsidiary	Preparation Plant	Triad Mining Inc	"14521 W State Road 58, Edwardsport, IN 47528"	-	0	1	"2,944"
2012	1202010	Air Quality #1 Mine	Indiana	Knox	"Active, men working, not producing"	Underground	Contractor	Mine only	"Peabody Midwest Mining, Llc"	"P.O. Box 409, Monroe City, IN 47557"	-	"862,249"	173	"393,438"
2012	1202167	Freelandville Mine	Indiana	Knox	Active	Surface	Operating Subsidiary	Mine and Preparation Plant	Triad Mining Inc	"14521 E State Road 58, Edwardsport, IN 47528"	-	"128,460"	31	"58,417"
2012	1202167	Freelandville Mine	Indiana	Knox	Active	Underground	Operating Subsidiary	Mine and Preparation Plant	Triad Mining Inc	"14521 E State Road 58, Edwardsport, IN 47528"	-	0	45	"28,296"
2012	1202189	Air Quality South Wash Plant	Indiana	Knox	"Active, men working, not producing"	Underground	Operating Subsidiary	Preparation Plant	"Peabody Midwest Mining, Llc"	"7100 Eagle Crest Blvd  Ste 100, Evansville, IN 47715"	-	0	19	"55,491"
2012	1202316	Freelandville Underground	Indiana	Knox	Active	Underground	Operating Subsidiary	Mine only	"Triad Underground Mining, L.L."	"14972 East S.R. 58, Edwardsport, IN 47528"	-	"368,964"	47	"112,500"
2012	1202339	Freelandville East	Indiana	Knox	Active	Surface	Operating Subsidiary	Mine only	Triad Mining Inc	"14521 E State Road 58, Edwardsport, IN 47528"	-	"326,835"	22	"49,091"
