Type	Region	States	Name	Fiscal year	Funding
Recovery Land Acquisition	4	AR	Land Acquisition along the Saline River for the Recovery of Winged Mapleleaf (mussel); Pink Mucket (mussel); Red-cockaded Woodpecker; and Rabbitsfoot (mussel), Ashley County	2015	$901,791
Recovery Land Acquisition	8	CA	Mojave River Riparian Areas- Palisades Ranch, San Bernardino County	2015	$1,300,000
Recovery Land Acquisition	8	CA	San Diego Vernal Pool Species, San Diego County	2015	$1,000,000
Recovery Land Acquisition	6	CO	Washburn Ranch Conservation Easement, Montezuma County	2015	$231,175
Recovery Land Acquisition	1	HI	Pua’ahala Watershed Acquisition, Maui County	2015	$1,566,875
Recovery Land Acquisition	1	ID	Spalding’s Catchfly Conservation Phase II, Latah County	2015	$454,475
Recovery Land Acquisition	3	MI	Acquisition of Karner Blue Butterfly Habitat, Newaygo County	2015	$42,926
Recovery Land Acquisition	5	NJ	Bog Turtle Recovery in Northern New Jersey, Project 1, Sussex County	2015	$75,000
Recovery Land Acquisition	5	NJ	Bog Turtle Recovery in Northern New Jersey, Project 2, Sussex County	2015	$375,000
Recovery Land Acquisition	5	NJ	Indiana Bat Recovery/Mt. Hope Mine, Morris County	2015	$500,000
Recovery Land Acquisition	4	NC	Land Acquisition to Benefit Plant Recovery at Bat Fork Bog for the Endangered Bunched Arrowhead and Threatened Swamp Pink, Henderson County	2015	$41,746
Recovery Land Acquisition	4	NC	Protection of North Carolina’s Only Canby’s Dropwort Site- Mcintosh Bays, Scotland County	2015	$37,479
Recovery Land Acquisition	1	OR	Deming and Sun Creek Easements, Klamath County	2015	$590,431
Recovery Land Acquisition	4	TN	Sherwood Forest Land Acquisition, Franklin County	2015	$800,000
Recovery Land Acquisition	2	TX	Prime Prairie and Wetland Habitat for Whooping Cranes Wintering in Texas, Refugio and Calhoun Counties	2015	$316,800
Recovery Land Acquisition	6	UT	Acquisition of Land for the Holmgren Milkvetch Preserve, Washington County	2015	$122,005
Recovery Land Acquisition	5	VT	Athens Dome Wetlands Complex Phase II, Windham County	2015	$330,000
Recovery Land Acquisition	1	WA	Grand Coulee Ranch, Douglas County	2015	$596,958
Recovery Land Acquisition	1	WA	West Rocky Prairie 2015, Thurston County	2015	$2,000,000
Recovery Land Acquisition	3	WI	Prairie Bush Clover Project at Empire State Natural Area, Dane County	2015	$122,500
