State	rank	HS6	Abbreviation	val2011	val2012	val2013	val2014	share11	share12	share13	share14	change
Alabama	11	900120	SHEETS AND PLATES OF POLARIZING MATERIAL	55.22	150.72	236.41	264.8	0.308	0.7698	1.2255	1.3567	12.01
Alabama	12	20714	CHICKEN CUTS AND EDIBLE OFFAL (INC LIVERS), F	388.02	422.78	350.28	262.49	2.1644	2.1595	1.8157	1.3449	-25.06
Alabama	13	120190	SOYBEANS, NESOI	0	59.36	29.5	243.59	0	0.3032	0.1529	1.2481	725.63
Alabama	14	721914	FR SS 600MM AO W HR CLS UN 3MM THCK	0.02	0.5	47.28	180.24	0.0001	0.0026	0.2451	0.9235	281.18
Alabama	15	870830	BRAKES AND SERVO-BREAKS; PARTS THEREOF	113.91	121.37	119.64	180.24	0.6354	0.6199	0.6202	0.9235	50.65
Alabama	16	293090	ORGANO-SULFUR COMPOUNDS NESOI	167.24	177.28	185.62	174.86	0.9329	0.9055	0.9622	0.8959	-5.8
Alabama	17	840820	COMPRESSION-IGNTN INT COMBUSTION PISTON ENGIN	340.91	297.05	172.69	134.4	1.9016	1.5173	0.8952	0.6886	-22.17
Alabama	18	870880	SUSPENSION SHOCK ABSORBERS FOR MOTOR VEHICLES	141.89	144.86	136.81	131.03	0.7914	0.7399	0.7092	0.6714	-4.22
Alabama	19	721913	FR SS 600MM AO W HR CLS 3-UN 4.75MM THCK	0.4	0.6	25.94	118.38	0.0022	0.0031	0.1345	0.6065	356.38
Alabama	20	440710	CONIFEROUS WOOD SAWN, SLICED ETC, OVER 6 MM T	101.12	83.76	94.46	118.16	0.5641	0.4278	0.4896	0.6054	25.09
Alabama	21	290711	PHENOL (HYDROXYBENZENE) AND ITS SALTS	224.52	193.03	111.59	114.5	1.2524	0.986	0.5785	0.5866	2.6
Alabama	22	760612	ALUMINUM ALLOY RECT PLATES ETC, OVER .2 MM TH	201.02	139.36	164.28	110.91	1.1213	0.7119	0.8516	0.5683	-32.49
Alabama	23	381590	REACTION INITIATORS & ACCELERATORS, ETC, NESO	42.75	57.98	74.88	102.4	0.2385	0.2961	0.3882	0.5247	36.76
Alabama	24	842139	FILTER/PURIFY MACHINE & APPARATUS FOR GASES N	28.44	10.87	61.58	97.86	0.1587	0.0555	0.3192	0.5014	58.92
Alabama	25	870829	PTS & ACCESS OF BODIES OF MOTOR VEHICLES, NES	78.22	79.03	105.01	96.87	0.4363	0.4037	0.5443	0.4963	-7.75
Alaska	0	0	World	5258.94	4543.39	4527.64	5153.12	0.3547	0.2939	0.2866	0.3175	13.81
Alaska	0	25	Top 25	3065.03	4138.03	4275.21	4893.62	58.2824	91.0781	94.4245	94.9643	14.47
Alaska	1	260800	ZINC ORES AND CONCENTRATES	972.36	795.97	813.8	1073.12	18.4897	17.5192	17.9739	20.8247	31.87
Alaska	2	260700	LEAD ORES AND CONCENTRATES	494.84	428.07	389.33	350.77	9.4094	9.4217	8.599	6.807	-9.9
Alaska	3	30499	FISH MEAT, FROZEN, NESOI	319.09	369.28	341.21	347.98	6.0677	8.1278	7.5362	6.7528	1.98
Alaska	4	30475	ALASKA POLLOCK FILLETS, FROZEN	0	206.8	283.59	318.96	0	4.5517	6.2635	6.1896	12.47
Alaska	5	30389	FISH, FROZEN, NESOI	0	377.88	251.23	269.77	0	8.3171	5.5488	5.235	7.38
Alaska	6	30363	COD, FROZEN	0	249.68	231.44	252.22	0	5.4954	5.1117	4.8946	8.98
Alaska	7	30390	FISH LIVERS AND ROES, FROZEN	0	214.54	245.68	224.23	0	4.7221	5.4262	4.3513	-8.73
Alaska	8	271111	NATURAL GAS, LIQUEFIED	210.19	144.92	0	216.98	3.9968	3.1896	0	4.2107	0
Alaska	9	271019	PETROL OIL BITUM MINERAL (NT CRUD) ETC NT BIO	125.37	177.96	284.88	216.33	2.384	3.9168	6.292	4.198	-24.06
Alaska	10	30312	PACIFIC SALMON, FROZEN, NESOI	0	147.01	257.59	209.01	0	3.2357	5.6892	4.0561	-18.86
Alaska	11	260300	COPPER ORES AND CONCENTRATES	199.28	169.49	150.2	186.23	3.7894	3.7305	3.3175	3.614	23.99
Alaska	12	30339	FLAT FISH NESOI EXCEPT FILLETS, LIVERS,  ROES	74.28	85.1	161.41	163.67	1.4124	1.873	3.5649	3.1762	1.4
Alaska	13	261690	PRECIOUS METAL ORES & CONCENTRATES, EXCEPT SI	142.12	107.99	140.29	139.94	2.7024	2.377	3.0986	2.7156	-0.25
Alaska	14	30367	ALASKA POLLOCK, FROZEN	0	105.49	111.68	131.97	0	2.3219	2.4667	2.5609	18.16
Alaska	15	440320	CONIFEROUS WOOD IN THE ROUGH, NOT TREATED	118.14	150.96	162.55	122.52	2.2465	3.3225	3.5903	2.3776	-24.63
Alaska	16	880000	CIVILIAN AIRCRAFT, ENGINES, AND PARTS	33.03	72.6	46.16	103.7	0.6281	1.5978	1.0195	2.0123	124.64
Alaska	17	890520	FLOATING OR SUBMERSIBLE DRILLING OR PRODCTN,P	0	0	0	100	0	0	0	1.9406	0
Alaska	18	230120	FLOUR MEAL & PELLET OF FISH CRUSTACEANS ETC I	62.23	43.97	77.18	99.74	1.1833	0.9677	1.7046	1.9355	29.23
Alaska	19	30614	CRABS, INCLUDING IN SHELL, FROZEN	113.39	125.77	99.25	97.34	2.1561	2.7682	2.1922	1.889	-1.93
Alaska	20	30311	SOCKEYE SALMON, FROZEN	131.81	89.1	60.57	93.46	2.5064	1.9612	1.3377	1.8137	54.32
Alaska	21	270900	CRUDE OIL FROM PETROLEUM AND BITUMINOUS MINER	0.02	0	50.44	85	0.0003	0	1.1141	1.6495	68.51
Alaska	22	30351	HERRINGS, FROZEN	38.03	22.93	45.17	38.39	0.7231	0.5048	0.9977	0.7451	-15.01
Alaska	23	30213	PACIFIC SALMON, FRESH OR CHILLED	0	19.93	21.15	18.65	0	0.4386	0.4672	0.362	-11.82
Alaska	24	270119	COAL NESOI, NOT AGGLOMERATED	30.86	30.63	26.71	17.08	0.5867	0.6741	0.59	0.3314	-36.06
Alaska	25	271012	LT OILS, PREPS GT=70% PETROLEUM/BITUM NT BIOD	0	1.99	23.68	16.55	0	0.0437	0.523	0.3212	-30.1
Arizona	0	0	World	17884.51	18405.18	19410.15	21123.58	1.2064	1.1907	1.2288	1.3013	8.83
Arizona	0	25	Top 25	7927.99	8336.07	9692.78	10716.64	44.3288	45.292	49.9367	50.7331	10.56
Arizona	1	880000	CIVILIAN AIRCRAFT, ENGINES, AND PARTS	1973.2	2207.33	2776.77	2228.77	11.033	11.993	14.3058	10.5511	-19.74
Arizona	2	260300	COPPER ORES AND CONCENTRATES	757.03	889.67	1547.69	2177.73	4.2329	4.8338	7.9736	10.3095	40.71
Arizona	3	854231	PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG	1278.55	1202.67	1151.88	878.67	7.1489	6.5344	5.9344	4.1597	-23.72
Arizona	4	854239	ELECTRONIC INTEGRATED CIRCUITS, NESOI	473.58	550.67	646.31	748.49	2.648	2.9919	3.3297	3.5434	15.81
Arizona	5	271121	NATURAL GAS, GASEOUS	376.98	372.75	540.04	643.1	2.1078	2.0252	2.7822	3.0445	19.09
Arizona	6	930690	BOMB MINES OT AMMNTION PROJCTIONS ETC AND PAR	254.7	353.73	414.6	410.23	1.4242	1.9219	2.136	1.942	-1.05
Arizona	7	853890	PT F ELECT APPR F ELECT CIRCT; F ELCT CONTRL	407.96	409.88	345.13	402.07	2.2811	2.227	1.7781	1.9034	16.5
Arizona	8	854150	SEMICNDCTR DVICE EX PHOTOSENSITIVE/PHOTOVOLTA	55.11	43.36	44.77	345.36	0.3082	0.2356	0.2307	1.635	671.41
Arizona	9	851762	MACH FOR RECP/CONVR/TRANS/REGN OF VOICE/IMAGE	400.59	259.21	228.46	271.59	2.2398	1.4083	1.177	1.2857	18.88
Arizona	10	902139	ARTIFICIAL JOINTS & PARTS & ACCESSORIES THERO	186.42	214.81	185.33	232.78	1.0424	1.1671	0.9548	1.102	25.6
Arizona	11	853710	CONTROLS ETC W ELECT APPR F ELECT CONT NOV 10	88.58	102.9	106.65	197.6	0.4953	0.5591	0.5495	0.9354	85.27
Arizona	12	848620	MACHINES FOR MAN. SEMICONDUTOR DEVICES/ELEC I	88.13	95.2	126.36	195.69	0.4927	0.5172	0.651	0.9264	54.87
Arizona	13	853669	ELECT PLUGS & SOCKETS F VOLTAGE NOT OVER 1000	191.48	202.2	189.83	192.49	1.0707	1.0986	0.978	0.9113	1.4
Arizona	14	261390	MOLYBDENUM ORES AND CONCENTRATES NOT ROASTED	183.4	203.84	228.15	185.71	1.0255	1.1075	1.1754	0.8792	-18.6
Arizona	15	392690	ARTICLES OF PLASTICS, NESOI	153.51	148.95	146.85	178.96	0.8583	0.8093	0.7566	0.8472	21.87
Arizona	16	230400	SOYBEAN OILCAKE & OTH SOLID RESIDUE, WH/NOT G	121.72	137.51	93.49	172.76	0.6806	0.7471	0.4816	0.8178	84.79
Arizona	17	847150	DIGITAL PROCESSING UNITS, N.E.S.O.I.	108.98	113.14	151.2	154.69	0.6093	0.6147	0.7789	0.7323	2.31
Arizona	18	520100	COTTON, NOT CARDED OR COMBED	365.02	324.92	252.57	152.69	2.041	1.7654	1.3012	0.7228	-39.55
Arizona	19	847330	PARTS & ACCESSORIES FOR ADP MACHINES & UNITS	191.91	151.9	155.97	149.93	1.0731	0.8253	0.8035	0.7098	-3.87
Arizona	20	210690	FOOD PREPARATIONS NESOI	35.88	65.79	89	138.99	0.2006	0.3575	0.4585	0.658	56.16
Arizona	21	880212	HELICOPTERS OF AN UNLADEN WEIGHT EXCEEDING 20	0	10.93	5.28	138.18	0	0.0594	0.0272	0.6542	2517.23
Arizona	22	853690	ELECT APPR F PRTCT TO ELECT CIRCT NOV 1000 V	158.12	139.9	131.96	135.03	0.8841	0.7601	0.6799	0.6392	2.32
Arizona	23	841111	TURBOJETS OF A THRUST NOT EXCEEDING 25 KN	7.69	7.63	19.11	131.78	0.043	0.0415	0.0984	0.6239	589.63
Arizona	24	300490	MEDICAMENTS NESOI, MEASURED DOSES, RETAIL PK	15.86	66.08	45.52	129.06	0.0887	0.359	0.2345	0.611	183.53
Arizona	25	740811	COPPER WIRE, REFINED COPPER OVER 6MM MAX CR-S	53.59	61.12	69.88	124.29	0.2997	0.3321	0.36	0.5884	77.86
Arkansas	0	0	World	5610.95	7615.39	7153.97	6856.92	0.3785	0.4927	0.4529	0.4224	-4.15
Arkansas	0	25	Top 25	2614.94	4302.63	3915.01	3829.09	46.6042	56.4992	54.725	55.8427	-2.19
Arkansas	1	880000	CIVILIAN AIRCRAFT, ENGINES, AND PARTS	485.62	1862	1843.93	1627.97	8.6548	24.4505	25.7749	23.742	-11.71
Arkansas	2	853669	ELECT PLUGS & SOCKETS F VOLTAGE NOT OVER 1000	69.99	102.33	99.87	229.77	1.2475	1.3438	1.396	3.3509	130.07
Arkansas	3	20714	CHICKEN CUTS AND EDIBLE OFFAL (INC LIVERS), F	389.83	325.78	242.93	213.15	6.9477	4.2779	3.3957	3.1086	-12.26
Arkansas	4	100630	RICE, SEMI- OR WHOLLY MILLED, POLISHED ETC OR	205.19	152.04	173.76	179.74	3.657	1.9965	2.4289	2.6213	3.44
Arkansas	5	481151	PPR/PBRD,CTD/IMPG/CVR W/PLAST,BLEACH,WT>150G/	140.19	137.78	145.59	174.31	2.4984	1.8092	2.0351	2.5421	19.73
Arkansas	6	293090	ORGANO-SULFUR COMPOUNDS NESOI	73.66	122.09	125.97	125.31	1.3128	1.6032	1.7609	1.8275	-0.53
Arkansas	7	848180	TAPS COCKS ETC F PIPE VAT INC THERMO CONTROL	53.15	107.19	98.47	111.06	0.9473	1.4075	1.3765	1.6197	12.78
Arkansas	8	390390	POLYMERS OF STYRENE NESOI, IN PRIMARY FORMS	23.35	52.65	57.37	80.74	0.4162	0.6914	0.802	1.1775	40.72
Arkansas	9	290399	HALOGENATED DERIV OF AROMATIC HYDROCARBONS, N	0	81.14	74.35	78.24	0	1.0655	1.0393	1.1411	5.23
Arkansas	10	930690	BOMB MINES OT AMMNTION PROJCTIONS ETC AND PAR	147.34	173.47	120.42	75.49	2.6259	2.2779	1.6832	1.101	-37.31
Arkansas	11	40711	EGGS OF CHICKENS, FERTILIZED FOR INCUBATION	0	58.19	57.92	73.19	0	0.7641	0.8096	1.0673	26.36
Arkansas	12	730890	STRUCTURES AND PARTS NESOI OF IRON OR STEEL	2.67	2.95	6.22	73.18	0.0476	0.0388	0.0869	1.0673	1077.43
Arkansas	13	721633	H SECTIONS IRN/NAS, HOT-WRKD, 80MM HI OR MORE	114.87	154.11	110.03	70.16	2.0472	2.0236	1.538	1.0232	-36.23
Arkansas	14	850152	AC MOTORS,MULTI-PHASE;OUTPUT > 750W NOT OVER	58.76	70.74	77.37	69.82	1.0473	0.9289	1.0815	1.0182	-9.76
Arkansas	15	842920	GRADERS AND LEVELERS, SELF-PROPELLED	151.28	224.33	93.55	69.54	2.6962	2.9458	1.3077	1.0141	-25.67
Arkansas	16	520100	COTTON, NOT CARDED OR COMBED	304.57	277.56	156.03	66.8	5.4281	3.6447	2.1811	0.9742	-57.19
Arkansas	17	870880	SUSPENSION SHOCK ABSORBERS FOR MOTOR VEHICLES	113.7	72.08	66.3	61.92	2.0264	0.9465	0.9268	0.903	-6.61
Arkansas	18	730629	CASING ETC OIL OR GAS DRILLNG, IRON OR STEEL	31.9	34.94	18.62	59.55	0.5686	0.4588	0.2603	0.8685	219.81
Arkansas	19	847989	MACH & MECHANICAL APPL W INDIVIDUAL FUNCTION	30.76	24.89	29.99	59.52	0.5483	0.3269	0.4192	0.868	98.46
Arkansas	20	901890	INSTR & APPL F MEDICAL SURGICAL DENTAL VET, N	42.22	47.06	50.99	57.82	0.7525	0.618	0.7127	0.8432	13.4
Arkansas	21	20713	CHICKEN CUTS & EDIBLE OFFAL (INCL LIVER) FRSH	22.07	47.48	66.34	55.48	0.3933	0.6235	0.9273	0.809	-16.37
Arkansas	22	854460	ELECTRIC CONDUCTORS FOR VOLTAGE EXCEEDING 100	62.1	63.75	75.2	55.12	1.1068	0.8371	1.0511	0.8039	-26.7
Arkansas	23	390422	POLYMERS NESOI OF POLYVINYL CHLORIDE, PLASTIC	43.7	46.05	49.27	54.87	0.7789	0.6047	0.6887	0.8002	11.36
Arkansas	24	210690	FOOD PREPARATIONS NESOI	10.11	16.96	18.2	53.71	0.1801	0.2227	0.2544	0.7833	195.11
Arkansas	25	870870	ROAD WHEELS & PTS & ACCESSORIES FOR MOTOR VEH	37.9	45.09	56.31	52.64	0.6755	0.592	0.7872	0.7676	-6.53
California	0	0	World	159421.39	161746.03	168044.75	174128.62	10.7535	10.4642	10.6385	10.727	3.62
California	0	25	Top 25	51749.69	54335.03	56903.75	61792.65	32.4609	33.5928	33.8623	35.4868	8.59
California	1	880000	CIVILIAN AIRCRAFT, ENGINES, AND PARTS	5450.91	5799.43	7508.11	7484.54	3.4192	3.5855	4.4679	4.2983	-0.31
California	2	710239	DIAMONDS, NONINDUSTRIAL, WORKED	4824.83	4536.72	5580.71	5367.53	3.0265	2.8048	3.321	3.0825	-3.82
California	3	851762	MACH FOR RECP/CONVR/TRANS/REGN OF VOICE/IMAGE	4004.79	4477.67	4754.25	5312.81	2.5121	2.7683	2.8292	3.0511	11.75
California	4	271019	PETROL OIL BITUM MINERAL (NT CRUD) ETC NT BIO	2920.94	3620.11	4024.63	4983.04	1.8322	2.2381	2.395	2.8617	23.81
California	5	80212	ALMONDS, FRESH OR DRIED, SHELLED	2072.98	2456.22	3165.47	3508.18	1.3003	1.5186	1.8837	2.0147	10.83
California	6	300210	ANTISERA, BLOOD FRACTIONS & IMMUNOLOGICAL PRO	1436.98	1922.83	2463.8	3189.44	0.9014	1.1888	1.4662	1.8317	29.45
California	7	848620	MACHINES FOR MAN. SEMICONDUTOR DEVICES/ELEC I	2240.73	2051.38	2231.9	2654.52	1.4055	1.2683	1.3282	1.5245	18.94
California	8	870323	PASS VEH SPK-IG INT COM RCPR P ENG >1500 NOV	2290.4	2173.36	1776.31	2288.81	1.4367	1.3437	1.057	1.3144	28.85
California	9	851712	PHONES FOR CELLULAR NTWKS OR FOR OTH WIRELESS	1204.6	1276.03	2275.01	2267.68	0.7556	0.7889	1.3538	1.3023	-0.32
California	10	847330	PARTS & ACCESSORIES FOR ADP MACHINES & UNITS	4939.5	4350.63	2142.62	2117.97	3.0984	2.6898	1.275	1.2163	-1.15
California	11	854239	ELECTRONIC INTEGRATED CIRCUITS, NESOI	2055.37	1988.54	2139.46	2113.33	1.2893	1.2294	1.2731	1.2137	-1.22
California	12	901890	INSTR & APPL F MEDICAL SURGICAL DENTAL VET, N	1674.91	1788.78	1948.99	1932.16	1.0506	1.1059	1.1598	1.1096	-0.86
California	13	847130	PORT DIGTL AUTOMATIC DATA PROCESS MACH NOT >	1714.22	1950.52	1995.03	1900.58	1.0753	1.2059	1.1872	1.0915	-4.73
California	14	870324	PASS VEH SPK-IG INT COM RCPR P ENG > 3000 CC	1895.65	1769.13	1156.01	1852.56	1.1891	1.0938	0.6879	1.0639	60.25
California	15	382200	COMPOSITE DIAGNOSTIC/LAB REAGENTS, EXC PHARMA	1468.42	1533.85	1562.47	1620.3	0.9211	0.9483	0.9298	0.9305	3.7
California	16	854231	PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG	2613.83	2411.27	1600.94	1582.58	1.6396	1.4908	0.9527	0.9089	-1.15
California	17	720449	FERROUS WASTE & SCRAP NESOI	2633.62	2000.23	1734.76	1558.28	1.652	1.2366	1.0323	0.8949	-10.17
California	18	271012	LT OILS, PREPS GT=70% PETROLEUM/BITUM NT BIOD	0	974.26	1285.5	1497.29	0	0.6023	0.765	0.8599	16.48
California	19	870390	PASSENGER MOTOR VEHICLES, NESOI	423.37	354.19	565.39	1352.5	0.2656	0.219	0.3365	0.7767	139.22
California	20	847170	AUTOMATIC DATA PROCESSING STORAGE UNITS, N.E.	2612.99	2168.67	1260.23	1332.83	1.639	1.3408	0.7499	0.7654	5.76
California	21	880330	PARTS OF AIRPLANES OR HELICOPTERS, NESOI	1053.56	1034.55	1244.19	1261.94	0.6609	0.6396	0.7404	0.7247	1.43
California	22	880240	AIRPLANE & OT A/C, UNLADEN WEIGHT > 15,000 KG	0	759	622.21	1255.53	0	0.4693	0.3703	0.721	101.79
California	23	40210	MLK & CRM,CNTD,SWT,POWDR,GRAN/SOLIDS,NOV 1.5%	689.79	669.67	1087.33	1166.87	0.4327	0.414	0.647	0.6701	7.32
California	24	903040	OTH INST, SPECIALLY DESIGNED FOR TELECOMMUNIC	626.94	1278.96	1646.17	1129.34	0.3933	0.7907	0.9796	0.6486	-31.4
California	25	220421	WINE, FR GRAPE NESOI & GR MUST W ALC, NOV 2 L	900.36	989.04	1132.27	1062.03	0.5648	0.6115	0.6738	0.6099	-6.2
Colorado	0	0	World	7338.21	8167.1	8546.54	8367.66	0.495	0.5284	0.5411	0.5155	-2.09
Colorado	0	25	Top 25	2834.25	3341.75	3746.75	3552.71	38.6232	40.9172	43.8394	42.4577	-5.18
Colorado	1	20130	MEAT OF BOVINE ANIMALS, BONELESS, FRESH OR CH	377.08	392.31	382.21	439.52	5.1386	4.8036	4.4721	5.2526	14.99
Colorado	2	901890	INSTR & APPL F MEDICAL SURGICAL DENTAL VET, N	296.91	299.68	313.27	342.97	4.0461	3.6693	3.6654	4.0987	9.48
Colorado	3	854239	ELECTRONIC INTEGRATED CIRCUITS, NESOI	181.86	217.26	250.46	304.86	2.4783	2.6602	2.9306	3.6433	21.72
Colorado	4	20230	MEAT OF BOVINE ANIMALS, BONELESS, FROZEN	176.01	216.51	204.71	239.43	2.3986	2.651	2.3952	2.8614	16.96
Colorado	5	880000	CIVILIAN AIRCRAFT, ENGINES, AND PARTS	203.48	165.36	276.05	209.33	2.7729	2.0247	3.2299	2.5016	-24.17
Colorado	6	410150	WHOLE HIDES & SKINS, OF A WT >16KG BOVINE/EQU	113.05	119.65	143.63	201.06	1.5406	1.465	1.6806	2.4028	39.98
Colorado	7	370210	X-RAY FILM IN ROLLS, SENS, UNEX, NO PAPER ETC	170.32	180.61	219.01	173.38	2.3211	2.2115	2.5626	2.0721	-20.83
Colorado	8	261390	MOLYBDENUM ORES AND CONCENTRATES NOT ROASTED	146.55	125.93	157.63	163.44	1.9971	1.5419	1.8444	1.9532	3.68
Colorado	9	902690	PTS, INST & APPRTS MEASURE/CHECK VARIABLES LI	126.89	159.36	141.78	138.28	1.7291	1.9513	1.6589	1.6525	-2.47
Colorado	10	854231	PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG	180.69	139.36	141.53	135.34	2.4623	1.7064	1.6559	1.6174	-4.37
Colorado	11	902110	ORTHOPEDIC OR FRACTRE APPLIANCES, PARTS & ACC	143.62	162.06	247.13	135.08	1.9572	1.9843	2.8916	1.6143	-45.34
Colorado	12	370110	X-RAY PLATES & FLAT FILM, SENS, UNEX	62.51	79.24	70.63	129.4	0.8518	0.9702	0.8265	1.5464	83.2
Colorado	13	20220	MEAT, BOVINE CUTS WITH BONE IN, FROZEN	45.32	46.56	92.4	115.16	0.6176	0.5701	1.0812	1.3763	24.63
Colorado	14	270900	CRUDE OIL FROM PETROLEUM AND BITUMINOUS MINER	46.81	84.61	111.88	93.97	0.6379	1.036	1.309	1.123	-16.01
Colorado	15	854233	AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS	45.09	32.8	85.36	79.61	0.6145	0.4016	0.9988	0.9514	-6.73
Colorado	16	902750	INSTRUMENTS ETC USING OPTICAL RADIATIONS NESO	92.62	90.34	92.01	76.25	1.2621	1.1061	1.0765	0.9112	-17.13
Colorado	17	848180	TAPS COCKS ETC F PIPE VAT INC THERMO CONTROL	76.61	80.74	69.51	75.06	1.044	0.9886	0.8133	0.8971	7.99
Colorado	18	420299	CONTAINER BAGS, CASES ETC NESOI	33.48	51.28	64.32	73.95	0.4563	0.6278	0.7526	0.8837	14.96
Colorado	19	841290	ENGINE AND MOTOR PARTS, NESOI	8.9	339.26	286.08	64.7	0.1213	4.154	3.3473	0.7732	-77.38
Colorado	20	20319	MEAT OF SWINE, NESOI, FRESH OR CHILLED	65.5	84.06	85.04	64.29	0.8926	1.0292	0.995	0.7683	-24.4
Colorado	21	681389	OTH FRICTION MATERL,  OTH MINRLS, CELLULS,NES	19.12	46.43	52.49	63.96	0.2606	0.5685	0.6141	0.7644	21.87
Colorado	22	730210	RAILWAY OR TRAMWAY RAILS OF IRON OR STEEL	45.82	44.54	54.75	63.21	0.6244	0.5453	0.6407	0.7554	15.44
Colorado	23	293359	COMP WITH PYRIMIDINE OR PIPERAZINE RING, NESO	28.6	24.05	38.8	59.75	0.3897	0.2944	0.454	0.714	53.97
Colorado	24	847170	AUTOMATIC DATA PROCESSING STORAGE UNITS, N.E.	98.3	107.27	106.65	57	1.3396	1.3134	1.2479	0.6812	-46.56
Colorado	25	901819	ELECTRO-DIAGNOSTIC APPARATUS NESOI, AND PARTS	49.08	52.49	59.41	53.72	0.6688	0.6427	0.6952	0.642	-9.58
Connecticut	0	0	World	16232.75	15871.7	16423.65	15941.19	1.095	1.0268	1.0397	0.982	-2.94
Connecticut	0	25	Top 25	8385.71	9018.14	9752.84	9465.93	51.6592	56.819	59.3829	59.3803	-2.94
Connecticut	1	880000	CIVILIAN AIRCRAFT, ENGINES, AND PARTS	6046.78	6444.25	7072.82	6565.45	37.2505	40.6022	43.0648	41.1854	-7.17
Connecticut	2	850239	GENERATING SETS, ELECTRIC, NESOI	203.65	216.17	173.11	377.75	1.2546	1.362	1.054	2.3696	118.21
Connecticut	3	848690	PARTS & ACCSESORIES FOR MACH TO MAN. SEMICNT,	177.39	225.98	261.31	269.86	1.0928	1.4238	1.5911	1.6928	3.27
Connecticut	4	880212	HELICOPTERS OF AN UNLADEN WEIGHT EXCEEDING 20	254.14	152.44	373.13	217.69	1.5656	0.9605	2.2719	1.3656	-41.66
Connecticut	5	740319	UNWROUGHT REFINED COPPER NESOI	0	0	116.19	150.23	0	0	0.7074	0.9424	29.3
Connecticut	6	880330	PARTS OF AIRPLANES OR HELICOPTERS, NESOI	212.42	222.36	257.78	141.8	1.3086	1.401	1.5695	0.8895	-44.99
Connecticut	7	271019	PETROL OIL BITUM MINERAL (NT CRUD) ETC NT BIO	151.21	155.32	4.55	130.48	0.9315	0.9786	0.0277	0.8185	2765.02
Connecticut	8	841191	TURBOJET AND TURBOPROLLER PARTS	101.85	113.68	119.49	126.87	0.6274	0.7163	0.7276	0.7959	6.17
Connecticut	9	283620	DISODIUM CARBONATE	87.12	142.88	130.36	125.83	0.5367	0.9002	0.7938	0.7894	-3.48
Connecticut	10	841199	GAS TURBINE PARTS NESOI	121.68	81.57	78.72	117.43	0.7496	0.514	0.4793	0.7366	49.17
Connecticut	11	851762	MACH FOR RECP/CONVR/TRANS/REGN OF VOICE/IMAGE	41.62	38.69	58.99	112.89	0.2564	0.2438	0.3592	0.7082	91.38
Connecticut	12	848180	TAPS COCKS ETC F PIPE VAT INC THERMO CONTROL	79.78	83.08	77.83	97.82	0.4915	0.5234	0.4739	0.6136	25.68
Connecticut	13	847989	MACH & MECHANICAL APPL W INDIVIDUAL FUNCTION	62.19	82.51	96.25	96.59	0.3831	0.5198	0.5861	0.6059	0.35
Connecticut	14	854449	INSULATED ELECTRIC CONDUCTORS =< 80 V NESOI	70.93	82.43	85.17	91.53	0.437	0.5193	0.5186	0.5742	7.47
Connecticut	15	901320	LASERS, OTHER THAN LASER DIODES	101.27	86.12	81.05	91.47	0.6239	0.5426	0.4935	0.5738	12.85
Connecticut	16	902214	APPTS BASE ON X-RAY, MEDICAL,SURGICAL,VETNRY,	124.78	117.82	123.36	89.84	0.7687	0.7423	0.7511	0.5636	-27.17
