Year	Revenue Stream	Type	Total	General Fund	State Share	County Share / Government	Common Schools	Coal Trust Fund	State School Oil & Gas Distribution	Long Range Building	Oil and Natural Gas Conservation Account Tax	State Orphan Share Fund	State Natural Resources Projects	Montana University System	Public Land Trust	Shared Account	Board of Oil & Gas Conservation	State Natural Resources Operations	Coal Board	Hard Rock Debt Service	Natural Resources Operations	Park Acquisition Trust	Renewable Resource Debt Service	Hazardous Waste/CERCLA special revenue account	Environmental Quality Protection Fund	Groundwater Assessment Account	Cultural and Aesthetic Projects	Hard Rock Mining	CERCLA Debt Service	Coal & Uranium Program	Water Storage Special Revenue Account	Public Buildings	School of Mines	Pine Hills School	Montana State University Morrill	University of Montana	State Normal School	Agricultural Experiment Station	School for Deaf and Blind	Department of Transportation	Department of Natural Resources Conservation - Water Resources Division	Montana State University 2nd Grant	Veterans Home Income	Department of Fish, Wildlife, & Parks	Galen State Hospital	State Guarantee Fund	County Oil & Natural Gas Impact Fund	State School Oil & Natural Gas Impact Fund	Coal Bed Methane Protection	Montana Tech	State Reform School	Department of Public Health and Human Services	Cities/Towns	County Wide School Ret/Trans	Local Schools	Miscellaneous & Fire
2014	Land Use Licenses Royalty Income	Royalty/Rent/Bonus	$1,000				$1,000.00																																																	
2014	Micaceous Mines License Tax	License Tax	$-	$-																																																				
2014	All	All	$446,883,245	$176,559,116	$12,276,757	$133,478,180	$34,725,031	$28,838,092	$11,773,273	$6,921,142	$4,732,701	$3,583,888	$3,369,568	$3,219,424	$3,157,313	$3,149,120	$2,505,508	$2,454,052	$2,129,440	$1,185,166	$976,019	$732,488	$547,924	$372,716	$372,716	$366,000	$363,360	$348,578	$272,106	$250,000	$150,000	$66,684	$60,168	$45,007	$32,738	$24,086	$18,609	$12,990	$8,840	$7,468	$5,659	$2,087	$1,913	$210	$42	$-	$-	$-	$-	$-	$-	$-	$-	$-	$-	$-   
2016	Oil & Natural Gas Production Tax	 Production Tax 	$84,972,199.00	$39,083,500.00		$37,900,038.00			$1,394,905.00		$1,534,356.00	$1,281,080.00	$938,011.00	$1,150,801.00			$812,294.00	$877,214.00																																						
2016	Coal Severance Tax	 Ad Valorem 	$60,358,549	$14,235,548				$30,179,274		$7,243,026						$3,295,577			$3,434,905			$766,554	$573,406				$380,259			$250,000																										
2016	U.S. Mineral Royalties	 Federal Revenue 	$22,345,284	$16,758,963		$5,586,321																																																		
2016	Oil Royalty	 Royalty/Rent/Bonus 	$7,388,547				$6,801,850.02								$560,953.22																	$2,815.99			$948.54				$12,294.73		$8,435.53	$35.23	$1,213.84													
2016	Coal Gross Proceeds	 Ad Valorem 	$20,756,877		$9,979,145.00	$10,777,732																																																		
2016	Metal Mines Gross Proceeds	 Ad Valorem 	$14,686,751		$2,690,657	$11,996,094																																																		
2016	 Metalliferous Mines License Tax 	 Production Tax 	$8,164,498	$4,221,465		$2,473,424														$693,982	$571,515							$204,112																												
2016	 Abandoned Mine Land Fees 	 Federal Revenue 	$4,429,969	$4,429,969																																																				
2016	 Coal Royalties 	 Royalty/Rent/Bonus 	$9,124,779				$9,124,778.67																																																	
2016	 Wind Generation Property Tax 	 Ad Valorem 	$7,998,776																																																					
2016	 Electrical Energy Producers' License Tax 	 License Tax 	$425,800	$425,800																																																				
2016	 Oil & Gas Bonus Income 	 Royalty/Rent/Bonus 	$138,629				$12,365.35																									$30.00									$126,234.08															
2016	 Oil & Gas Rental Income 	 Royalty/Rent/Bonus 	$976,081				$948,333.35								$9,491.89																	$3,720.50		$1,116.02	$439.90	$960.00	$2,505.00	$4,847.44	$3,300.00	$1,270.48	$123.72	-$27.17														
2016	Resource Indemnity & Ground Water Asssessment Tax (RIGWAT)	 Production Tax 	$2,335,153										$774,364											$387,182	$387,182	$366,000			$270,425		$150,000																									
2016	Gas Royalty	 Royalty/Rent/Bonus 	$555,103				$533,525.21								$8,757.10																	$3,269.93			$5,797.64		$442.13	$2,677.11	$597.21		$27.85		$8.71													
2016	Miscellaneous Mines Net Proceeds	 Ad Valorem 	$1,624,098		$377,480	$1,246,618																																																		
2016	Oil & Gas Penalty Income	 Penalty 	$499,808				$482,157.37								$5,268.11																	$3,743.25		$1,850.00			$2,100.00	$4,679.08	$10.60																	
2016	Condensate Royalty	 Royalty/Rent/Bonus 	$24,839				$23,410.17								$1,047.34																								$283.55		$96.32		$1.28													
2016	Coal Rentals / Bonuses	 Royalty/Rent/Bonus 	$49,535				$49,535.43																																																	
2016	Land Use Licenses Rental Income	 Royalty/Rent/Bonus 	$15,507				$15,507.13																																																	
2016	Non-Metalliferous Mineral Leases Royalty Income	 Royalty/Rent/Bonus 	$18																													$17.50																								
2016	Non-Metalliferous Mineral Leases Rental Income	 Royalty/Rent/Bonus 	$5,430				$5,070.00																									$360.00																								
2016	Oil & Gas Surface Damages 	 Royalty/Rent/Bonus 	$ -				$ -																																$ -																	
2016	Oil & Gas Seismic Permits	 Royalty/Rent/Bonus 	$ -				$ -																																																	
2016	Metalliferous Mineral Lease Rental Income	 Royalty/Rent/Bonus 	$277				$277.08																																																	
2016	Metalliferous Mineral Lease Royalty Income	 Royalty/Rent/Bonus 	$ -				$ -																																																	
2016	Land Use Licenses Royalty Income	 Royalty/Rent/Bonus 	$11,292				$11,291.50																																																	
2016	Micaceous Mines License Tax	 License Tax 	$ -	$ -																																																				
2016	All	All	$246,887,799	$79,155,245	$13,047,282	$69,980,227	$18,008,101	$30,179,274	$1,394,905	$7,243,026	$1,534,356	$1,281,080	$1,712,375	$1,150,801	$585,518	$3,295,577	$812,294	$877,214	$3,434,905	$693,982	$571,515	$766,554	$573,406	$387,182	$387,182	$366,000	$380,259	$204,112	$270,425	$250,000	$150,000	$13,957	$ -	$2,966	$7,186	$960	$5,047	$12,204	$16,486	$1,270	$134,918	$8	$1,224													
