Year	Region	FIPS	GDP
2011	Hawaii	15	70058
2012	Hawaii	15	72653
2013	Hawaii	15	75095
2004	Idaho	16	44445
2005	Idaho	16	47990
2006	Idaho	16	51821
2007	Idaho	16	55092
2008	Idaho	16	56220
2009	Idaho	16	54199
2010	Idaho	16	55658
2011	Idaho	16	57050
2012	Idaho	16	58353
2013	Idaho	16	61117
2004	Illinois	17	561117
2005	Illinois	17	588847
2006	Illinois	17	623535
2007	Illinois	17	648221
2008	Illinois	17	647589
2009	Illinois	17	641880
2010	Illinois	17	655006
2011	Illinois	17	680395
2012	Illinois	17	710348
2013	Illinois	17	724795
2004	Indiana	18	240428
2005	Indiana	18	247048
2006	Indiana	18	258525
2007	Indiana	18	271497
2008	Indiana	18	275278
2009	Indiana	18	263430
2010	Indiana	18	282954
2011	Indiana	18	291357
2012	Indiana	18	300304
2013	Indiana	18	311188
2004	Iowa	19	118710
2005	Iowa	19	124021
2006	Iowa	19	128346
2007	Iowa	19	137266
2008	Iowa	19	136943
2009	Iowa	19	137571
2010	Iowa	19	142344
2011	Iowa	19	150289
2012	Iowa	19	159660
2013	Iowa	19	166787
2004	Kansas	20	101343
2005	Kansas	20	106864
2006	Kansas	20	113738
2007	Kansas	20	122349
2008	Kansas	20	126152
2009	Kansas	20	122029
2010	Kansas	20	127947
2011	Kansas	20	136613
2012	Kansas	20	140441
2013	Kansas	20	142449
2004	Kentucky	21	135994
2005	Kentucky	21	144174
2006	Kentucky	21	152394
2007	Kentucky	21	155593
2008	Kentucky	21	159429
2009	Kentucky	21	156514
2010	Kentucky	21	166181
2011	Kentucky	21	172869
2012	Kentucky	21	178682
2013	Kentucky	21	183582
2004	Louisiana	22	172623
2005	Louisiana	22	200436
2006	Louisiana	22	207944
2007	Louisiana	22	209774
2008	Louisiana	22	218847
2009	Louisiana	22	210791
2010	Louisiana	22	233155
2011	Louisiana	22	241845
2012	Louisiana	22	250689
2013	Louisiana	22	246660
2004	Maine	23	44617
2005	Maine	23	46052
2006	Maine	23	48175
2007	Maine	23	49345
2008	Maine	23	50166
2009	Maine	23	50487
2010	Maine	23	51681
2011	Maine	23	52007
2012	Maine	23	53180
2013	Maine	23	54609
2004	Maryland	24	247461
2005	Maryland	24	264729
2006	Maryland	24	278216
2007	Maryland	24	290381
2008	Maryland	24	298430
2009	Maryland	24	303674
2010	Maryland	24	314354
2011	Maryland	24	323148
2012	Maryland	24	330518
2013	Maryland	24	339409
2004	Massachusetts	25	329640
2005	Massachusetts	25	344145
2006	Massachusetts	25	359256
2007	Massachusetts	25	377939
2008	Massachusetts	25	384595
2009	Massachusetts	25	381628
2010	Massachusetts	25	398147
2011	Massachusetts	25	412653
2012	Massachusetts	25	428350
2013	Massachusetts	25	441467
2004	Michigan	26	383545
2005	Michigan	26	396268
2006	Michigan	26	397295
2007	Michigan	26	402425
2008	Michigan	26	387517
2009	Michigan	26	366387
2010	Michigan	26	386586
2011	Michigan	26	398912
2012	Michigan	26	415145
2013	Michigan	26	434674
2004	Minnesota	27	231904
2005	Minnesota	27	244800
2006	Minnesota	27	251221
2007	Minnesota	27	259388
2008	Minnesota	27	265497
2009	Minnesota	27	259935
2010	Minnesota	27	272995
2011	Minnesota	27	285452
2012	Minnesota	27	295716
2013	Minnesota	27	307270
2004	Mississippi	28	78169
2005	Mississippi	28	82274
2006	Mississippi	28	87302
2007	Mississippi	28	91975
2008	Mississippi	28	94968
2009	Mississippi	28	92442
2010	Mississippi	28	95539
2011	Mississippi	28	97760
2012	Mississippi	28	103414
2013	Mississippi	28	104095
2004	Missouri	29	215895
2005	Missouri	29	225268
2006	Missouri	29	234124
2007	Missouri	29	241716
2008	Missouri	29	249633
2009	Missouri	29	249783
2010	Missouri	29	256212
2011	Missouri	29	257985
2012	Missouri	29	266672
2013	Missouri	29	276715
2004	Montana	30	27979
2005	Montana	30	30425
2006	Montana	30	32635
2007	Montana	30	35683
2008	Montana	30	36648
2009	Montana	30	35442
2010	Montana	30	37343
2011	Montana	30	40193
2012	Montana	30	41941
2013	Montana	30	43006
2004	Nebraska	31	71322
2005	Nebraska	31	74415
2006	Nebraska	31	78581
2007	Nebraska	31	82890
2008	Nebraska	31	85744
2009	Nebraska	31	87172
2010	Nebraska	31	91837
2011	Nebraska	31	98997
2012	Nebraska	31	102823
2013	Nebraska	31	109364
2004	Nevada	32	103446
2005	Nevada	32	116764
2006	Nevada	32	125387
2007	Nevada	32	131544
2008	Nevada	32	128760
2009	Nevada	32	119087
2010	Nevada	32	119529
2011	Nevada	32	122420
2012	Nevada	32	124938
2013	Nevada	32	127989
2004	New Hampshire	33	53148
2005	New Hampshire	33	56123
2006	New Hampshire	33	58492
2007	New Hampshire	33	59990
2008	New Hampshire	33	60004
2009	New Hampshire	33	60654
2010	New Hampshire	33	62868
2011	New Hampshire	33	64246
2012	New Hampshire	33	66490
2013	New Hampshire	33	68701
2004	New Jersey	34	423953
2005	New Jersey	34	444973
2006	New Jersey	34	466524
2007	New Jersey	34	482149
2008	New Jersey	34	494007
2009	New Jersey	34	484804
2010	New Jersey	34	494148
2011	New Jersey	34	498918
2012	New Jersey	34	523275
2013	New Jersey	34	537396
2004	New Mexico	35	70121
2005	New Mexico	35	74063
2006	New Mexico	35	77536
2007	New Mexico	35	80525
2008	New Mexico	35	84193
2009	New Mexico	35	81129
2010	New Mexico	35	83968
2011	New Mexico	35	86737
2012	New Mexico	35	88212
2013	New Mexico	35	90828
2004	New York	36	954249
2005	New York	36	1024329
2006	New York	36	1083194
2007	New York	36	1128484
2008	New York	36	1109714
2009	New York	36	1142957
2010	New York	36	1199367
2011	New York	36	1234073
2012	New York	36	1302527
2013	New York	36	1341591
2004	North Carolina	37	332598
2005	North Carolina	37	357711
2006	North Carolina	37	386354
2007	North Carolina	37	395593
2008	North Carolina	37	407119
2009	North Carolina	37	410488
2010	North Carolina	37	422107
2011	North Carolina	37	433311
2012	North Carolina	37	445720
2013	North Carolina	37	467075
2004	North Dakota	38	23396
2005	North Dakota	38	24709
2006	North Dakota	38	26491
2007	North Dakota	38	28696
2008	North Dakota	38	31913
2009	North Dakota	38	31994
2010	North Dakota	38	35305
2011	North Dakota	38	40482
2012	North Dakota	38	49308
2013	North Dakota	38	51048
2004	Ohio	39	450842
2005	Ohio	39	468197
2006	Ohio	39	482227
2007	Ohio	39	494307
2008	Ohio	39	493679
2009	Ohio	39	477591
2010	Ohio	39	494395
2011	Ohio	39	520398
2012	Ohio	39	542097
2013	Ohio	39	562845
2004	Oklahoma	40	114160
2005	Oklahoma	40	125106
2006	Oklahoma	40	136804
2007	Oklahoma	40	144254
2008	Oklahoma	40	157524
2009	Oklahoma	40	143500
2010	Oklahoma	40	152122
2011	Oklahoma	40	162118
2012	Oklahoma	40	169346
2013	Oklahoma	40	176398
2004	Oregon	41	142516
2005	Oregon	41	147583
2006	Oregon	41	163033
2007	Oregon	41	170516
2008	Oregon	41	180094
2009	Oregon	41	180612
2010	Oregon	41	191521
2011	Oregon	41	200854
2012	Oregon	41	203352
2013	Oregon	41	204867
2004	Pennsylvania	42	481879
2005	Pennsylvania	42	505091
2006	Pennsylvania	42	529969
2007	Pennsylvania	42	553126
2008	Pennsylvania	42	565988
2009	Pennsylvania	42	566495
2010	Pennsylvania	42	585650
2011	Pennsylvania	42	602686
2012	Pennsylvania	42	619417
2013	Pennsylvania	42	640294
2004	Rhode Island	44	43513
2005	Rhode Island	44	45250
2006	Rhode Island	44	47659
2007	Rhode Island	44	47958
2008	Rhode Island	44	47450
2009	Rhode Island	44	47854
2010	Rhode Island	44	49337
2011	Rhode Island	44	49932
2012	Rhode Island	44	51346
2013	Rhode Island	44	53300
2004	South Carolina	45	136875
2005	South Carolina	45	144754
2006	South Carolina	45	152802
2007	South Carolina	45	161106
2008	South Carolina	45	163211
2009	South Carolina	45	161565
2010	South Carolina	45	165353
2011	South Carolina	45	171550
2012	South Carolina	45	176320
2013	South Carolina	45	182400
2004	South Dakota	46	30789
2005	South Dakota	46	31552
2006	South Dakota	46	32455
2007	South Dakota	46	35275
2008	South Dakota	46	37494
2009	South Dakota	46	36890
2010	South Dakota	46	38718
2011	South Dakota	46	42362
2012	South Dakota	46	43177
2013	South Dakota	46	44673
2004	Tennessee	47	220543
2005	Tennessee	47	228730
2006	Tennessee	47	239425
2007	Tennessee	47	243410
2008	Tennessee	47	250519
2009	Tennessee	47	248024
2010	Tennessee	47	253671
2011	Tennessee	47	264052
2012	Tennessee	47	280169
2013	Tennessee	47	290125
2004	Texas	48	922770
2005	Texas	48	999641
2006	Texas	48	1094064
2007	Texas	48	1179068
2008	Texas	48	1242323
2009	Texas	48	1168881
2010	Texas	48	1247572
2011	Texas	48	1350773
2012	Texas	48	1449330
2013	Texas	48	1557193
2004	Utah	49	86495
2005	Utah	49	94876
2006	Utah	49	106308
2007	Utah	49	116138
2008	Utah	49	116706
2009	Utah	49	113943
2010	Utah	49	118491
2011	Utah	49	124737
2012	Utah	49	128050
2013	Utah	49	134974
2004	Vermont	50	22538
2005	Vermont	50	23483
2006	Vermont	50	24251
2007	Vermont	50	24792
2008	Vermont	50	25348
2009	Vermont	50	25302
2010	Vermont	50	26469
2011	Vermont	50	27622
2012	Vermont	50	28348
2013	Vermont	50	28838
2004	Virginia	51	330412
2005	Virginia	51	358730
2006	Virginia	51	378445
2007	Virginia	51	392659
2008	Virginia	51	399994
2009	Virginia	51	410342
2010	Virginia	51	424232
2011	Virginia	51	432206
2012	Virginia	51	444617
2013	Virginia	51	454984
2004	Washington	53	271676
2005	Washington	53	296731
2006	Washington	53	315723
2007	Washington	53	343482
2008	Washington	53	353744
2009	Washington	53	350996
2010	Washington	53	362521
2011	Washington	53	372444
2012	Washington	53	390643
2013	Washington	53	407160
2004	West Virginia	54	49409
2005	West Virginia	54	53331
2006	West Virginia	54	56748
2007	West Virginia	54	58579
2008	West Virginia	54	62165
2009	West Virginia	54	63053
2010	West Virginia	54	66230
2011	West Virginia	54	69892
2012	West Virginia	54	68722
2013	West Virginia	54	70595
2004	Wisconsin	55	216716
2005	Wisconsin	55	226963
2006	Wisconsin	55	236444
2007	Wisconsin	55	243935
2008	Wisconsin	55	245513
2009	Wisconsin	55	246106
2010	Wisconsin	55	254348
2011	Wisconsin	55	263800
2012	Wisconsin	55	273091
2013	Wisconsin	55	284728
2004	Wyoming	56	23705
2005	Wyoming	56	27748
2006	Wyoming	56	33049
2007	Wyoming	56	36739
2008	Wyoming	56	43647
2009	Wyoming	56	37889
2010	Wyoming	56	40237
2011	Wyoming	56	43067
2012	Wyoming	56	40877
2013	Wyoming	56	41782
