Year	State	County	FIPS	Jobs	Total	Percent
2006	Florida	Orange County	12095	53	679095	0.0
2006	Florida	Pasco County	12101	57	99459	0.1
2006	Florida	Pinellas County	12103	9	444848	0.0
2006	Florida	Polk County	12105	807	207911	0.4
2006	Florida	St. Lucie County	12111	56	70280	0.1
2006	Florida	Santa Rosa County	12113	88	32622	0.3
2006	Florida	Sarasota County	12115	89	159101	0.1
2006	Florida	Seminole County	12117	8	177610	0.0
2006	Florida	Suwannee County	12121	26	9990	0.3
2006	Florida	Volusia County	12127	18	167170	0.0
2006	Georgia		13000	6988	4024699	0.2
2006	Georgia	Cherokee County	13057	61	46811	0.1
2006	Georgia	Decatur County	13087	320	10237	3.1
2006	Georgia	DeKalb County	13089	165	280917	0.1
2006	Georgia	Douglas County	13097	117	37104	0.3
2006	Georgia	Elbert County	13105	189	6967	2.7
2006	Georgia	Forsyth County	13117	63	49128	0.1
2006	Georgia	Fulton County	13121	180	774324	0.0
2006	Georgia	Gwinnett County	13135	186	324398	0.1
2006	Georgia	Hall County	13139	59	70695	0.1
2006	Georgia	Jefferson County	13163	281	5547	5.1
2006	Georgia	Lumpkin County	13187	20	6470	0.3
2006	Georgia	Muscogee County	13215	82	98098	0.1
2006	Georgia	Oglethorpe County	13221	94	1764	5.3
2006	Georgia	Pickens County	13227	233	7010	3.3
2006	Georgia	Richmond County	13245	126	103938	0.1
2006	Georgia	Thomas County	13275	311	23822	1.3
2006	Georgia	Washington County	13303	962	8077	11.9
2006	Georgia	Whitfield County	13313	120	64113	0.2
2006	Georgia	Wilkinson County	13319	976	2970	32.9
2006	Hawaii		15000	285	618178	0.0
2006	Hawaii	Honolulu County	15003	241	449572	0.1
2006	Idaho		16000	2374	643671	0.4
2006	Idaho	Ada County	16001	143	208091	0.1
2006	Idaho	Bannock County	16005	25	34463	0.1
2006	Idaho	Blaine County	16013	39	13889	0.3
2006	Idaho	Bonner County	16017	131	14349	0.9
2006	Idaho	Canyon County	16027	69	55121	0.1
2006	Idaho	Caribou County	16029	347	3167	11.0
2006	Idaho	Cassia County	16031	176	9208	1.9
2006	Idaho	Idaho County	16049	79	4483	1.8
2006	Idaho	Kootenai County	16055	149	54553	0.3
2006	Idaho	Nez Perce County	16069	105	20774	0.5
2006	Idaho	Shoshone County	16079	412	4462	9.2
2006	Idaho	Twin Falls County	16083	31	33733	0.1
2006	Idaho	Valley County	16085	28	4745	0.6
2006	Illinois		17000	10115	5821022	0.2
2006	Illinois	Adams County	17001	241	33700	0.7
2006	Illinois	Champaign County	17019	39	90848	0.0
2006	Illinois	Clark County	17023	89	5033	1.8
2006	Illinois	Clay County	17025	144	5576	2.6
2006	Illinois	Clinton County	17027	23	12422	0.2
2006	Illinois	Coles County	17029	29	26078	0.1
2006	Illinois	Cook County	17031	913	2533204	0.0
2006	Illinois	Crawford County	17033	128	7190	1.8
2006	Illinois	DeKalb County	17037	86	36217	0.2
2006	Illinois	DuPage County	17043	73	592977	0.0
2006	Illinois	Effingham County	17049	27	19957	0.1
2006	Illinois	Fayette County	17051	107	6191	1.7
2006	Illinois	Franklin County	17055	15	9547	0.2
2006	Illinois	Gallatin County	17059	15	1234	1.2
2006	Illinois	Grundy County	17063	75	16174	0.5
2006	Illinois	Iroquois County	17075	20	8428	0.2
2006	Illinois	Jackson County	17077	274	26425	1.0
2006	Illinois	Jasper County	17079	27	2346	1.2
2006	Illinois	Kane County	17089	97	208153	0.0
2006	Illinois	Kendall County	17093	37	20811	0.2
2006	Illinois	Lee County	17103	20	13493	0.1
2006	Illinois	McHenry County	17111	100	101125	0.1
2006	Illinois	Madison County	17119	129	94371	0.1
2006	Illinois	Marion County	17121	160	13983	1.1
2006	Illinois	Monroe County	17133	54	7680	0.7
2006	Illinois	Ogle County	17141	47	16674	0.3
2006	Illinois	Randolph County	17157	56	12354	0.5
2006	Illinois	Richland County	17159	155	6568	2.4
2006	Illinois	Rock Island County	17161	72	77914	0.1
2006	Illinois	St. Clair County	17163	96	94496	0.1
2006	Illinois	Saline County	17165	1316	8821	14.9
2006	Illinois	Sangamon County	17167	311	130260	0.2
2006	Illinois	Tazewell County	17179	25	60176	0.0
2006	Illinois	Wabash County	17185	392	3671	10.7
2006	Illinois	Washington County	17189	14	5455	0.3
2006	Illinois	Wayne County	17191	125	4602	2.7
2006	Illinois	White County	17193	744	4752	15.7
2006	Illinois	Whiteside County	17195	57	20988	0.3
2006	Illinois	Will County	17197	291	179626	0.2
2006	Illinois	Winnebago County	17201	17	135943	0.0
2006	Indiana		18000	6565	2892419	0.2
2006	Indiana	Allen County	18003	135	182753	0.1
2006	Indiana	Bartholomew County	18005	38	42598	0.1
2006	Indiana	Clark County	18019	132	46291	0.3
2006	Indiana	Daviess County	18027	500	11007	4.5
2006	Indiana	Dubois County	18037	40	28430	0.1
2006	Indiana	Elkhart County	18039	47	127144	0.0
2006	Indiana	Gibson County	18051	657	16227	4.0
2006	Indiana	Grant County	18053	89	26668	0.3
2006	Indiana	Greene County	18055	589	7370	8.0
2006	Indiana	Hamilton County	18057	223	100142	0.2
2006	Indiana	Harrison County	18061	132	11455	1.2
2006	Indiana	Jackson County	18071	20	20246	0.1
2006	Indiana	Knox County	18083	41	16524	0.2
2006	Indiana	Kosciusko County	18085	14	35224	0.0
2006	Indiana	Lake County	18089	280	193334	0.1
2006	Indiana	LaPorte County	18091	34	44894	0.1
2006	Indiana	Lawrence County	18093	167	14380	1.2
2006	Indiana	Marion County	18097	199	579862	0.0
2006	Indiana	Miami County	18103	104	10445	1.0
2006	Indiana	Monroe County	18105	147	61357	0.2
2006	Indiana	Morgan County	18109	83	15217	0.5
2006	Indiana	Noble County	18113	21	19140	0.1
2006	Indiana	Orange County	18117	62	6612	0.9
2006	Indiana	Pike County	18125	522	3039	17.2
2006	Indiana	Posey County	18129	28	8708	0.3
2006	Indiana	Putnam County	18133	49	12295	0.4
2006	Indiana	St. Joseph County	18141	14	123816	0.0
2006	Indiana	Shelby County	18145	177	17197	1.0
2006	Indiana	Steuben County	18151	12	14526	0.1
2006	Indiana	Vanderburgh County	18163	496	108111	0.5
2006	Indiana	Vigo County	18167	18	51678	0.0
2006	Indiana	Wabash County	18169	6	13427	0.0
2006	Indiana	Warrick County	18173	67	14306	0.5
2006	Indiana	Wayne County	18177	26	33455	0.1
2006	Iowa		19000	2139	1470742	0.1
2006	Iowa	Black Hawk County	19013	57	71221	0.1
2006	Iowa	Dallas County	19049	19	25808	0.1
2006	Iowa	Fayette County	19065	17	7395	0.2
2006	Iowa	Linn County	19113	110	120379	0.1
2006	Iowa	Muscatine County	19139	57	23917	0.2
2006	Iowa	Sioux County	19167	46	18389	0.3
2006	Iowa	Winneshiek County	19191	131	10554	1.2
2006	Kansas		20000	8731	1327677	0.7
2006	Kansas	Anderson County	20003	22	2139	1.0
2006	Kansas	Atchison County	20005	28	6826	0.4
2006	Kansas	Barber County	20007	107	1817	5.9
2006	Kansas	Barton County	20009	666	13017	5.1
2006	Kansas	Butler County	20015	103	17183	0.6
2006	Kansas	Cheyenne County	20023	11	816	1.3
2006	Kansas	Clark County	20025	8	762	1.0
2006	Kansas	Coffey County	20031	47	4229	1.1
2006	Kansas	Comanche County	20033	9	709	1.3
2006	Kansas	Cowley County	20035	63	14572	0.4
2006	Kansas	Crawford County	20037	36	17219	0.2
2006	Kansas	Dickinson County	20041	24	7077	0.3
2006	Kansas	Douglas County	20045	11	48093	0.0
2006	Kansas	Ellis County	20051	497	14936	3.3
2006	Kansas	Finney County	20055	270	17177	1.6
2006	Kansas	Franklin County	20059	79	9365	0.8
2006	Kansas	Gove County	20063	3	1112	0.3
2006	Kansas	Graham County	20065	133	1055	12.6
2006	Kansas	Grant County	20067	338	3545	9.5
2006	Kansas	Greenwood County	20073	142	1804	7.9
2006	Kansas	Harper County	20077	55	2336	2.4
2006	Kansas	Harvey County	20079	44	14008	0.3
2006	Kansas	Haskell County	20081	72	1487	4.8
2006	Kansas	Johnson County	20091	346	306269	0.1
2006	Kansas	Kingman County	20095	87	2568	3.4
2006	Kansas	Kiowa County	20097	14	1250	1.1
2006	Kansas	Leavenworth County	20103	9	20686	0.0
2006	Kansas	Lyon County	20111	32	17321	0.2
2006	Kansas	Mcpherson County	20113	118	15117	0.8
2006	Kansas	Marion County	20115	47	4008	1.2
2006	Kansas	Meade County	20119	8	1334	0.6
2006	Kansas	Miami County	20121	68	8400	0.8
2006	Kansas	Montgomery County	20125	197	17178	1.1
2006	Kansas	Morris County	20127	8	1530	0.5
2006	Kansas	Morton County	20129	101	1268	8.0
2006	Kansas	Neosho County	20133	166	8394	2.0
2006	Kansas	Phillips County	20147	25	2522	1.0
2006	Kansas	Pratt County	20151	422	4511	9.4
2006	Kansas	Reno County	20155	80	27721	0.3
2006	Kansas	Rice County	20159	60	3506	1.7
2006	Kansas	Rooks County	20163	133	2018	6.6
2006	Kansas	Russell County	20167	264	2721	9.7
2006	Kansas	Sedgwick County	20173	808	249644	0.3
2006	Kansas	Seward County	20175	861	11610	7.4
2006	Kansas	Shawnee County	20177	75	92213	0.1
2006	Kansas	Stafford County	20185	25	1451	1.7
2006	Kansas	Stevens County	20189	98	1855	5.3
2006	Kansas	Sumner County	20191	28	5720	0.5
2006	Kansas	Wilson County	20205	317	4532	7.0
2006	Kentucky		21000	22451	1779202	1.3
2006	Kentucky	Barren County	21009	51	17616	0.3
2006	Kentucky	Bell County	21013	1038	9628	10.8
2006	Kentucky	Boone County	21015	25	74627	0.0
2006	Kentucky	Boyd County	21019	172	28453	0.6
2006	Kentucky	Breckinridge County	21027	23	3037	0.8
2006	Kentucky	Caldwell County	21033	68	4298	1.6
2006	Kentucky	Carter County	21043	43	6693	0.6
2006	Kentucky	Daviess County	21059	127	43060	0.3
2006	Kentucky	Fayette County	21067	311	172139	0.2
2006	Kentucky	Graves County	21083	63	10617	0.6
2006	Kentucky	Hardin County	21093	40	43499	0.1
2006	Kentucky	Harlan County	21095	1389	8289	16.8
2006	Kentucky	Henderson County	21101	332	20315	1.6
2006	Kentucky	Hopkins County	21107	1194	18743	6.4
2006	Kentucky	Jefferson County	21111	188	427519	0.0
2006	Kentucky	Laurel County	21125	413	23388	1.8
2006	Kentucky	Lawrence County	21127	75	3095	2.4
2006	Kentucky	Lee County	21129	95	1902	5.0
2006	Kentucky	Leslie County	21131	532	2235	23.8
2006	Kentucky	Letcher County	21133	1384	6399	21.6
2006	Kentucky	Livingston County	21139	374	2494	15.0
2006	Kentucky	Meade County	21163	97	4069	2.4
2006	Kentucky	Muhlenberg County	21177	653	8956	7.3
2006	Kentucky	Ohio County	21183	118	6993	1.7
2006	Kentucky	Perry County	21193	1802	13773	13.1
2006	Kentucky	Pike County	21195	4506	24085	18.7
2006	Kentucky	Union County	21225	616	5455	11.3
2006	Kentucky	Warren County	21227	220	55786	0.4
2006	Kentucky	Webster County	21233	252	3198	7.9
2006	Kentucky	Whitley County	21235	70	12294	0.6
2006	Louisiana		22000	45830	1807563	2.5
2006	Louisiana	Acadia Parish	22001	519	15213	3.4
2006	Louisiana	Ascension Parish	22005	325	33095	1.0
2006	Louisiana	Assumption Parish	22007	31	4667	0.7
2006	Louisiana	Avoyelles Parish	22009	7	10857	0.1
2006	Louisiana	Beauregard Parish	22011	43	8486	0.5
2006	Louisiana	Bienville Parish	22013	129	4310	3.0
2006	Louisiana	Bossier Parish	22015	1083	40639	2.7
2006	Louisiana	Caddo Parish	22017	2044	124232	1.6
2006	Louisiana	Calcasieu Parish	22019	1039	84354	1.2
2006	Louisiana	Caldwell Parish	22021	20	2528	0.8
2006	Louisiana	Cameron Parish	22023	166	2476	6.7
2006	Louisiana	Catahoula Parish	22025	41	2391	1.7
2006	Louisiana	Claiborne Parish	22027	383	4293	8.9
2006	Louisiana	Concordia Parish	22029	182	5351	3.4
2006	Louisiana	De Soto Parish	22031	440	5918	7.4
2006	Louisiana	East Baton Rouge Parish	22033	540	258551	0.2
2006	Louisiana	Evangeline Parish	22039	19	7761	0.2
2006	Louisiana	Iberia Parish	22045	3353	34058	9.8
2006	Louisiana	Iberville Parish	22047	110	13707	0.8
2006	Louisiana	Jefferson Parish	22051	1940	190405	1.0
2006	Louisiana	Jefferson Davis Parish	22053	257	8483	3.0
2006	Louisiana	Lafayette Parish	22055	14795	129769	11.4
2006	Louisiana	Lafourche Parish	22057	695	34804	2.0
2006	Louisiana	LaSalle Parish	22059	364	3914	9.3
2006	Louisiana	Lincoln Parish	22061	158	18019	0.9
2006	Louisiana	Livingston Parish	22063	130	20277	0.6
2006	Louisiana	Natchitoches Parish	22069	18	14416	0.1
2006	Louisiana	Orleans Parish	22071	3706	151931	2.4
2006	Louisiana	Ouachita Parish	22073	123	71158	0.2
2006	Louisiana	Plaquemines Parish	22075	1867	13981	13.4
2006	Louisiana	Rapides Parish	22079	87	60039	0.1
2006	Louisiana	Red River Parish	22081	55	2024	2.7
2006	Louisiana	Sabine Parish	22085	46	5592	0.8
2006	Louisiana	St. John the Baptist Parish	22095	413	14336	2.9
2006	Louisiana	St. Landry Parish	22097	566	24738	2.3
2006	Louisiana	St. Mary Parish	22101	1274	27032	4.7
2006	Louisiana	St. Tammany Parish	22103	267	69727	0.4
2006	Louisiana	Tangipahoa Parish	22105	127	40567	0.3
2006	Louisiana	Terrebonne Parish	22109	5723	54476	10.5
2006	Louisiana	Vermilion Parish	22113	1088	13447	8.1
2006	Louisiana	Vernon Parish	22115	64	15194	0.4
2006	Louisiana	Washington Parish	22117	82	10582	0.8
2006	Louisiana	Webster Parish	22119	375	13308	2.8
2006	Louisiana	Winn Parish	22127	44	5096	0.9
2006	Maine		23000	125	598525	0.0
2006	Maine	Hancock County	23009	12	22839	0.1
2006	Maine	Oxford County	23017	21	17835	0.1
2006	Maine	York County	23031	41	67729	0.1
2006	Maryland		24000	1794	2530011	0.1
2006	Maryland	Allegany County	24001	128	29857	0.4
2006	Maryland	Anne Arundel County	24003	82	225680	0.0
2006	Maryland	Baltimore County	24005	83	375359	0.0
2006	Maryland	Cecil County	24015	204	30012	0.7
2006	Maryland	Garrett County	24023	453	11754	3.9
2006	Maryland	Harford County	24025	9	81916	0.0
2006	Maryland	Montgomery County	24031	323	464876	0.1
2006	Maryland	"Prince George's County"	24033	173	312841	0.1
2006	Maryland	"Queen Anne's County"	24035	17	13575	0.1
2006	Maryland	Washington County	24043	65	66827	0.1
2006	Maryland	Worcester County	24047	8	24998	0.0
2006	Massachusetts		25000	1718	3194914	0.1
2006	Massachusetts	Berkshire County	25003	122	62736	0.2
2006	Massachusetts	Bristol County	25005	82	219866	0.0
2006	Massachusetts	Essex County	25009	84	296578	0.0
2006	Massachusetts	Hampden County	25013	92	198684	0.0
2006	Massachusetts	Hampshire County	25015	31	58217	0.1
2006	Massachusetts	Middlesex County	25017	443	800016	0.1
2006	Massachusetts	Norfolk County	25021	71	319976	0.0
2006	Massachusetts	Plymouth County	25023	373	176682	0.2
2006	Massachusetts	Worcester County	25027	283	319509	0.1
2006	Michigan		26000	6484	4235650	0.2
2006	Michigan	Allegan County	26005	180	34911	0.5
2006	Michigan	Alpena County	26007	36	11863	0.3
2006	Michigan	Antrim County	26009	8	5984	0.1
2006	Michigan	Arenac County	26011	35	5192	0.7
2006	Michigan	Bay County	26017	13	37075	0.0
2006	Michigan	Berrien County	26021	123	61482	0.2
2006	Michigan	Calhoun County	26025	43	57894	0.1
2006	Michigan	Clare County	26035	4	7140	0.1
2006	Michigan	Crawford County	26039	13	4159	0.3
2006	Michigan	Delta County	26041	12	14745	0.1
2006	Michigan	Eaton County	26045	34	31946	0.1
2006	Michigan	Emmet County	26047	5	17556	0.0
2006	Michigan	Genesee County	26049	11	146033	0.0
2006	Michigan	Grand Traverse County	26055	331	47323	0.7
2006	Michigan	Gratiot County	26057	11	14021	0.1
2006	Michigan	Hillsdale County	26059	18	13671	0.1
2006	Michigan	Ingham County	26065	225	161752	0.1
2006	Michigan	Iosco County	26069	58	7994	0.7
2006	Michigan	Isabella County	26073	334	29498	1.1
2006	Michigan	Jackson County	26075	42	56907	0.1
2006	Michigan	Kalamazoo County	26077	43	116003	0.0
2006	Michigan	Kalkaska County	26079	246	3830	6.4
2006	Michigan	Kent County	26081	123	339725	0.0
2006	Michigan	Lapeer County	26087	76	21141	0.4
2006	Michigan	Lenawee County	26091	35	30737	0.1
2006	Michigan	Livingston County	26093	47	49015	0.1
2006	Michigan	Manistee County	26101	37	7937	0.5
2006	Michigan	Marquette County	26103	1325	28217	4.7
2006	Michigan	Mecosta County	26107	3	11827	0.0
2006	Michigan	Montcalm County	26117	18	16362	0.1
2006	Michigan	Montmorency County	26119	25	2303	1.1
2006	Michigan	Oakland County	26125	240	698152	0.0
2006	Michigan	Ogemaw County	26129	29	6487	0.4
2006	Michigan	Osceola County	26133	216	6531	3.3
2006	Michigan	Otsego County	26137	277	11049	2.5
2006	Michigan	Ottawa County	26139	86	111724	0.1
2006	Michigan	St. Clair County	26147	6	49358	0.0
2006	Michigan	Sanilac County	26151	74	11751	0.6
2006	Michigan	Schoolcraft County	26153	147	2749	5.3
2006	Michigan	Shiawassee County	26155	69	16970	0.4
2006	Michigan	Tuscola County	26157	22	12345	0.2
2006	Michigan	Washtenaw County	26161	14	193360	0.0
2006	Michigan	Wayne County	26163	642	767197	0.1
2006	Michigan	Wexford County	26165	25	14901	0.2
2006	Minnesota		27000	5158	2670222	0.2
2006	Minnesota	Dakota County	27037	136	174071	0.1
2006	Minnesota	Freeborn County	27047	5	12800	0.0
2006	Minnesota	Hennepin County	27053	71	840777	0.0
2006	Minnesota	Kanabec County	27065	28	3734	0.7
2006	Minnesota	Marshall County	27089	15	2350	0.6
2006	Minnesota	Meeker County	27093	17	6920	0.2
2006	Minnesota	Morrison County	27097	15	11277	0.1
2006	Minnesota	Murray County	27101	19	2780	0.7
2006	Minnesota	Polk County	27119	62	12522	0.5
2006	Minnesota	Rice County	27131	41	22557	0.2
2006	Minnesota	St. Louis County	27137	2757	95644	2.9
2006	Minnesota	Scott County	27139	95	42618	0.2
2006	Minnesota	Stearns County	27145	130	79342	0.2
2006	Minnesota	Washington County	27163	62	74130	0.1
2006	Mississippi		28000	5815	1122474	0.5
2006	Mississippi	Adams County	28001	531	12116	4.4
2006	Mississippi	Clarke County	28023	128	2954	4.3
2006	Mississippi	Copiah County	28029	104	7872	1.3
2006	Mississippi	DeSoto County	28033	29	43189	0.1
2006	Mississippi	Forrest County	28035	36	37251	0.1
2006	Mississippi	Greene County	28041	19	2115	0.9
2006	Mississippi	Hinds County	28049	235	128160	0.2
2006	Mississippi	Jackson County	28059	26	48381	0.1
2006	Mississippi	Jasper County	28061	82	4259	1.9
2006	Mississippi	Jefferson Davis County	28065	71	2069	3.4
2006	Mississippi	Jones County	28067	1549	30320	5.1
2006	Mississippi	Lamar County	28073	36	16470	0.2
2006	Mississippi	Lincoln County	28085	154	12051	1.3
2006	Mississippi	Lowndes County	28087	38	25349	0.1
2006	Mississippi	Madison County	28089	96	42551	0.2
2006	Mississippi	Marion County	28091	116	7769	1.5
2006	Mississippi	Monroe County	28095	129	10684	1.2
2006	Mississippi	Panola County	28107	24	10982	0.2
2006	Mississippi	Pike County	28113	41	15684	0.3
2006	Mississippi	Rankin County	28121	170	54827	0.3
2006	Mississippi	Tippah County	28139	164	7221	2.3
2006	Mississippi	Walthall County	28147	5	2958	0.2
2006	Mississippi	Wayne County	28153	153	5462	2.8
2006	Missouri		29000	5206	2699860	0.2
2006	Missouri	Barry County	29009	43	15743	0.3
2006	Missouri	Bates County	29013	37	3768	1.0
2006	Missouri	Boone County	29019	77	81771	0.1
2006	Missouri	Callaway County	29027	106	14345	0.7
2006	Missouri	Cape Girardeau County	29031	77	41050	0.2
2006	Missouri	Cass County	29037	146	22757	0.6
