Company Name,Revenue Type,Commodity,Revenue,
BOZBH LLC,Other Revenues,Oil & Gas,3959.93,
BOZBH LLC,Rents,Oil & Gas,89815.5,
BOZBH LLC,Bonus,Oil & Gas,522800,
BOZBH LLC,Royalties,Gas,1141054.19,
BOZBH LLC,Royalties,Oil,5329625.06,
BPQHG CORP,Other Revenues,Oil & Gas,16571.23,
BPQHG CORP,Rents,Oil & Gas,42149.24,
BPQHG CORP,Royalties,Other Commodities,46393.14,
BPQHG CORP,Royalties,Gas,70985.08,
BPQHG CORP,Royalties,Oil,528265.63,
BRMJA INC,Rents,Oil & Gas,18249,
BRMJA INC,Bonus,Oil & Gas,138162,
BUCRE PARTNERS,Rents,Oil & Gas,117,
BUCRE PARTNERS,Royalties,Gas,18732.11,
BUCRE PARTNERS,Royalties,Oil,134382.93,
BVCEP PRODUCTION COMPANY,Royalties,Oil,237111.55,
BVGXG ENERGY COMPANY,Rents,Oil & Gas,10678114.5,
BVGXG ENERGY COMPANY,Bonus,Oil & Gas,82853672,
BWTYV EXPLORATION,Rents,Oil & Gas,110965.5,
BWTYV EXPLORATION,Bonus,Oil & Gas,151314,
BXGNJ INDUSTRIES,Royalties,Gas,967.55,
BXGNJ INDUSTRIES,Royalties,Oil,5068166.49,
BXIZJ INDUSTRIES,Royalties,Gas,12091.23,
BXIZJ INDUSTRIES,Royalties,Oil,360504.51,
BYCCN INDUSTRIES,Royalties,Gas,57658.82,
BYCCN INDUSTRIES,Royalties,Oil,112089.43,
BYJYV EXPLORATION,Other Revenues,Oil & Gas,760,
BYJYV EXPLORATION,Rents,Oil & Gas,1380,
BYJYV EXPLORATION,Royalties,Gas,36090.15,
BYJYV EXPLORATION,Royalties,Oil,782679.82,
BYRHM PRODUCTION COMPANY,Other Revenues,Oil & Gas,-40803.29,
BYRHM PRODUCTION COMPANY,Rents,Oil & Gas,6825,
BYRHM PRODUCTION COMPANY,Royalties,Oil,520576.4,
BYRHM PRODUCTION COMPANY,Royalties,Gas,798527.28,
BYTYZ INDUSTRIES,Rents,Oil & Gas,5985,
BYTYZ INDUSTRIES,Bonus,Oil & Gas,824274.5,
CACDE LLC,Other Revenues,Oil & Gas,11764.92,
CACDE LLC,Royalties,Gas,42293.16,
CACDE LLC,Royalties,Oil,543976.86,
CBJFP PRODUCTS,Rents,Oil & Gas,5806.5,
CBJFP PRODUCTS,Bonus,Oil & Gas,996075,
CDACZ MANAGEMENT CORP,Rents,Oil & Gas,214330.5,
CDADV HOLDINGS,Rents,Oil & Gas,192804,
CFPNT PRODUCTS,Rents,Oil & Gas,80,
CFPNT PRODUCTS,Royalties,Oil,623615.78,
CFRSQ LLC,Rents,Oil & Gas,25228.5,
CFRSQ LLC,Bonus,Oil & Gas,2473948,
CIHJI MANAGEMENT CORP,Rents,Oil & Gas,126720,
CIHJI MANAGEMENT CORP,Bonus,Oil & Gas,800000,
CJZUW PRODUCTION COMPANY,Other Revenues,Oil & Gas,9669.54,
CJZUW PRODUCTION COMPANY,Royalties,Other Commodities,11899.64,
CJZUW PRODUCTION COMPANY,Rents,Oil & Gas,70106.25,
CJZUW PRODUCTION COMPANY,Royalties,Gas,6210654.1,
CJZUW PRODUCTION COMPANY,Royalties,Oil,30685527.03,
CKTEX RESOURCES,Bonus,Oil & Gas,6468,
CKTEX RESOURCES,Other Revenues,Oil & Gas,7998.04,
CKTEX RESOURCES,Rents,Oil & Gas,59790.5,
CKTEX RESOURCES,Royalties,Oil,97166.07,
CKTEX RESOURCES,Royalties,Gas,1226297.77,
CMNUG PRODUCTS,Rents,Oil & Gas,3489.5,
CMNUG PRODUCTS,Royalties,Gas,20243.27,
CMNUG PRODUCTS,Bonus,Oil & Gas,10802900,
CNFUN PRODUCTION COMPANY,Bonus,Oil & Gas,90225,
CNFUN PRODUCTION COMPANY,Rents,Oil & Gas,398640.76,
CNFUN PRODUCTION COMPANY,Other Revenues,Oil & Gas,2380473.83,
CNFUN PRODUCTION COMPANY,Royalties,Gas,58347286,
CNFUN PRODUCTION COMPANY,Royalties,Oil,67574829.73,
CNUBM LLC,Royalties,Oil,562105.98,
CQAEL EXPLORATION,Rents,Oil & Gas,12483.5,
CQAEL EXPLORATION,Royalties,Gas,36694.42,
CQAEL EXPLORATION,Royalties,Oil,373029.75,
CQDYH PRODUCTS,Rents,Oil & Gas,33499,
CQDYH PRODUCTS,Royalties,Gas,290410.29,
CQDYH PRODUCTS,Bonus,Oil & Gas,290594,
CQDYH PRODUCTS,Royalties,Oil,1015520.62,
CRCTH ENERGY COMPANY,Other Revenues,Oil & Gas,70560.6,
CRCTH ENERGY COMPANY,Rents,Oil & Gas,1690760.84,
CRCTH ENERGY COMPANY,Bonus,Oil & Gas,9345000,
CRCTH ENERGY COMPANY,Royalties,Gas,12294209.98,
CRCTH ENERGY COMPANY,Royalties,Oil,71491281.6,
CSISA LLC,Other Revenues,Oil & Gas,558,
CSISA LLC,Rents,Oil & Gas,15344.5,
CSISA LLC,Royalties,Oil,706207.6,
CSISA LLC,Royalties,Gas,2302205.41,
CTSNO HOLDINGS,Other Revenues,Oil & Gas,18,
CTSNO HOLDINGS,Rents,Oil & Gas,500449,
CTSNO HOLDINGS,Royalties,Gas,936417.99,
CTSNO HOLDINGS,Bonus,Oil & Gas,2828027.72,
CTSNO HOLDINGS,Royalties,Oil,11424483.69,
CTWGE PRODUCTS,Rents,Sodium,10497,
CTWGE PRODUCTS,Royalties,Other Commodities,9083415.93,
CUAXV INDUSTRIES,Other Revenues,Oil & Gas,32890.82,
CUAXV INDUSTRIES,Rents,Oil & Gas,50201.33,
CUAXV INDUSTRIES,Royalties,Gas,1375433.12,
CVZCK INDUSTRIES,Rents,Oil & Gas,2082,
CVZCK INDUSTRIES,Bonus,Oil & Gas,242900,
CWMNH PRODUCTION COMPANY,Bonus,Oil & Gas,235013,
CWMNH PRODUCTION COMPANY,Rents,Oil & Gas,355157.16,
CXNTK LLC,Other Revenues,Oil & Gas,-334402.16,
CXNTK LLC,Rents,Oil & Gas,3400,
CXNTK LLC,Royalties,Oil,59326.19,
CXNTK LLC,Royalties,Gas,708901.92,
CYWQQ PRODUCTS,Royalties,Other Commodities,-1,
CYWQQ PRODUCTS,Other Revenues,Oil & Gas,18841.5,
CYWQQ PRODUCTS,Other Revenues,Coal,33052.46,
CYWQQ PRODUCTS,Rents,Coal,52716,
CYWQQ PRODUCTS,Royalties,Gas,5700705.12,
CYWQQ PRODUCTS,Rents,Oil & Gas,11553310.5,
CYWQQ PRODUCTS,Royalties,Coal,16002955.45,
CYWQQ PRODUCTS,Bonus,Oil & Gas,135179476,
CYWQQ PRODUCTS,Royalties,Oil,228695319.5,
CZYMP EXPLORATION,Rents,Oil & Gas,138705,
CZYMP EXPLORATION,Bonus,Oil & Gas,880000,
DBGEU PRODUCTION COMPANY,Rents,Oil & Gas,4377,
DBGEU PRODUCTION COMPANY,Bonus,Oil & Gas,14261100,
DCMAR ENERGY COMPANY,Other Revenues,Oil & Gas,565621,
DCMAR ENERGY COMPANY,Bonus,Oil & Gas,4023000,
DCMAR ENERGY COMPANY,Rents,Oil & Gas,6999173.46,
DCMAR ENERGY COMPANY,Royalties,Gas,28588353.6,
DCMAR ENERGY COMPANY,Royalties,Oil,66361051.77,
DDXBB MANAGEMENT CORP,Rents,Oil & Gas,9155,
DDXBB MANAGEMENT CORP,Other Revenues,Oil & Gas,26162.18,
DDXBB MANAGEMENT CORP,Royalties,Gas,189411.54,
DDXBB MANAGEMENT CORP,Royalties,Oil,202561.37,
DEJIO EXPLORATION,Rents,Oil & Gas,182959,
DEJIO EXPLORATION,Bonus,Oil & Gas,302242,
DEJIO EXPLORATION,Other Revenues,Oil & Gas,1983818.07,
DEJIO EXPLORATION,Royalties,Gas,18048920.88,
DEJIO EXPLORATION,Royalties,Oil,189896658.13,
DGKIU EXPLORATION,Rents,Oil & Gas,91876.5,
DGKIU EXPLORATION,Bonus,Oil & Gas,5701384,
DGQEV INDUSTRIES,Rents,Oil & Gas,2816743.5,
DGQEV INDUSTRIES,Other Revenues,Oil & Gas,3247788,
DGQEV INDUSTRIES,Royalties,Gas,16754646.88,
DGQEV INDUSTRIES,Bonus,Oil & Gas,58959817,
DGQEV INDUSTRIES,Royalties,Oil,122071711.19,
DIHCD MANAGEMENT CORP,Rents,Oil & Gas,4162,
DIHCD MANAGEMENT CORP,Other Revenues,Oil & Gas,16430.82,
DIHCD MANAGEMENT CORP,Royalties,Gas,26445.11,
DIHCD MANAGEMENT CORP,Royalties,Oil,571182.93,
DIPAI INDUSTRIES,Rents,Oil & Gas,783,
DIPAI INDUSTRIES,Royalties,Oil,108504,
DJRQS PARTNERS,Other Revenues,Oil & Gas,1920,
DJRQS PARTNERS,Rents,Oil & Gas,20174,
DJRQS PARTNERS,Royalties,Oil,37001.69,
DJRQS PARTNERS,Royalties,Gas,199797.9,
DKBHV PRODUCTION COMPANY,Rents,Oil & Gas,227470.5,
DKBHV PRODUCTION COMPANY,Royalties,Oil,547953.08,
DKBHV PRODUCTION COMPANY,Royalties,Gas,1025498.21,
DKNQM CORP,Other Revenues,Oil & Gas,8692.09,
DKNQM CORP,Bonus,Oil & Gas,171600,
DKNQM CORP,Rents,Oil & Gas,525376.85,
DKNQM CORP,Royalties,Gas,1806613.28,
DNBRX HOLDINGS,Other Revenues,Oil & Gas,49671,
DNBRX HOLDINGS,Royalties,Gas,410775.03,
DNBRX HOLDINGS,Royalties,Oil,8270533.09,
DNGXO LLC,Rents,Hardrock,700,
DNGXO LLC,Other Revenues,Hardrock,16197,
DNGXO LLC,Royalties,Other Commodities,9357932.72,
DOKPI EXPLORATION,Other Revenues,Oil & Gas,2512,
DOKPI EXPLORATION,Rents,Coal,20223,
DOKPI EXPLORATION,Rents,Oil & Gas,114562.7,
DOKPI EXPLORATION,Bonus,Oil & Gas,170962.5,
DOKPI EXPLORATION,Royalties,Gas,319802.59,
DOKPI EXPLORATION,Royalties,Coal,5564006.9,
DRUGR INC,Royalties,Oil,3695.62,
DRUGR INC,Royalties,Gas,184754.5,
DSDGL INDUSTRIES,Rents,Oil & Gas,6517.5,
DSDGL INDUSTRIES,Bonus,Oil & Gas,312515,
DSFYN MANAGEMENT CORP,Royalties,Gas,484876.03,
DTWLV INC,Rents,Oil & Gas,8902,
DTWLV INC,Royalties,Gas,13605.68,
DTWLV INC,Royalties,Oil,229396.91,
DVMJR HOLDINGS,Other Revenues,Oil & Gas,-953215.12,
DVMJR HOLDINGS,Royalties,Other Commodities,41117.68,
DVMJR HOLDINGS,Rents,Oil & Gas,23093504.43,
DVMJR HOLDINGS,Royalties,Oil,95383339.31,
DVMJR HOLDINGS,Bonus,Oil & Gas,108197012,
DVMJR HOLDINGS,Royalties,Gas,160893373.3,
DVSDF ENERGY COMPANY,Royalties,Gas,522730.29,
DVSDF ENERGY COMPANY,Bonus,Oil & Gas,4416669,
DVSDF ENERGY COMPANY,Rents,Oil & Gas,5762966.82,
DVSDF ENERGY COMPANY,Royalties,Oil,25643647.6,
DVYSH LLC,Royalties,Oil,34896960.44,
DWZNA EXPLORATION,Rents,Oil & Gas,906.5,
DWZNA EXPLORATION,Other Revenues,Oil & Gas,2732,
DWZNA EXPLORATION,Royalties,Oil,216333.16,
DXKDF MANAGEMENT CORP,Royalties,Gas,2922,
DXKDF MANAGEMENT CORP,Royalties,Other Commodities,1317325,
DYCGV ENERGY COMPANY,Rents,Oil & Gas,1228.5,
DYCGV ENERGY COMPANY,Royalties,Gas,3239.79,
DYCGV ENERGY COMPANY,Royalties,Oil,147560.46,
EAINH PARTNERS,Rents,Coal,21924,
EAINH PARTNERS,Royalties,Coal,602007.44,
EANIF RESOURCES,Rents,Oil & Gas,3990,
EANIF RESOURCES,Royalties,Gas,1519692.22,
EANIF RESOURCES,Royalties,Oil,18659471.54,
EBOOS INC,Rents,Oil & Gas,-1280,
EBOOS INC,Royalties,Oil,115767.54,
EDDTS INC,Other Revenues,Oil & Gas,20113.58,
EDDTS INC,Rents,Oil & Gas,71073.75,
EDDTS INC,Royalties,Gas,301598.24,
EDDTS INC,Royalties,Oil,782173.92,
EDVHB ENERGY COMPANY,Other Revenues,Oil & Gas,-110233.52,
EDVHB ENERGY COMPANY,Rents,Oil & Gas,127582,
EDVHB ENERGY COMPANY,Bonus,Oil & Gas,728750,
EDVHB ENERGY COMPANY,Royalties,Gas,2515938.11,
EDVHB ENERGY COMPANY,Royalties,Oil,8301103.33,
EGMJI MANAGEMENT CORP,Rents,Oil & Gas,9109,
EGMJI MANAGEMENT CORP,Other Revenues,Oil & Gas,2384155.08,
EGMJI MANAGEMENT CORP,Royalties,Gas,22489304.55,
EGMJI MANAGEMENT CORP,Royalties,Oil,47852961.31,
EGUFI LLC,Rents,Oil & Gas,11644.5,
EGUFI LLC,Bonus,Oil & Gas,111386,
EHFTV PRODUCTION COMPANY,Rents,Oil & Gas,7635,
EHFTV PRODUCTION COMPANY,Bonus,Oil & Gas,213980,
EHIAB MANAGEMENT CORP,Other Revenues,Oil & Gas,-45482.09,
EHIAB MANAGEMENT CORP,Rents,Oil & Gas,253414,
EHIAB MANAGEMENT CORP,Bonus,Oil & Gas,420000,
EHIAB MANAGEMENT CORP,Royalties,Gas,5528817.57,
EHIAB MANAGEMENT CORP,Royalties,Oil,17489872.57,
EHIKJ LLC,Rents,Oil & Gas,9372.5,
EHIKJ LLC,Bonus,Oil & Gas,1076300,
EIUPH INC,Rents,Oil & Gas,440,
EIUPH INC,Royalties,Gas,12318.55,
EIUPH INC,Royalties,Oil,311669.08,
EIYLY PARTNERS,Rents,Oil & Gas,120,
EIYLY PARTNERS,Royalties,Oil,168505.84,
EJWWE EXPLORATION,Bonus,Oil & Gas,35915,
EJWWE EXPLORATION,Other Revenues,Oil & Gas,54600,
EJWWE EXPLORATION,Rents,Oil & Gas,115132,
EJWWE EXPLORATION,Royalties,Gas,1040434.84,
EKCSR MANAGEMENT CORP,Royalties,Other Commodities,262561.58,
ELRSL INC,Other Revenues,Oil & Gas,2000,
ELRSL INC,Rents,Oil & Gas,3941.5,
ELRSL INC,Royalties,Oil,94126.72,
ELRSL INC,Royalties,Gas,439419.38,
EOVJI MANAGEMENT CORP,Rents,Oil & Gas,5074.5,
EOVJI MANAGEMENT CORP,Bonus,Oil & Gas,1151150,
EPONT INDUSTRIES,Other Revenues,Oil & Gas,240,
EPONT INDUSTRIES,Rents,Oil & Gas,14845,
EPONT INDUSTRIES,Royalties,Oil,314534.91,
EQKBU MANAGEMENT CORP,Rents,Oil & Gas,52500,
EQKBU MANAGEMENT CORP,Royalties,Gas,958552.17,
EQKBU MANAGEMENT CORP,Other Revenues,Oil & Gas,1317000,
EQKBU MANAGEMENT CORP,Bonus,Oil & Gas,2244900,
EQKBU MANAGEMENT CORP,Royalties,Oil,10683727.68,
EQRMU LLC,Rents,Phosphate,-7371.5,
EQRMU LLC,Rents,Copper,-2611,
EQRMU LLC,Rents,Gilsonite,212.5,
EQRMU LLC,Rents,Clay,314,
EQRMU LLC,Rents,Oil Shale,640,
EQRMU LLC,Other Revenues,Clay,942,
EQRMU LLC,Royalties,Coal,1060.98,
EQRMU LLC,Rents,Sodium,3082.5,
EQRMU LLC,Other Revenues,Sodium,3642,
EQRMU LLC,Other Revenues,Gilsonite,5418,
EQRMU LLC,Other Revenues,Geothermal,9964.94,
EQRMU LLC,Other Revenues,Phosphate,10278,
EQRMU LLC,Bonus,Geothermal,19170,
EQRMU LLC,Rents,Coal,20435.5,
EQRMU LLC,Other Revenues,Hardrock,20579.4,
EQRMU LLC,Other Revenues,Potassium,23616,
EQRMU LLC,Other Revenues,Copper,26110,
EQRMU LLC,Rents,Hardrock,28139.5,
EQRMU LLC,Rents,Potassium,75918,
EQRMU LLC,Rents,Wind,122437.84,
EQRMU LLC,Royalties,Other Commodities,170214.17,
EQRMU LLC,Royalties,Geothermal,219134.47,
EQRMU LLC,Other Revenues,Oil & Gas,299891.52,
EQRMU LLC,Rents,Geothermal,629710,
EQRMU LLC,Bonus,Oil & Gas,1574923.75,
EQRMU LLC,Royalties,Oil,6657797.74,
EQRMU LLC,Royalties,Gas,6783807.21,
EQRMU LLC,Rents,Oil & Gas,7391616.34,
ETURK PARTNERS,Rents,Oil & Gas,42474.75,
ETURK PARTNERS,Other Revenues,Oil & Gas,60305.13,
ETURK PARTNERS,Royalties,Gas,115765.08,
ETURK PARTNERS,Bonus,Oil & Gas,2362000,
ETURK PARTNERS,Royalties,Oil,3219873.21,
ETXKD PRODUCTION COMPANY,Rents,Oil & Gas,36120,
ETXKD PRODUCTION COMPANY,Royalties,Gas,222812.59,
ETXKD PRODUCTION COMPANY,Royalties,Oil,15938553.09,
EUCOM PARTNERS,Rents,Oil & Gas,107448.5,
EUCOM PARTNERS,Bonus,Oil & Gas,399245,
EUXAI INC,Rents,Oil & Gas,35694,
EUXAI INC,Royalties,Oil,81513.6,
EUXAI INC,Royalties,Gas,1729604.14,
EUXAI INC,Bonus,Oil & Gas,4223040,
EXIHH PRODUCTION COMPANY,Rents,Oil & Gas,24966,
EXIHH PRODUCTION COMPANY,Royalties,Gas,3129677.46,
EYEQE INC,Rents,Oil & Gas,1446,
EYEQE INC,Other Revenues,Oil & Gas,15075,
EYEQE INC,Royalties,Gas,41303.89,
EYEQE INC,Royalties,Oil,3487935.56,
EYPRK PRODUCTS,Royalties,Oil,22753.93,
EYPRK PRODUCTS,Other Revenues,Oil & Gas,27073,
EYPRK PRODUCTS,Royalties,Gas,171245.78,
EYSVZ INDUSTRIES,Other Revenues,Oil & Gas,2866.41,
EYSVZ INDUSTRIES,Rents,Oil & Gas,10098,
EYSVZ INDUSTRIES,Royalties,Gas,98531.58,
EYSVZ INDUSTRIES,Royalties,Oil,539472.83,
EZHWV ENERGY COMPANY,Royalties,Gas,495.5,
EZHWV ENERGY COMPANY,Rents,Oil & Gas,739.5,
EZHWV ENERGY COMPANY,Royalties,Oil,154151.68,
EZHWV ENERGY COMPANY,Bonus,Oil & Gas,816225,
EZJBW INDUSTRIES,Rents,Sodium,7295,
EZJBW INDUSTRIES,Other Revenues,Sodium,21885,
EZJBW INDUSTRIES,Royalties,Other Commodities,12735481.56,
FALSZ CORP,Royalties,Oil,1284.87,
FALSZ CORP,Rents,Oil & Gas,62968.5,
FALSZ CORP,Royalties,Gas,4098215.93,
FAOWA INDUSTRIES,Rents,Oil & Gas,150,
FAOWA INDUSTRIES,Royalties,Oil,11900.53,
FAOWA INDUSTRIES,Royalties,Gas,131677.51,
FASAS MANAGEMENT CORP,Other Revenues,Coal,2495.5,
FASAS MANAGEMENT CORP,Rents,Coal,60873.11,
FASAS MANAGEMENT CORP,Royalties,Coal,5248718.8,
FBQAH RESOURCES,Other Revenues,Oil & Gas,-85.09,
FBQAH RESOURCES,Rents,Oil & Gas,1280,
FBQAH RESOURCES,Royalties,Gas,129714.16,
FBQAH RESOURCES,Royalties,Oil,262006.01,
FDMRK CORP,Royalties,Gas,1973.91,
FDMRK CORP,Rents,Oil & Gas,9705,
FDMRK CORP,Royalties,Oil,5131066.67,
FDSCX PARTNERS,Rents,Oil & Gas,2679,
FDSCX PARTNERS,Royalties,Oil,554590.78,
FEEED RESOURCES,Other Revenues,Oil & Gas,44,
FEEED RESOURCES,Rents,Oil & Gas,2926,
FEEED RESOURCES,Royalties,Gas,53152.34,
FEEED RESOURCES,Royalties,Oil,55779.76,
FHFKV MANAGEMENT CORP,Royalties,Geothermal,2053.5,
FHFKV MANAGEMENT CORP,Other Revenues,Geothermal,3253.54,
FHFKV MANAGEMENT CORP,Rents,Geothermal,154491,
FHTNL PARTNERS,Royalties,Gas,368548.84,
FIDDL LLC,Rents,Coal,38796,
FIDDL LLC,Royalties,Coal,37430557.6,
FIDDL LLC,Bonus,Coal,42129612,
FLYRH INC,Rents,Oil & Gas,12896,
FLYRH INC,Royalties,Other Commodities,30065.26,
FLYRH INC,Royalties,Oil,150909.31,
FLYRH INC,Royalties,Gas,563740.33,
FMFMD PARTNERS,Rents,Oil & Gas,71016,
FMFMD PARTNERS,Royalties,Gas,525965.42,
FMFMD PARTNERS,Bonus,Oil & Gas,2713800,
FMFMD PARTNERS,Royalties,Oil,15112691.27,
FQLTT PARTNERS,Royalties,Gas,23751.47,
FQLTT PARTNERS,Rents,Oil & Gas,70060,
FQLTT PARTNERS,Bonus,Oil & Gas,175000,
FQLTT PARTNERS,Royalties,Oil,522889.06,
FQVVV PRODUCTS,Other Revenues,Oil & Gas,2504216.3,
FQVVV PRODUCTS,Rents,Oil & Gas,21106245.02,
FQVVV PRODUCTS,Bonus,Oil & Gas,60558644,
FQVVV PRODUCTS,Royalties,Gas,166371829.38,
FQVVV PRODUCTS,Royalties,Oil,216348982.77,
FRKPS RESOURCES,Rents,Oil & Gas,19304,
FRKPS RESOURCES,Royalties,Gas,73116.37,
FRKPS RESOURCES,Royalties,Oil,1004250.67,
FSGDY RESOURCES,Other Revenues,Phosphate,46509,
FSGDY RESOURCES,Royalties,Other Commodities,4359241.86,
FSLDK PRODUCTION COMPANY,Rents,Oil & Gas,345578,
FUISY ENERGY COMPANY,Rents,Oil & Gas,146749.1,
FVBUP ENERGY COMPANY,Other Revenues,Oil & Gas,-300000,
FVBUP ENERGY COMPANY,Rents,Oil & Gas,83907,
FVBUP ENERGY COMPANY,Royalties,Gas,6505837.34,
FVBUP ENERGY COMPANY,Royalties,Oil,9852538.32,
FVJEZ ENERGY COMPANY,Other Revenues,Oil & Gas,-21.57,
FVJEZ ENERGY COMPANY,Rents,Oil & Gas,90,
FVJEZ ENERGY COMPANY,Royalties,Oil,334289.11,
FVJEZ ENERGY COMPANY,Royalties,Gas,1133994.55,
FVLBA MANAGEMENT CORP,Rents,Oil & Gas,249451.5,
FXAXV LLC,Royalties,Gas,758.91,
FXAXV LLC,Royalties,Oil,133009.02,
FYVVQ INC,Other Revenues,Oil & Gas,3364.2,
FYVVQ INC,Bonus,Oil & Gas,9568,
FYVVQ INC,Rents,Oil & Gas,20736.5,
FYVVQ INC,Royalties,Gas,54301.08,
FYVVQ INC,Royalties,Oil,4546857.19,
GAGHX RESOURCES,Rents,Oil & Gas,658,
GAGHX RESOURCES,Other Revenues,Oil & Gas,37833,
GAGHX RESOURCES,Royalties,Gas,80161.52,
GAGHX RESOURCES,Royalties,Oil,204747.47,
GBOXR HOLDINGS,Rents,Oil & Gas,6604,
GBOXR HOLDINGS,Royalties,Oil,28444.28,
GBOXR HOLDINGS,Royalties,Gas,77737.97,
GBQVI PRODUCTS,Rents,Geothermal,71194,
GBQVI PRODUCTS,Royalties,Geothermal,167452.07,
GEBQN RESOURCES,Royalties,Gas,158990.34,
GFHUE PRODUCTION COMPANY,Rents,Oil & Gas,29541.5,
GFHUE PRODUCTION COMPANY,Bonus,Oil & Gas,1185890,
GFQLX INC,Rents,Oil & Gas,-1728,
