State,Revenue Type,Commodity,Revenue
Wyoming,Royalties,Other Commodities,42995801.77
Wyoming,Other Revenues,Coal,3587620.43
Wyoming,Other Revenues,Oil & Gas,3643762.81
Wyoming,Other Revenues,Sodium,25024.98
Utah,Rents,Oil & Gas,3104058.08
Montana,Rents,Oil & Gas,1878653.77
Wyoming,Rents,Oil & Gas,12156742.95
New Mexico,Bonus,Oil & Gas,55792554
Alabama,Rents,Oil & Gas,132265
Kansas,Rents,Oil & Gas,43178
California,Rents,Geothermal,165028
Utah,Rents,Geothermal,367606
New Mexico,Rents,Sodium,-2920
Utah,Rents,Gilsonite,1826.5
New Mexico,Rents,Oil & Gas,2052419.13
Mississippi,Rents,Oil & Gas,732154
Oklahoma,Rents,Oil & Gas,351924.85
Minnesota,Rents,Hardrock,19571
Kentucky,Rents,Coal,8659.5
Idaho,Rents,Phosphate,18
Wyoming,Rents,Coal,603037.53
Colorado,Rents,Oil & Gas,4221688.66
Indiana,Rents,Oil & Gas,12833
Oregon,Rents,Geothermal,238862
Michigan,Rents,Oil & Gas,140004.33
California,Rents,Sodium,2532.5
New Mexico,Bonus,Geothermal,82500
Louisiana,Rents,Oil & Gas,374638
Colorado,Bonus,Oil & Gas,3131195.5
Oklahoma,Bonus,Oil & Gas,1316388
Washington,Rents,Coal,2406
Minnesota,Rents,Copper,-2611
Alabama,Rents,Coal,13254
Alaska,Rents,Oil & Gas,5322862.49
Virginia,Rents,Oil & Gas,20991
Ohio,Rents,Oil & Gas,17323.77
Idaho,Rents,Geothermal,160841
Washington,Rents,Geothermal,8437
Oregon,Rents,Oil & Gas,377474
Nevada,Rents,Geothermal,1555646
Montana,Rents,Hardrock,20
New Mexico,Rents,Coal,76314
Missouri,Rents,Hardrock,700
North Dakota,Rents,Coal,37770
South Dakota,Rents,Oil & Gas,220881
California,Rents,Oil & Gas,278357.5
New Mexico,Rents,Geothermal,55235
Texas,Bonus,Oil & Gas,6162995
Colorado,Rents,Sodium,-11841
Utah,Rents,Potassium,91694.5
North Dakota,Rents,Oil & Gas,911698.14
Arkansas,Rents,Oil & Gas,481258
Nevada,Rents,Oil & Gas,5806356.5
Texas,Rents,Oil & Gas,444939.38
Utah,Rents,Coal,211455.2
North Dakota,Bonus,Oil & Gas,61506804
Utah,Bonus,Oil & Gas,6144252
Wyoming,Bonus,Oil & Gas,42415725
West Virginia,Rents,Oil & Gas,82744
Montana,Rents,Coal,111696
Colorado,Rents,Geothermal,28262
Idaho,Rents,Hardrock,40
Wyoming,Rents,Sodium,39715
Colorado,Rents,Coal,64323.78
Nevada,Rents,Potassium,2501
California,Rents,Potassium,0
Montana,Rents,Phosphate,-4227
Mississippi,Bonus,Oil & Gas,333880
Utah,Rents,Phosphate,-7560
Louisiana,Bonus,Oil & Gas,-21202
Colorado,Bonus,Coal,2069201.35
New Mexico,Rents,Potassium,-25543.5
Arkansas,Bonus,Oil & Gas,25000
Virginia,Rents,Hardrock,-710
Nevada,Bonus,Geothermal,13844
Oklahoma,Rents,Coal,34113
New Mexico,Bonus,Potassium,504944
North Carolina,Rents,Hardrock,-316
Alaska,Bonus,Oil & Gas,1058899
Nebraska,Rents,Oil & Gas,3726
Arkansas,Rents,Hardrock,-100
Kentucky,Rents,Oil & Gas,5754
Florida,Rents,Phosphate,0
Wyoming,Bonus,Coal,457930360.44
Nevada,Bonus,Oil & Gas,1989254
Arizona,Rents,Oil & Gas,35167
Arizona,Bonus,Oil & Gas,24436
Michigan,Bonus,Oil & Gas,277614
Alaska,Rents,Geothermal,7680
Utah,Rents,Oil Shale,320
Montana,Bonus,Oil & Gas,552566.75
California,Rents,Hardrock,105
Kansas,Bonus,Oil & Gas,24000
California,Bonus,Oil & Gas,190982
Maryland,Rents,Oil & Gas,496
South Dakota,Bonus,Oil & Gas,502153
Utah,Rents,Clay,314
Colorado,Rents,Potassium,8720
Utah,Bonus,Coal,40320
Nebraska,Bonus,Oil & Gas,26824
Idaho,Rents,Oil & Gas,8274
South Carolina,Rents,Hardrock,1110
Colorado,Rents,Oil Shale,1556
