State	Grant Number	Fiscal Year	Element Name	Grant Status	Obligation Amount	Grant Type	Sponsor Name	Project Description	Park Name	Park County	Park CD.	Park Total Acres
FL	579	2011	GRANDVIEW PARK	A	150,000.00	D	CITY OF ST. PETERSBURG	Grant funds will be used to develop and renovate an existing 8.48± park in the City of St. Petersburg. The project will provide more opportunities for residents and visitors to participate in a wider range of wholesome outdoor recreational activities, including fishing, nature study, bird watching, nature photography, and environmental education.	GRANDVEIW PARK	PINELLAS	10	8.5
FL	584	2011	LEWIS LANDING PARK	A	200,000.00	D	CITY OF FORT LAUDERDALE	Grant funds will be used to develop an 1.25± new park in the City of Fort Lauderdale. The project will result in public access to the largest river in the City. Development will include gazebo/picnic facilities, dock, walking trail, and other related support facilities.	LEWIS LANDING PARK	BROWARD	20	1.3
GA	921	2011	COMMERCE CITY PARK (WATERWORKS)	C	105,000.00	A	CITY OF COMMERCE	Grant funds will be used to aid the City of Commerce to acquire approximately 44+/- acres which will create a new recreation area. This tract of land will lend itself very well to the development of facilities for both active and passive recreational activities.	COMMERCE COMMUNITY PARK	Banks	10	44
GA	920	2011	MOORE'S BRIDGE PARK	A	105,000.00	D	CARROLL COUNTY	Grant funds will be used to develop a 488+/- acre new park in Carroll County. This site is a perfect combination of a development and a rehabilitation grant. The County has chosen to pursue ideas that will incorporate the history (through the rehabilitation of a trail system) with modernity (through the development of new recreational opportunities and facilities). The new development will include, but is not limited to, campgrounds, picnic areas, natural area, and a passive park area.	MOORE'S BRODGE PARK	CARROLL	3	488
GA	926	2011	WESTSIDE PARK-MIRACLE LEAGUE FIELD	C	105,000.00	D	WHITFIELD COUNTY	Grant funds will be used to develop a 83+/- acre new park in Whitfield County. This site will be a custom-designed venue that incorporates a cushioned synthetic turf that accommodates wheelchairs and other walking assistance devices while helping prevent injuries. It provides a level-playfield where physically and mentally challenged children and adults can hit, run, and ctach-just like the best of them.	WESTSIDE PARK-MIRCLE LEAGUE PARK	Whitfield	0	12
GA	923	2011	WAR HILL PARK	C	87,500.00	R	DAWSON COUNTY	Grant funds will be used to enhance the renovation at this 108+/- acre site of War HIll Park. The renovation will include the resurfacing of all parking areas and roadways within the park. This site is leased to Dawson County for a period of 25 years.	WAR HILL PARK	DAWSON	9	108
GA	924	2011	RUTLEDGE CITY PARK	C	65,520.00	R	CITY OF RUTLEDGE	Grant funds will be used to enhance the renovation development at the existing 7.8+/- acres of Ruthledge City Park. This site will consists of a ballfield, skate park, basketball court and support facilities. This park is the only one in the city; and the excitement is building for the skate park.	RUTLEDGE CITY PARK	MORGAN	10	7.8
GA	922	2011	HALPREN PARK	C	26,250.00	R	CITY OF DORAVILLE	Grant funds will be used to enhance the renovation of the 4.24+/- acre park site of Halpren Park. Renoavation at Halpren Park will include new picnic tables, picnic pads, playground equipment, walking trails, and natural areas.	HALPREN PARK	DeKalb	6	4.2
GA	925	2011	CHARLES MILTON DANIEL PARK	C	36,750.00	R	CITY OF MORROW	Grant funds will be used to enhance the existing 3+/- acres of Milton Daniel Park. Milton Daniel Park is Morrow's biggest and most utilized city park. It is adjacent to Morrow City Hall and is accessible to neighborhoods, restaurants and commercial outlets. The park is outfitted with new playground equipment through a previous LWCF grant. This grant will resurface the walking trail making it cleaner and requiring less maintenance.	CHARLES MILTON DANIEL PARK	CLAYTON	13	3
GU	33	2011	DPR GUAM SPORTS COMPLEX SEATING	A	103,630.00	D	GOVERNMENT OF GUAM	This project provides spectator seating for a newly developed, LWCF-assisted baseball park consisting of four multi-purpose baseball fields. This particular outdoor recreation opportunity (baseball) would not be available here were it not for LWCF-assistance. Our projects here are an investment in the long-term health and wellness of the island's residents.	GUAM SPORTS COMPLEX	GUAM	0	59.7
HI	164	2011	ALA WAI COMMUNITY PARK, OAHU	A	518,656.00	R	CITY AND COUNTY OF HONOLULU	This grant provides funding to renovate the electrical system and ballfield lighting in Ala Wai Community Park. Eight existing light poles and fixtures around the outfield will be replaced with energy efficient luminaries to reduce ambient light and impacts to surrounding neighbors. The fields here are heavily used by the leagues from the surrounding McCully and Moili'ili communities.	ALA WAI COMMUNITY PARK	HONOLULU	1	14
IA	1,284	2011	DAKINS LAKE EXPANSION-DAKINS TRUST PROPERTY	C	36,090.25	A	STORY COUNTY	The Story County (Iowa) Conservation Board will utilize a Land and Water Conservation Fund grant to assist in the acquisition of 62.0 acres to expand Dakins Lake County Park from 41.5 to 103.5 acres. The purchase will allow the County at a future time to increase the surface acres of the lake and to provide an RV campground and shower/restroom facility. The park is in the northeast corner of Story County, just north of the Zearing city limits and County Highway E18.	DAKINS LAKE COUNTY PARK	Story	2	103.2
IA	1,282	2011	JESTER PARK ACCESS IMPROVEMENTS	C	61,500.00	D	POLK COUNTY	The Polk County (Iowa) Conservation Board will utilize a Land and Water Conservation Fund grant to assist in the construction of an accessible trail around Two Dam Pond, an accessible fishing pier and canoe launch, additional parking, and new restroom facilities within Jester Park. The trail will meander throughout the park’s forested area and will include a bridge providing access to a proposed wetland and a reconstructed prairie. The additional parking and restroom are located near picnic shelter #5 within the park. The 1,834-acre Jester Park, located on the western shore of Saylorville Lake ½ hour from downtown Des Moines, is one of central Iowa’s favorite outdoor playgrounds since 1958. The park stretches from the Highway 17 Bridge north of Granger to the Mile-Long Bridge that crosses Saylorville Lake into Polk City.	JESTER PARK	POLK	3	1,834.00
ID	559	2011	PAUL COMMUNITY PARK	C	150,000.00	D	CITY OF PAUL	This grant provides funding for the continuing development of Paul’s Community Park. A spray park, horseshoe pits, restroom with changing area, five picnic shelters, soccer fields, walking path with exercise stations, parking improvements and utilities are included in project funding. The spray park is the first of its kind in this area and is expected to be a very popular feature.	PAUL COMMUNITY PARK	MINIDOKA	2	11.6
ID	558	2011	FARRAGUT WATER TOWER	A	300,000.00	R	ID DEPARTMENT OF PARKS AND RECREATION	This grant provides funding to renovate the existing water tower and bury an overhead power line at Farragut State Park to ensure the continued health and safety of all park visitors. Without clean, safe water this world renowned and heavily used state park would be forced to close.	FARRAGUT STATE PARK	KOOTENAI	1	2,644.60
IL	968	2011	THE GROVE ADDITION	C	750,000.00	A	GLENVIEW PARK DIST.	The Glenview Park District (Cook County, Illinois) will utilize a Land and Water Conservation Fund grant to assist in purchasing a 4.5-acre addition to an existing 123-acre park known as The Grove. The new parklands are within an area designated as the Grove National Historic Landmark and are contiguous to the 50-acre Illinois Nature Preserve. Historical maps and documents will be used to restore the property in a manner that will ensure it continues to be an ecologically diverse prairie. Future development will be limited to trails for wildlife observation, nature studies and environmental education, and general photographic opportunities.	THE GROVE	COOK	10	127.5
IN	572	2011	WILL DETMER PARK	C	200,000.00	C	MONROE COUNTY PARK BOARD	The Monroe County (Indiana) Parks and Recreation Board will utilize a Land and Water Conservation Fund grant to assist in acquiring and developing 18 acres west of Bloomington for a new county park. The grant scope includes an irrigated community garden which will provide a new type of outdoor recreation opportunity for the citizens of Monroe County, plus a fishing pier, a playground, a basketball court, a picnic shelter, an observation area, a trail, and general support facilities.	WILL DETMER PARK	MONROE	9	18
IN	574	2011	ALTHERR PARK	A	200,000.00	C	MONTICELLO PARK BOARD	The Monticello (White County, Indiana) Parks Board will utilize a Land and Water Conservation Fund grant to assist in the acquisition and development of 16 acres on the City’s south side for a new family-oriented nature park. The grant scope for Altherr Park includes trail construction, picnic area, and general support facilities. The grant sponsor will preserve 7 acres of existing woodlands, create a 3-acre prairie, remove invasive species, and add new flora. The walking trail will connect to the City’s multi-modal community trail, linking the park to nearby parks and other parts of the City.	ALTHERR PARK	WHITE	4	16
IN	573	2011	ZIONSVILLE PARK	C	200,000.00	C	ZIONSVILLE PARK BOARD	The Zionsville (Boone County, Indiana) Park Board will utilize a Land and Water Conservation Fund grant to assist in the acquisition and development of 10 acres located in Zionsville. The grant scope includes the construction of a trailhead for the 3.5 mile Rail Trail.	ZIONSVILLE PARK	BOONE	4	10
IN	575	2011	BECKENHOLDT PARK PHASE II	C	156,466.00	D	GREENFIELD PARK & RECREATION BOARD	The Greenfield (Hancock County, Indiana) Park Board will utilize a Land and Water Conservation Fund grant to assist in the acquisition and development of 30 acres as an addition to Beckenholdt Park. The grant scope includes additional trails, new picnic areas, a natural area, and a boardwalk over the wetland areas. These new opportunities will benefit the public by providing a natural area to bring the public closer to nature and enhancing their understanding and appreciation of the natural environment.	BECKENHOLDT PARK	HANCOCK	5	51.6
KS	749	2011	HILLSDALE STATE PARK CAMPGROUND DEVELOPMENT	A	501,971.00	D	DEPT. OF WILDLIFE & PARKS	The Kansas Department of Wildlife and Parks will utilize a Land and Water Conservation Fund grant to assist in constructing a new campground within Hillsdale State Park. The grant scope includes cabins and campsites, utilities, roads, and parking facilities in the Scott Creek area of the park. Although another campground already exists, the cabins will be the first in the park. Hillsdale State Park is located in the rolling hills of Miami County near Paola south of Kansas City, providing camping, fishing, boating and sailing, hunting, horseback riding, and sightseeing. The park is on the southern edge of Hillsdale Reservoir and is heavily used by metro Kansas City residents.	HILLSDALE STATE PARK	Miami	0	12,880.00
KY	1,415	2011	WILLIAMSTOWN MARINA DOCK	C	28,750.00	D	CITY OF WILLIAMSTOWN	Grant funds will be used to replace a previous dock that was utilized as boat slips for boaters using the Lake at this existing 335+/- acres site of Marina Dock. This dock will serve hundreds of recreational users for many years.	WILLIAMSTOWN LAKE	GRANT	4	335
KY	1,414	2011	MIKE MILLER COUNTY PARK WATER SPRAYPAD	C	70,000.00	D	MARSHALL COUNTY FISCAL COURT	Grant funds will be used to enhance the existing 83.7+/- acres of Mike Miller Park. This site will consist of a zero depth water spray pad which will have a flat concrete surface and will have four to six water spray elements.	MIKE MILLER COUNTY PARK	MARSHALL	1	83.7
KY	1,427	2011	MONTICELLO/WAYNE CO. PARK PUTT PUTT AND SHELTER	A	18,150.00	D	WAYNE COUNTY FISCAL COURT	Grant funds will be used to enhance this existing 81.7+/- acres of Monticello/Wayne County Park. This site will consist of the construction of an 18 hole putt-putt golf course and the renovation of two picnic shelters. The County has received several previous L&WCF monies in the past.	MONTICELLO/WAYNE COUNTY PARK	WAYNE	5	81.7
KY	1,429	2011	OXFORD ROAD PARK	A	65,000.00	D	CITY OF GEORGETOWN	Grant funds will be used to develop a 24.67+/- acre newly created park in the City of Georgetown. Oxford Road Park will support an area of Georgetown where no park exists. This site will be a great asset to the community and the development will add picnic areas, tot lot, parking, and walkways.	OXFORD ROAD PARK	SCOTT	4	24.7
KY	1,428	2011	MUNFORDVILLE SPORTS COMPLEX PHASE II	C	65,000.00	D	CITY OF MUNFORDVILLE	Grant funds will be used to develop a 20+/- acre newly created site in the City of Munfordville. Munfordville Sports Complex will provide a complex that will host soccer leagues for handicapped youth, as well as, regional tournments.	MUNFORDVILLE SPORTS COMPLEX	HART	2	20
KY	1,430	2011	BALLARD COUNTY RECREATIONAL PARK IMPROVEMENTS	A	65,365.00	D	BALLARD COUNTY FISCAL COURT	Grant funds will be used to enhance the existing 11.57+/- acres of Ballard County Recreation Park. This site will consist of the renovation of baseball fields and the development of concession building and a comfort station that will continue to provide outdoor recreational opportunities for the community for many years.	BALLARD COUNTY PARK	BALLARD	1	17
KY	1,421	2011	RIVERSIDE PARK PARKING LOT & RV HOOKUPS	C	65,000.00	D	CITY OF DAWSON SPRINGS	Grant funds will be used to enhance the existing 12+/- acres of Riverside Park. This project proposes to install raised electrical outlets, lights, as well as RV hookups. The project match will be donated through in-kind cash donations.	RIVERSIDE PARK	HOPKINS	1	12
KY	1,416	2011	STRINGTOWN PARK WELLNESS PROJECT	C	12,635.00	D	CITY OF FLORENCE	Grant funds will be used at this pre-existing 8+/- acre park site of the Springtown Park Wellness Project. This site will consist of installing four fitness stations along sections of the paved hike/bike trail. Each station will contain three pieces of fitness equipment, instructional signage and surfacing underneath the fitness equipment. Each fitness station will be designed to accommodate a specific user group; elementary age children, teenagers, adults and physically challenged/wheelchair population.	STRINGTOWN PARK	BOONE	4	8
KY	1,424	2011	BEE SPRING PARK	C	60,000.00	D	EDMONSON COUNTY FISCAL COURT	Grant funds will be used to develop this pre-existing newly protected 6+/- acre site of Bee Springs Park. This site is located in the Northern Region of the county; and will consist of the construction of a picnic shelter, lighting installation, playground equipment, basketball court, and horse shoe pits.	BEE SPRING PARK	EDMONSON	2	6
KY	1,426	2011	CALHOUN MEMORIAL PARK	C	9,131.00	D	CITY OF CALHOUN	Grant funds will be used to develop this newly created recreation area of 1.3+/- acres of Calhoun Memorial Park. This site will include a passive park area that will provide picnic facilities and other passive recreational opportunities.	CALHOUN MEMORIAL PARK	MCLEAN	1	1.3
KY	1,418	2011	GERMANTOWN PARK	C	5,000.00	R	CITY OF GERMANTOWN	Grant funds will be used to enhance the existing 20+/- acres of Germantown Recreational Park. Renovations will include portions of the dugout areas and the field at the outside edges, to allow better water drainage and run off. This renovation will benefit the park and community for many years, and will keep the existing ballfields in great condition for kids to play.	GERMANTOWN PARK	BRACKEN	4	20
KY	1,419	2011	OLIVERIO PARK	C	65,000.00	R	CITY OF ASHLAND	Grant funds will be used to enhance the existing 10+/- acres of Oliverio Park. Renovations include leveling the infield and outfield, rebuilding the pitcher's mound, and fixing the warning track surrounding the field. Plans are in place to ensure that the restrooms meet requirements and that the handicap parking is accessible.	OLIVERIO PARK	BOYD	4	10.7
KY	1,422	2011	ELKTON-TODD COUNTY PARK IMPROVEMENTS	C	65,000.00	R	CITY OF ELKTON	Grant funds will be used to enhance the existing 9.57+/- acres of Elkton-Todd County Park. The County proposes to renovate and repair facilities; the repairs will include the reconstruction of two park pavilions, and repairing of concrete surfaces. Restrooms will be repaired to make them handicap accessible and more usable to the public.	ELKTON-TODD COUNTY PARK	TODD	1	9.6
KY	1,425	2011	ROBERTSON COUNTY LIONS CLUB PARK	A	5,000.00	R	ROBERTSON COUNTY FISCAL COURT	Grant funds will be used to enhance the existing 4+/- acres of Robertson County Park. This site will consist of the renovation of an existing concession stand/building; and it will be an asset to the facility especially during baseball/softball games	ROBERTSON COUNTY LIONS CLUB PARK	ROBERTSON	4	4
KY	1,417	2011	EDDYVILLE POOL REPAIRS	A	30,000.00	R	CITY OF EDDYVILLE	Grant funds will be used to enhance this existing 1+/- acre park site in the City of Eddyville. Renovation will be done to the swimming facility. The City Park Pool is the only publicly owned pool in the county. Hundreds of children, youth and adults use the pool every summer. It also provides employment for several youth during the summer.	EDDYVILLE CITY PARK	LYON	1	1
KY	1,420	2011	BULLITT COUNTY SWIMMING POOL RENOVATION	C	32,500.00	R	BULLITT COUNTY FISCAL COURT	Grant funds will be used to enhance this existing 1+/- acre park site of Bullitt County Swimming Pool. Renovation is needed to continue providing outdoor recreational activities to the community. The renovations will make this site more inviting to the community.	SHEPHERDSVILLE PUBLIC SWIMMING POOL	BULLITT	2	1
LA	919	2011	WASHINGTON PARISH ACQUISITION	C	230,000.00	A	WASHINGTON PARISH RECREATION DISTRICT #1	Grant funds will be used to acquire 99.276+/- acres in Washington Parish Recreation District 1, a district where adequate youth sports facilities no longer exist outside of schools and there are no facilities for senior citizens to participate in outdoor recreation and physical fitness activities. This new park will be for future development of ballfields, walking trails, playgrounds, picnic shelters, and other related support facilities.	WASHINGTON PARISH RECREATION COMPLEX	WASHINGTON	2	153.3
LA	924	2011	ZEMURRAY PARK RENOVATIONS	C	250,000.00	D	CITY OF HAMMOND	Grant funds will be used for the further development of the existing 34.0+/- of donated land at Zemurray Park. This project seeks to make greater use of the pond feature for fishing and small boats while also serving as a passive recreation element.	ZEMURRAY PARK	TANGIPAHOA	2	59
LA	921	2011	WILLIAM T. POLK CITY PARK	C	250,000.00	D	CITY OF VIDALIA	Grant funds will be used to develop a 30.18+/- new park in the City of Vidalia. The park is a part of the City's master plan to create a more traditional neighborhood development, to sustain walkable, connected, pedestrian friendly, destinations while making use of its natural resources. The development of this park will take place in five phases. This funded first phase will develop sports & playfields and other related support facilities.	WILLIAM T. POLK CITY PARK	CONCORDIA	6	30.2
LA	923	2011	STEPHENSVILLE RECREATION COMPLEX IMPROVEMENTS	A	150,000.00	D	SAINT MARTIN RECREATION DISTRICT #1	Grant will fund the further development of the existing 5.04+/- acres park, Stephensville Recreation Complex, the only recreation facility in the small community. This phase will include a large picnic pavilion, a shade canopy for the existing playground, exercise stations for children and adults, a batting cage and additional parking.	STEPHENSVILLE PARK	SAINT MARTIN	3	5
LA	920	2011	PUNK SMITH PARK IMPROVEMENTS	C	35,000.00	D	TOWN OF WALKER	Grant funds will be used to enhance the 1.2+/- acres existing park in the Town of Walker. The park is located on the main highway in the town; therefore, the majority of users are within a 15 minute drive or a short walk of the park. Development will take place in two phases with the initial phase of replacement/development of the playgrounds.	PUNK SMITH PARK	LIVINGSTON	2	1.2
MA	495	2011	Goodwill Park Playground	A	111,587.00	R	Town of Holliston		Goodwill Park	MIDDLESEX	3	4.9
MD	386	2011	Newtowne Neck State Park	A	400,000.00	D	DEPT. OF NATURAL RESOURCES	This park is 776 acres of woodlands, wetlands, a tidal pond, and seven miles of sand beaches on the Chesapeake Bay development will include hiking, biking, equestrian trails, tent and RV camping, mini cabins, swimming motor boat access picnicing and shelters.	Newtowne Neck State Park	SAINT MARYS	5	776
ME	834	2011	Camden Hills State Park Acquisition Project	C	200,000.00	A	Maine Bureau of Parks and Lands		Camden Hills State Park	KNOX	1	5,800.00
