FY	ID No	Agency	Unit	CORE/CLP	States	Congress Dist	County	FY Budget Req	Enacted	Req Acres	Enacted Acres	Interest	Remaining Acres	Inholding (Y/N)	Description	O&M Startup	O&M Annual	Notes
2011	7	BLM	Canyons Of The Ancients National Monument	Core	CO	CO-3	Montezuma County	 2,521,000 	 1,000,000 	 1,800.00 	 714.00 	Fee	 10,000.00 	Y	"Project Description: The Canyons of the Ancients National Monument was established to protect cultural and natural resources on a landscape scale. The complex 170,850-acre landscape and remarkable cultural resources have been a focal point of explorers and researchers for 130 years. The Monument contains the highest density of cultural resource sites in the nation with more than 100 sites/square mile; 6,000 sites are documented and a total of 20,000-30,000 predicted. Site types include cliff dwellings, villages, great kivas, shrines, agricultural fields, check dams, petroglyphs and pictographs, and pottery kilns. Many sites have standing walls. Eight sites and one District, including 167 sites, are listed on the National Register of Historic Places. Lowry Pueblo is a National Historic Landmark. Native Americans maintain close ties to the landscape and to the sites occupied by their ancestors. The BLM staff regularly involves tribal consultants in interpretation and education projects. Canyons of the Ancients offers an unparalleled opportunity to observe, study, and experience how cultures lived and adapted over time in the American Southwest.
Monument resources include spectacular land forms with deeply incised canyons, sheer sandstone cliffs, and panoramic vistas; riparian areas with habitat for the threatened and endangered Southwestern Willow flycatcher; and unique herpetological species such as the Longnose Leopard lizard and the Desert Spiny lizard, both on the State Director’s Sensitive Species List. Wildlife includes deer, elk, mountain lions, bears, coyotes, foxes, wild turkeys, falcons and eagles. The Monument includes three Wilderness Study Areas and surrounds three units of Hovenweep National Monument, managed by the National Park Service. About 45,000 annual visitors take advantage of opportunities for visiting cultural resource sites, camping, hiking, horseback riding, mountain biking and ATVs (on existing roads), hunting, and wildlife viewing. 
"	 30,000 	 5,000 	
2011	2	FWS	Silvio O. Conte National Wildlife Refuge	Core	CT; NH; MA; VT	"CT-1, CT-2, CT-3, MA-1, MA-2, NH-2, VT at-large

"	Multiple counties within the Connecticut River Watershed located in CT, MA, NH, and VT	 6,000,000 	 2,308,000 	 2,250.00 	 865.00 	Fee	 45,523.00 	Y	"Purpose of Acquisition: To protect fisheries and wildlife resources and provide public access to refuge
lands.
Project Cooperators: Trust for Public Lands and The Nature Conservancy
Project Description: The Service would use funds to acquire fee title for tracts in the Fort River division
from private land owners, TPL, or the TNC that would contribute to the protection of a large grassland
project. Recovery and long-term viability of habitats for the upland sandpiper, dwarf wedge mussel, and
many fish species, rely on the longest, unobstructed tributary to the Connecticut River in Massachusetts.
Tracts in the Nulhegan Basin Division of the northern boreal forest and associated wetland complex and
tracts in the"	 -   	 -   	
2011	1	FWS	St. Marks National Wildlife Refuge	Core	FL	FL-2	Wakulla, Jefferson, and Taylor	 1,000,000 	 1,000,000 	 750.00 	 750.00 	Fee	 6,078.00 	Y	"Purpose of Acquisition:  To acquire slash pine and shrub bog flatwood communities which are important components of the vast adjoining upland and estuarine systems.

Project Cooperators: The Nature Conservancy, the Trust for Public Land, and the St. Marks Refuge
Association.

Project Description: The Service would use funds to acquire fee title to approximately 750 acres of property owned by TNC. This parcel would benefit federally- endangered species such as red-cockaded woodpecker, woodstork, and flatwood salamanders, as well as a variety of resident and migratory species such as American bald eagle, wood duck, swallow-tailed kite, and state-listed Florida black bear. The project has been designated an Important Bird Area, a Land Management Research and Demonstration Site for Longleaf Pine Ecosystems, and is a key segment of the Florida National Scenic Trail."	 -   	 -   	
2011	3	FWS	Upper Mississippi River NW&FR	Core	IA; IL; MN; WI	MN-1, IA-1, IA-4, IL-16, IL-17, WI-3	Multiple	 2,500,000 	 400,000 	 625.00 	 100.00 	Fee	 21,447.00 	Y	"Purpose of Acquisition: To protect, restore, and manage grassland and wetland habitat for migratory
birds, including waterfowl, resident wildlife, and public recreation.
Project Cooperators: U.S. Army Corps of Engineers, Ducks Unlimited, The Nature Conservancy,
Minnesota Department of Natural Resources (DNR), Wisconsin DNR, Iowa DNR, Illinois DNR, Friends
of the Upper Mississippi Refuge.
Project Description: The Service would use funds to acquire fee title of approximately 625 acres in the
Upper Mississippi National Wildlife and Fish Refuge from private landowners. The Refuge consists of
wooded islands, sandbars, deep water, wet meadows and other wetlands. The Refuge extends 260 miles
down the Mississippi River.
The Refuge is a critical feeding and resting corridor for waterfowl and other birds in the Mississippi
Flyway. Up to 500,000 canvasback ducks and 30,000 tundra swans use portions of the Refuge during
migration. A wide variety of other wildlife species are also present, including 306 bird, 119 fish, 42
mussel, and 45 reptile and amphibian. The Refuge is important habitat for the Federally endangered
Higgins' Eye pearly mussel. The numerous and extensive wetland complexes in the Refuge perform
many functions, such as flood control and nutrient recycling."	 -   	 7,000 	"O&M Costs: Annual costs would be approximately $7,000 for initial restoration and enhancement work,
which the Service would fund out of Refuge System base funding."
2011	10	BLM	Snake River Rim Recreation Area/Oregon National Historic Trail	Core	ID	ID-2	Jerome County	 400,000 	 2,400,000 	 497.00 	 2,980.00 	Fee	 1,743.00 	Y	Purpose: Protect key properties to conserve open space, allow public recreational access, preserve an existing trail corridor and  provide environmental education  opportunities.	 10,000 	 5,000 	
2011	20	FWS	Flint Hills Legacy Conservation Area	Core	KS	KS-1, KS-2, KS-4	Butler, Chase, Chautauqua, Clay, Cowley, Dickinson, Elk, Geary, Greenwood, Harvey, Jackson, Lyon, Marion, Marshall, Morris, Pottawatomie, Riley, Shawnee, Washington, Woodson, and Waubansee	 -   	 1,000,000 	 earmark 	 2,158.00 	Easement	 1,097,842.00 	Y	(complete if known)	 -   	 2,000 	"O & M: Within the base funding for the Refuge System, the Service would use approximately $2,000 for
annual maintenance of the new acquisitions, mainly for easement enforcement."
2011	16	FWS	Upper Ouachita National Wildlife Refuge	Core	LA	LA-5	Morehouse Parish	 3,000,000 	 3,000,000 	 1,200.00 	 1,200.00 	Fee	 13,073.00 	Y	"Purpose of Acquisition: To preserve wintering habitat for mallards, pintails and wood ducks, and to
contribute to the goals of the Lower Mississippi River Valley Ecosystem, the North American Waterfowl
Management Plan and the Red-cockaded Woodpecker Recovery Plan.
Project Cooperators: None at this time.
Project Description: Funding would provide for the fee title acquisition of approximately 1,200 acres
of land, a portion of a 3,875-acre tract that the Service has leased since 1997. Currently the property is
cropland in rice production. Acquisition and management of this property would contribute to the goals
of the refuge through the management of habitat for migratory waterfowl, neotropical migratory birds and
other wildlife. This property is contiguous to approximately 13,000 acres of refuge lands, which lie east
of the Ouachita River. Acquisition of this tract would provide additional habitat for large numbers of
wintering waterfowl, which visit this refuge annually."	 -   	 -   	
2011	5	NPS	Catoctin Mountain Park	Core	MD	MD-6	Frederick and Washington Counties	 640,000 	 640,000 	 18.00 	 18.00 	Fee	 -   	N	"Description:  Beginning in 1935, the Catoctin Recreational Demonstration Area was under construction by both the Works Progress Administration and the Civilian Conservation Corps. Originally planned to provide recreational camps for Federal employees, one of the camps eventually became the home of the Presidential retreat, Camp David.  The area was designated Catoctin Mountain Park in 1954.

Natural/Cultural Resources Associated with Proposal:  Part of the forested ridge that forms the eastern rampart of the Appalachian Mountains in Maryland, this mountain park has sparkling streams and panoramic vistas of the Monocacy Valley.  

Threat:  The property proposed for acquisition is currently listed for sale and a preliminary development plan for six residential lots has been prepared by the current owner.  Development of the property into residential lots adjoining the park is predicted within the next 12-18 months depending on the real estate market’s rebound.  Such residential development would severely impact the existing natural resources on the property to the point where restoration would not be feasible.

Need:  In order to prevent development that would adversely impact park resources, the requested funds will be obligated to acquire an 18.23-acre tract of land adjacent to the park boundary and located at the southeastern portal to the park along Maryland Route 77. The property possesses a large stand of mature hardwood forest, a small pond, and is improved with a residential dwelling and ancillary outbuildings. It is anticipated that, upon acquisition, the tract will be restored to its natural state.  The acquisition of this tract for inclusion in the park boundary is authorized by the Land and Water Conservation Fund Act.    
"	 N/A 	 N/A 	Tract was included in the park via a minor boundary adjustment. It was an inholding at the time of purchase but not at the time of appropriation. Appropriation (4/11), boundary adjustment (2/12), purchase finalized (3/12) 
2011	7	FWS	Blackwater National Wildlife Refuge	Core	MD	MD-1	Dorchester	 2,500,000 	 1,500,000 	 1,515.00 	 909.00 	Fee	 31,264.00 	Y	"Purpose of Acquisition: To protect high quality habitat for the threatened American bald eagle,
Delmarva fox squirrel and other endangered species, along with nesting and wintering habitat for
migratory waterfowl, colonial waterbirds, shorebirds, and forest interior dwelling bird species.
Project Cooperators: The Conservation Fund
Project Description: The requested funds of $2,500,000 for FY 2011 would provide the refuge with fee
title to the remainder of the funding needed for a 1,065-acre tract in the area of the Refuge referred to as
Russell Swamp and two parcels on the northern border of the Refuge boundary totaling 450 acres. These
tracts consist mainly of forested wetlands interspersed with tidal waters, ponds and marsh. Both these
areas provide excellent habitat for migratory birds, such as Osprey, Black and Wood Ducks, Canada
Geese, marsh and water birds, the Bald Eagle, as well as foraging opportunities for the Peregrine Falcon.
It is also excellent habitat for the endangered Delmarva fox squirrel.
The areas are important to Federal and state endangered and threatened species and many migratory bird
species. Acquisition of these areas would also expand opportunities for wildlife-dependent forms of
public recreation."	 -   	 -   	
2011	9	NPS	Acadia National Park	Core	ME	ME-1, ME-2	Hancock and Knox Counties	 1,764,000 	 1,700,000 	 23.00 	 23.00 	Conservation Easement	 1,285.00 	Y	"Description:  Acadia National Park, originally established as a national monument on July 8, 1916, was designated a national park on January 19, 1929, to preserve and interpret for the public benefit scientific, scenic, and historic resources of the area.  The Act of September 25, 1986, established a permanent boundary and authorized the acquisition of conservation easements on certain islands adjacent to the park.

Natural/Cultural Resources Associated with Proposal:  Situated on the Maine coast in the heart of the old region of Acadia, the park conserves mountains and rugged islands that are unequaled along the eastern seaboard.  The northern coniferous and temperate deciduous forests meet and overlap, bringing together nearly 1,500 species of trees, shrubs, and herbaceous plant life.

Threat:  Little of New England's rockbound coast remains in public ownership, undeveloped and natural.  The primary threat to park resources is the development of previously undeveloped land, an action not compatible with preserving the natural and scenic resources of the area.

Need:  The requested funds are needed to acquire a 22.9-acre tract of land that borders Round Pond and is located in a very secluded section of Mount Desert Island within the park boundary.  At present, approximately half of the shore frontage around Round Pond is federally owned and protected.  The remainder of the shore and lands surrounding the pond is currently undeveloped, including this acquisition parcel. Given the size and character of this parcel, if not acquired by the National Park Service, there is a high likelihood it will be sold and subdivided into small house lots within two years.  Such a development would significantly degrade this important habitat and wildlife corridor.

The acquisition of lands within the boundary of Acadia National Park, with the consent of the owner, is strongly supported by the local community, Chambers of Commerce, and non-profit conservation organizations, such as Downeast Audubon, Maine Coast Heritage Trust, and Friends of Acadia.  Maine Coast Heritage Trust is working with the owner to complete this acquisition. 
"	 N/A 	 N/A 	
2011	11	NPS	Voyageurs National Park	Core	MN	MN-8	Koochiching and St. Louis Counties	 366,001 	 315,000 	 3.50 	 3.00 	Fee	 1,011.00 	Y	"Description: Voyageurs National Park was authorized January 1, 1971. The land acquisition program has
been underway since fiscal year 1972. Of the 218,200 acres comprising the park, only 1,155 acres remain
privately owned. Approximately 1,014 acres of privately owned land have been identified for acquisition
after fiscal year 2010.
Natural/Cultural Resources Associated with Proposal: The park was established to preserve and protect the
outstanding scenery, geological conditions, and waterway systems that constituted part of the historic route
of the voyageurs who contributed to the opening of the United States. The park contains more than 30 lakes
dotted with islands and surrounded by forests.
Threat: Threats of recreational and residential development require expeditious completion of the acquisition
program at the park.
Need: For fiscal year 2011, $366,500 are needed to acquire a 3.5-acre tract of privately owned land
located adjacent to an active bald eagle nesting site and near the primary gateway water entrance into
the north half of the park. Acquisition is necessary to permit the removal of structures to return the site to
a more natural condition and minimize disturbance to nesting activity. In addition the structures on site are
susceptible to use for continued hunting on the tract due to the absent landowner.
The tract was acquired in 2008 by the Parks and Trails Council of Minnesota, a non-profit conservation
organization. The intent of the Council’s action was to temporarily secure and hold ownership of the tract
until the appropriation of sufficient funds would permit Federal acquisition. Without assurance that such
an appropriation is forthcoming, the Council, due to financial hardship, may place the property on sale
again. Such a result would jeopardize the likelihood of future cooperative ventures with the Council.
This acquisition will serve to protect riparian habitat and watershed resources in conjunction with NPS
partners."	 N/A 	 N/A 	
2011	9	BLM	Chain-of-Lakes RMA/Lewis and Clark NHT	Core	MT	MT-1	Broadwater and Lewis and Clark Counties	 1,000,000 	 717,000 	 1,165.00 	 835.00 	Fee	 1,500.00 	Y	Purpose: Acquisition of multiple parcels within the Chain-of-Lakes Recreation Management Area/Lewis and Clark National Historic Trail.	 10,000 	 5,000 	
2011	11	FWS	Rocky Mountain Front CA	Core	MT	MT-AL	Lewis and Clark, Pondera, and Teton Counties	 7,895,000 	 5,300,000 	 17,545.00 	 11,777.00 	Easement	 126,035.00 	Y	"Purpose of Acquisition: To provide for long-term viability of fish and wildlife habitat on a large
landscape basis in the Northern Continental Divide Ecosystem. These conservation easements would
preserve habitat where existing biological communities are functioning well and maintain the traditional
rural economies for present and future generations.
Project Cooperators: The Nature Conservancy, The Conservation Fund, Montana Fish, Wildlife and
Parks, Teton County Commission, Pondera County Commission and Lewis & Clark County Commission,
Montana Wilderness Association, and Montana Audubon Society.
Project Description: The Service would use the requested funds to acquire conservation easements on
five tracts totaling 17,545 acres. Each of these properties border existing protected lands (either Service
or TNC easements or other Federal lands) and include important habitat for grizzly bears and other
grassland dependent species including migratory birds.
The Rocky Mountain Front is considered by experts to be one of the best remaining intact, ecosystems
left in the lower 48 states. Nearly every wildlife species described by Lewis and Clark in 1806, with the
exception of free ranging bison, still exist on the Front in relatively stable or increasing numbers. There is
increasing pressure to subdivide and develop this landscape. Protecting these tracts with conservation
easements would prevent fragmentation and preserve the environmental and economic health of trust
species habitat along the Rocky Mountain Front."	 -   	 2,000 	"O & M: Within the base funding for the Refuge System, the Service would use approximately $2,000 for
annual maintenance of the new acquisitions, mainly for easement enforcement."
