Year	State	County	FIPS	Jobs	Total	Percent
2007	Arkansas	White County	05145	317	23471	1.4
2007	California		06000	24935	15640575	0.2
2007	California	Alameda County	06001	161	686655	0.0
2007	California	Amador County	06005	150	13026	1.2
2007	California	Butte County	06007	37	76336	0.0
2007	California	Contra Costa County	06013	1049	344954	0.3
2007	California	El Dorado County	06017	52	52741	0.1
2007	California	Fresno County	06019	116	355221	0.0
2007	California	Glenn County	06021	11	8062	0.1
2007	California	Inyo County	06027	14	7660	0.2
2007	California	Kern County	06029	9767	280884	3.5
2007	California	Los Angeles County	06037	4437	4200998	0.1
2007	California	Mendocino County	06045	46	32760	0.1
2007	California	Monterey County	06053	188	170471	0.1
2007	California	Napa County	06055	63	67961	0.1
2007	California	Nevada County	06057	85	30708	0.3
2007	California	Orange County	06059	561	1509528	0.0
2007	California	Placer County	06061	51	138602	0.0
2007	California	Riverside County	06065	675	635440	0.1
2007	California	Sacramento County	06067	252	639439	0.0
2007	California	San Bernardino County	06071	609	663618	0.1
2007	California	San Diego County	06073	422	1321214	0.0
2007	California	San Francisco County	06075	33	556401	0.0
2007	California	San Joaquin County	06077	226	224765	0.1
2007	California	San Luis Obispo County	06079	113	106425	0.1
2007	California	San Mateo County	06081	46	340640	0.0
2007	California	Santa Barbara County	06083	1189	187462	0.6
2007	California	Santa Clara County	06085	255	896685	0.0
2007	California	Sierra County	06091	4	728	0.5
2007	California	Solano County	06095	280	128081	0.2
2007	California	Sonoma County	06097	211	193598	0.1
2007	California	Sutter County	06101	104	28846	0.4
2007	California	Tulare County	06107	43	149797	0.0
2007	California	Tuolumne County	06109	130	18131	0.7
2007	California	Ventura County	06111	1058	318098	0.3
2007	California	Yolo County	06113	249	102581	0.2
2007	California	Yuba County	06115	152	17564	0.9
2007	Colorado		08000	25019	2292630	1.1
2007	Colorado	Adams County	08001	238	154072	0.2
2007	Colorado	Arapahoe County	08005	662	281876	0.2
2007	Colorado	Archuleta County	08007	44	3778	1.2
2007	Colorado	Baca County	08009	7	1185	0.6
2007	Colorado	Boulder County	08013	892	159984	0.6
2007	Colorado	Chaffee County	08015	18	6646	0.3
2007	Colorado	Cheyenne County	08017	105	770	13.6
2007	Colorado	Conejos County	08021	33	1331	2.5
2007	Colorado	Delta County	08029	472	8923	5.3
2007	Colorado	Denver County	08031	5921	442739	1.3
2007	Colorado	Douglas County	08035	279	90851	0.3
2007	Colorado	Eagle County	08037	14	31845	0.0
2007	Colorado	El Paso County	08041	135	247158	0.1
2007	Colorado	Fremont County	08043	78	13810	0.6
2007	Colorado	Garfield County	08045	2339	27210	8.6
2007	Colorado	Jefferson County	08059	592	211091	0.3
2007	Colorado	La Plata County	08067	630	25541	2.5
2007	Colorado	Larimer County	08069	404	130265	0.3
2007	Colorado	Las Animas County	08071	399	6060	6.6
2007	Colorado	Logan County	08075	158	8508	1.9
2007	Colorado	Mesa County	08077	3013	61540	4.9
2007	Colorado	Moffat County	08081	639	5256	12.2
2007	Colorado	Montezuma County	08083	88	9374	0.9
2007	Colorado	Montrose County	08085	131	15284	0.9
2007	Colorado	Morgan County	08087	298	11128	2.7
2007	Colorado	Pueblo County	08101	65	56803	0.1
2007	Colorado	Rio Blanco County	08103	868	4131	21.0
2007	Colorado	Weld County	08123	2912	82909	3.5
2007	Colorado	Yuma County	08125	364	3980	9.1
2007	Connecticut		09000	715	1686043	0.0
2007	Connecticut	Hartford County	09003	94	502736	0.0
2007	Connecticut	Litchfield County	09005	92	62864	0.1
2007	Connecticut	New Haven County	09009	253	366825	0.1
2007	Connecticut	New London County	09011	89	129691	0.1
2007	Connecticut	Windham County	09015	81	39290	0.2
2007	Delaware		10000	9	423412	0.0
2007	Florida		12000	4711	7945162	0.1
2007	Florida	Bay County	12005	20	73134	0.0
2007	Florida	Brevard County	12009	96	203607	0.0
2007	Florida	Broward County	12011	126	751629	0.0
2007	Florida	Charlotte County	12015	89	42416	0.2
2007	Florida	Citrus County	12017	72	34025	0.2
2007	Florida	Collier County	12021	43	131937	0.0
2007	Florida	Duval County	12031	89	465731	0.0
2007	Florida	Escambia County	12033	73	130245	0.1
2007	Florida	Hernando County	12053	132	39113	0.3
2007	Florida	Hillsborough County	12057	382	646102	0.1
2007	Florida	Lake County	12069	189	82827	0.2
2007	Florida	Lee County	12071	140	221916	0.1
2007	Florida	Levy County	12075	42	9122	0.5
2007	Florida	Marion County	12083	155	103410	0.1
2007	Florida	Miami-Dade County	12086	552	1014998	0.1
2007	Florida	Okaloosa County	12091	9	81702	0.0
2007	Florida	Okeechobee County	12093	36	10809	0.3
2007	Florida	Orange County	12095	65	691914	0.0
2007	Florida	Pasco County	12101	65	99478	0.1
2007	Florida	Pinellas County	12103	5	436985	0.0
2007	Florida	Polk County	12105	826	205860	0.4
2007	Florida	St. Lucie County	12111	55	71225	0.1
2007	Florida	Santa Rosa County	12113	85	32281	0.3
2007	Florida	Sarasota County	12115	97	155159	0.1
2007	Florida	Seminole County	12117	5	177756	0.0
2007	Florida	Sumter County	12119	47	20245	0.2
2007	Florida	Suwannee County	12121	31	10614	0.3
2007	Florida	Taylor County	12123	67	7110	0.9
2007	Florida	Volusia County	12127	18	166260	0.0
2007	Georgia		13000	6861	4077184	0.2
2007	Georgia	Cherokee County	13057	59	48155	0.1
2007	Georgia	Decatur County	13087	315	9878	3.2
2007	Georgia	Forsyth County	13117	100	56462	0.2
2007	Georgia	Fulton County	13121	678	758950	0.1
2007	Georgia	Hall County	13139	63	73940	0.1
2007	Georgia	Henry County	13151	84	48663	0.2
2007	Georgia	Jefferson County	13163	371	5450	6.8
2007	Georgia	Oglethorpe County	13221	91	1764	5.2
2007	Georgia	Pickens County	13227	224	7767	2.9
2007	Georgia	Thomas County	13275	326	23089	1.4
2007	Georgia	Washington County	13303	431	7907	5.5
2007	Georgia	Whitfield County	13313	120	62761	0.2
2007	Georgia	Wilkinson County	13319	965	3002	32.1
2007	Hawaii		15000	302	625862	0.0
2007	Hawaii	Honolulu County	15003	261	451238	0.1
2007	Idaho		16000	2653	660683	0.4
2007	Idaho	Ada County	16001	109	212220	0.1
2007	Idaho	Bannock County	16005	26	35160	0.1
2007	Idaho	Benewah County	16009	65	3640	1.8
2007	Idaho	Blaine County	16013	35	13924	0.3
2007	Idaho	Boise County	16015	16	1706	0.9
2007	Idaho	Bonner County	16017	154	14717	1.0
2007	Idaho	Canyon County	16027	68	57120	0.1
2007	Idaho	Caribou County	16029	358	3216	11.1
2007	Idaho	Cassia County	16031	144	9547	1.5
2007	Idaho	Idaho County	16049	85	4580	1.9
2007	Idaho	Kootenai County	16055	144	56436	0.3
2007	Idaho	Shoshone County	16079	569	4769	11.9
2007	Idaho	Twin Falls County	16083	44	34480	0.1
2007	Idaho	Valley County	16085	27	4760	0.6
2007	Illinois		17000	9963	5869157	0.2
2007	Illinois	Adams County	17001	237	33397	0.7
2007	Illinois	Clark County	17023	88	4944	1.8
2007	Illinois	Clay County	17025	149	5489	2.7
2007	Illinois	Clinton County	17027	19	12237	0.2
2007	Illinois	Coles County	17029	26	25842	0.1
2007	Illinois	Cook County	17031	772	2529579	0.0
2007	Illinois	Crawford County	17033	142	7282	2.0
2007	Illinois	DeKalb County	17037	67	36953	0.2
2007	Illinois	DuPage County	17043	145	597156	0.0
2007	Illinois	Effingham County	17049	33	20309	0.2
2007	Illinois	Fayette County	17051	110	6128	1.8
2007	Illinois	Franklin County	17055	18	9413	0.2
2007	Illinois	Grundy County	17063	66	16604	0.4
2007	Illinois	Iroquois County	17075	19	8309	0.2
2007	Illinois	Jackson County	17077	285	26329	1.1
2007	Illinois	Jasper County	17079	29	2350	1.2
2007	Illinois	Kane County	17089	128	210941	0.1
2007	Illinois	Kendall County	17093	30	23098	0.1
2007	Illinois	McHenry County	17111	75	103066	0.1
2007	Illinois	Madison County	17119	125	95677	0.1
2007	Illinois	Marion County	17121	159	13814	1.2
2007	Illinois	Monroe County	17133	52	8199	0.6
2007	Illinois	Montgomery County	17135	295	9964	3.0
2007	Illinois	Ogle County	17141	43	17161	0.3
2007	Illinois	Randolph County	17157	59	12392	0.5
2007	Illinois	Richland County	17159	168	6647	2.5
2007	Illinois	Rock Island County	17161	79	78858	0.1
2007	Illinois	St. Clair County	17163	92	96131	0.1
2007	Illinois	Tazewell County	17179	24	61049	0.0
2007	Illinois	Wabash County	17185	312	3500	8.9
2007	Illinois	Washington County	17189	13	5204	0.2
2007	Illinois	Wayne County	17191	121	4653	2.6
2007	Illinois	White County	17193	738	4702	15.7
2007	Illinois	Whiteside County	17195	62	21186	0.3
2007	Illinois	Will County	17197	297	191044	0.2
2007	Indiana		18000	6652	2905725	0.2
2007	Indiana	Allen County	18003	144	183025	0.1
2007	Indiana	Bartholomew County	18005	52	43736	0.1
2007	Indiana	Clark County	18019	152	47551	0.3
2007	Indiana	Daviess County	18027	526	11221	4.7
2007	Indiana	Elkhart County	18039	50	124722	0.0
2007	Indiana	Gibson County	18051	645	16113	4.0
2007	Indiana	Hamilton County	18057	203	109943	0.2
2007	Indiana	Harrison County	18061	143	11569	1.2
2007	Indiana	Knox County	18083	47	16712	0.3
2007	Indiana	Lake County	18089	279	194688	0.1
2007	Indiana	LaPorte County	18091	35	44822	0.1
2007	Indiana	Lawrence County	18093	168	14006	1.2
2007	Indiana	Marion County	18097	198	579922	0.0
2007	Indiana	Miami County	18103	93	10310	0.9
2007	Indiana	Monroe County	18105	154	62274	0.2
2007	Indiana	Montgomery County	18107	72	16262	0.4
2007	Indiana	Morgan County	18109	78	15140	0.5
2007	Indiana	Noble County	18113	23	18942	0.1
2007	Indiana	Orange County	18117	62	7715	0.8
2007	Indiana	Posey County	18129	23	8774	0.3
2007	Indiana	Putnam County	18133	51	12361	0.4
2007	Indiana	St. Joseph County	18141	12	123934	0.0
2007	Indiana	Shelby County	18145	194	16880	1.1
2007	Indiana	Steuben County	18151	15	14500	0.1
2007	Indiana	Sullivan County	18153	20	5374	0.4
2007	Indiana	Vanderburgh County	18163	508	106937	0.5
2007	Indiana	Vigo County	18167	23	52143	0.0
2007	Indiana	Wabash County	18169	8	13347	0.1
2007	Indiana	Warrick County	18173	154	14429	1.1
2007	Indiana	Wayne County	18177	27	32914	0.1
2007	Iowa		19000	2112	1485627	0.1
2007	Iowa	Black Hawk County	19013	67	72379	0.1
2007	Iowa	Cerro Gordo County	19033	23	25848	0.1
2007	Iowa	Fayette County	19065	10	7355	0.1
2007	Iowa	Hardin County	19083	136	7488	1.8
2007	Iowa	Linn County	19113	114	123399	0.1
2007	Iowa	Muscatine County	19139	59	23994	0.2
2007	Iowa	Scott County	19163	14	88747	0.0
2007	Iowa	Sioux County	19167	47	18564	0.3
2007	Iowa	Winneshiek County	19191	134	10481	1.3
2007	Kansas		20000	9259	1356966	0.7
2007	Kansas	Anderson County	20003	22	2206	1.0
2007	Kansas	Atchison County	20005	26	6870	0.4
2007	Kansas	Barber County	20007	134	1825	7.3
2007	Kansas	Barton County	20009	758	13241	5.7
2007	Kansas	Butler County	20015	101	18140	0.6
2007	Kansas	Clark County	20025	8	803	1.0
2007	Kansas	Coffey County	20031	53	4133	1.3
2007	Kansas	Comanche County	20033	8	722	1.1
2007	Kansas	Cowley County	20035	60	15117	0.4
2007	Kansas	Crawford County	20037	38	17580	0.2
2007	Kansas	Dickinson County	20041	16	6949	0.2
2007	Kansas	Douglas County	20045	27	48204	0.1
2007	Kansas	Ellis County	20051	628	15155	4.1
2007	Kansas	Finney County	20055	291	17322	1.7
2007	Kansas	Franklin County	20059	46	9803	0.5
2007	Kansas	Gove County	20063	5	1142	0.4
2007	Kansas	Graham County	20065	156	1096	14.2
2007	Kansas	Grant County	20067	347	3683	9.4
2007	Kansas	Greenwood County	20073	139	1859	7.5
2007	Kansas	Harper County	20077	57	2343	2.4
2007	Kansas	Harvey County	20079	42	13779	0.3
2007	Kansas	Haskell County	20081	93	1555	6.0
2007	Kansas	Johnson County	20091	331	316733	0.1
2007	Kansas	Kearny County	20093	33	1326	2.5
2007	Kansas	Kingman County	20095	95	2526	3.8
2007	Kansas	Kiowa County	20097	45	1116	4.0
2007	Kansas	Leavenworth County	20103	12	20478	0.1
2007	Kansas	Lyon County	20111	33	17300	0.2
2007	Kansas	Mcpherson County	20113	122	14588	0.8
2007	Kansas	Marion County	20115	49	3953	1.2
2007	Kansas	Meade County	20119	11	1504	0.7
2007	Kansas	Miami County	20121	80	8474	0.9
2007	Kansas	Montgomery County	20125	218	17281	1.3
2007	Kansas	Morton County	20129	123	1289	9.5
2007	Kansas	Neosho County	20133	458	8449	5.4
2007	Kansas	Phillips County	20147	28	2693	1.0
2007	Kansas	Pratt County	20151	461	4642	9.9
2007	Kansas	Reno County	20155	110	28076	0.4
2007	Kansas	Rice County	20159	70	3580	2.0
2007	Kansas	Rooks County	20163	137	2013	6.8
2007	Kansas	Russell County	20167	312	2764	11.3
2007	Kansas	Sedgwick County	20173	718	256843	0.3
2007	Kansas	Seward County	20175	795	11928	6.7
2007	Kansas	Shawnee County	20177	69	94986	0.1
2007	Kansas	Sherman County	20181	11	2514	0.4
2007	Kansas	Stafford County	20185	25	1397	1.8
2007	Kansas	Stevens County	20189	100	1828	5.5
2007	Kansas	Sumner County	20191	35	6234	0.6
2007	Kansas	Wilson County	20205	48	4467	1.1
2007	Kentucky		21000	21783	1801907	1.2
2007	Kentucky	Barren County	21009	64	17623	0.4
2007	Kentucky	Bell County	21013	960	9472	10.1
2007	Kentucky	Boyd County	21019	160	28008	0.6
2007	Kentucky	Boyle County	21021	21	15134	0.1
2007	Kentucky	Breckinridge County	21027	25	3123	0.8
2007	Kentucky	Caldwell County	21033	72	4311	1.7
2007	Kentucky	Carter County	21043	59	6628	0.9
2007	Kentucky	Christian County	21047	38	31885	0.1
2007	Kentucky	Daviess County	21059	167	43824	0.4
2007	Kentucky	Fayette County	21067	328	175951	0.2
2007	Kentucky	Floyd County	21071	1536	12374	12.4
2007	Kentucky	Graves County	21083	55	11062	0.5
2007	Kentucky	Hardin County	21093	43	43466	0.1
2007	Kentucky	Harlan County	21095	1377	8213	16.8
2007	Kentucky	Henderson County	21101	314	20384	1.5
2007	Kentucky	Hopkins County	21107	1191	18756	6.3
2007	Kentucky	Jefferson County	21111	170	432745	0.0
2007	Kentucky	Knox County	21121	168	9210	1.8
2007	Kentucky	Laurel County	21125	360	24563	1.5
2007	Kentucky	Lee County	21129	124	2025	6.1
2007	Kentucky	Leslie County	21131	428	2101	20.4
2007	Kentucky	Letcher County	21133	1232	6135	20.1
2007	Kentucky	Livingston County	21139	374	2622	14.3
2007	Kentucky	Meade County	21163	98	4211	2.3
2007	Kentucky	Muhlenberg County	21177	778	9436	8.2
2007	Kentucky	Ohio County	21183	25	7271	0.3
2007	Kentucky	Perry County	21193	2036	13688	14.9
2007	Kentucky	Pike County	21195	4355	24258	18.0
2007	Kentucky	Union County	21225	610	5469	11.2
2007	Kentucky	Warren County	21227	195	57588	0.3
2007	Kentucky	Webster County	21233	247	3195	7.7
2007	Kentucky	Whitley County	21235	66	11739	0.6
2007	Louisiana		22000	48026	1868986	2.6
2007	Louisiana	Acadia Parish	22001	604	15660	3.9
2007	Louisiana	Ascension Parish	22005	322	34978	0.9
2007	Louisiana	Assumption Parish	22007	34	4968	0.7
2007	Louisiana	Avoyelles Parish	22009	7	10999	0.1
2007	Louisiana	Beauregard Parish	22011	36	8501	0.4
2007	Louisiana	Bienville Parish	22013	129	4613	2.8
2007	Louisiana	Bossier Parish	22015	1359	42104	3.2
2007	Louisiana	Caddo Parish	22017	1880	124628	1.5
2007	Louisiana	Calcasieu Parish	22019	1271	86678	1.5
2007	Louisiana	Caldwell Parish	22021	34	2666	1.3
2007	Louisiana	Cameron Parish	22023	200	2880	6.9
2007	Louisiana	Catahoula Parish	22025	55	2419	2.3
2007	Louisiana	Claiborne Parish	22027	460	4162	11.1
2007	Louisiana	Concordia Parish	22029	243	5640	4.3
2007	Louisiana	De Soto Parish	22031	447	6139	7.3
2007	Louisiana	East Baton Rouge Parish	22033	898	262198	0.3
2007	Louisiana	Evangeline Parish	22039	12	8006	0.1
2007	Louisiana	Grant Parish	22043	4	3145	0.1
2007	Louisiana	Iberia Parish	22045	3133	34550	9.1
2007	Louisiana	Iberville Parish	22047	140	14158	1.0
2007	Louisiana	Jefferson Parish	22051	2129	198071	1.1
2007	Louisiana	Jefferson Davis Parish	22053	260	8700	3.0
2007	Louisiana	Lafayette Parish	22055	15890	134549	11.8
2007	Louisiana	Lafourche Parish	22057	899	36927	2.4
2007	Louisiana	LaSalle Parish	22059	343	4029	8.5
2007	Louisiana	Lincoln Parish	22061	121	18198	0.7
2007	Louisiana	Livingston Parish	22063	133	22264	0.6
2007	Louisiana	Orleans Parish	22071	3659	165383	2.2
2007	Louisiana	Ouachita Parish	22073	150	71050	0.2
2007	Louisiana	Plaquemines Parish	22075	1640	14456	11.3
2007	Louisiana	Rapides Parish	22079	119	60956	0.2
2007	Louisiana	Red River Parish	22081	52	2294	2.3
2007	Louisiana	Richland Parish	22083	29	6098	0.5
2007	Louisiana	Sabine Parish	22085	39	5546	0.7
2007	Louisiana	St. John the Baptist Parish	22095	434	14812	2.9
2007	Louisiana	St. Landry Parish	22097	422	24739	1.7
2007	Louisiana	St. Mary Parish	22101	1193	27770	4.3
2007	Louisiana	St. Tammany Parish	22103	289	75194	0.4
2007	Louisiana	Tangipahoa Parish	22105	126	42647	0.3
2007	Louisiana	Terrebonne Parish	22109	5924	57676	10.3
2007	Louisiana	Vermilion Parish	22113	1035	13723	7.5
2007	Louisiana	Washington Parish	22117	87	10935	0.8
2007	Louisiana	Webster Parish	22119	528	13462	3.9
2007	Louisiana	Winn Parish	22127	67	5197	1.3
2007	Maine		23000	109	602321	0.0
2007	Maine	Hancock County	23009	13	22776	0.1
2007	Maine	Oxford County	23017	19	17859	0.1
2007	Maine	York County	23031	26	68232	0.0
2007	Maryland		24000	1652	2547351	0.1
2007	Maryland	Anne Arundel County	24003	66	232880	0.0
2007	Maryland	Baltimore County	24005	95	376757	0.0
2007	Maryland	Cecil County	24015	162	30763	0.5
2007	Maryland	Garrett County	24023	369	11863	3.1
2007	Maryland	Harford County	24025	32	83589	0.0
2007	Maryland	Montgomery County	24031	348	459387	0.1
2007	Maryland	"Prince George's County"	24033	168	315864	0.1
2007	Maryland	Washington County	24043	68	66780	0.1
2007	Maryland	Worcester County	24047	5	24533	0.0
2007	Massachusetts		25000	1483	3234357	0.0
2007	Massachusetts	Berkshire County	25003	107	62757	0.2
2007	Massachusetts	Bristol County	25005	81	219350	0.0
2007	Massachusetts	Essex County	25009	69	298196	0.0
2007	Massachusetts	Hampden County	25013	85	198708	0.0
2007	Massachusetts	Hampshire County	25015	33	58900	0.1
2007	Massachusetts	Middlesex County	25017	417	813687	0.1
2007	Massachusetts	Norfolk County	25021	72	324398	0.0
2007	Massachusetts	Plymouth County	25023	271	176788	0.2
2007	Massachusetts	Worcester County	25027	234	320847	0.1
2007	Michigan		26000	6219	4179122	0.1
2007	Michigan	Allegan County	26005	173	34864	0.5
2007	Michigan	Alpena County	26007	37	11587	0.3
2007	Michigan	Antrim County	26009	8	5928	0.1
2007	Michigan	Arenac County	26011	33	5185	0.6
2007	Michigan	Bay County	26017	16	36858	0.0
2007	Michigan	Berrien County	26021	123	62547	0.2
2007	Michigan	Clare County	26035	4	6812	0.1
2007	Michigan	Crawford County	26039	17	4112	0.4
2007	Michigan	Delta County	26041	11	14586	0.1
2007	Michigan	Eaton County	26045	32	31607	0.1
2007	Michigan	Genesee County	26049	14	142766	0.0
2007	Michigan	Grand Traverse County	26055	316	47032	0.7
2007	Michigan	Gratiot County	26057	9	13602	0.1
2007	Michigan	Hillsdale County	26059	13	13183	0.1
2007	Michigan	Ingham County	26065	216	161082	0.1
2007	Michigan	Iosco County	26069	55	7624	0.7
2007	Michigan	Isabella County	26073	343	30504	1.1
2007	Michigan	Jackson County	26075	38	55658	0.1
2007	Michigan	Kalamazoo County	26077	31	115863	0.0
2007	Michigan	Kalkaska County	26079	350	3824	9.2
2007	Michigan	Kent County	26081	129	337199	0.0
2007	Michigan	Lapeer County	26087	76	20859	0.4
2007	Michigan	Livingston County	26093	38	47628	0.1
2007	Michigan	Manistee County	26101	32	7731	0.4
2007	Michigan	Marquette County	26103	1396	28167	5.0
2007	Michigan	Montcalm County	26117	11	15356	0.1
2007	Michigan	Montmorency County	26119	28	2169	1.3
2007	Michigan	Newaygo County	26123	7	10844	0.1
2007	Michigan	Oakland County	26125	188	692350	0.0
2007	Michigan	Ogemaw County	26129	27	6389	0.4
2007	Michigan	Otsego County	26137	297	10831	2.7
2007	Michigan	Ottawa County	26139	106	109724	0.1
2007	Michigan	St. Clair County	26147	5	49081	0.0
2007	Michigan	Sanilac County	26151	73	11340	0.6
2007	Michigan	Schoolcraft County	26153	132	2756	4.8
2007	Michigan	Shiawassee County	26155	55	16816	0.3
2007	Michigan	Tuscola County	26157	31	12089	0.3
2007	Michigan	Washtenaw County	26161	12	190766	0.0
2007	Michigan	Wayne County	26163	487	747548	0.1
2007	Michigan	Wexford County	26165	21	14387	0.1
2007	Minnesota		27000	5225	2687482	0.2
2007	Minnesota	Carlton County	27017	10	13285	0.1
2007	Minnesota	Dakota County	27037	149	176132	0.1
2007	Minnesota	Freeborn County	27047	5	12799	0.0
2007	Minnesota	Hennepin County	27053	51	847849	0.0
2007	Minnesota	Kanabec County	27065	26	3794	0.7
2007	Minnesota	Meeker County	27093	15	6857	0.2
2007	Minnesota	Mille Lacs County	27095	14	9866	0.1
2007	Minnesota	Morrison County	27097	13	11349	0.1
2007	Minnesota	Murray County	27101	18	2749	0.7
2007	Minnesota	Olmsted County	27109	11	90821	0.0
2007	Minnesota	Otter Tail County	27111	25	21823	0.1
2007	Minnesota	Polk County	27119	53	12422	0.4
2007	Minnesota	Rice County	27131	38	22850	0.2
2007	Minnesota	St. Louis County	27137	2840	96784	2.9
2007	Minnesota	Scott County	27139	81	42827	0.2
2007	Minnesota	Stearns County	27145	120	81878	0.1
2007	Minnesota	Washington County	27163	53	74191	0.1
2007	Mississippi		28000	6178	1135336	0.5
2007	Mississippi	Adams County	28001	483	12203	4.0
2007	Mississippi	Clarke County	28023	142	3005	4.7
2007	Mississippi	Copiah County	28029	107	7776	1.4
2007	Mississippi	Covington County	28031	10	5128	0.2
2007	Mississippi	DeSoto County	28033	24	46156	0.1
2007	Mississippi	Forrest County	28035	37	37132	0.1
2007	Mississippi	Greene County	28041	16	2064	0.8
2007	Mississippi	Hinds County	28049	263	128112	0.2
2007	Mississippi	Jackson County	28059	54	49617	0.1
2007	Mississippi	Jasper County	28061	103	4282	2.4
2007	Mississippi	Jefferson Davis County	28065	73	2057	3.5
2007	Mississippi	Jones County	28067	1658	30479	5.4
2007	Mississippi	Lamar County	28073	51	18168	0.3
2007	Mississippi	Lawrence County	28077	8	2738	0.3
2007	Mississippi	Lincoln County	28085	175	11832	1.5
2007	Mississippi	Lowndes County	28087	50	25766	0.2
2007	Mississippi	Madison County	28089	106	42597	0.2
2007	Mississippi	Marion County	28091	138	7722	1.8
2007	Mississippi	Monroe County	28095	115	10531	1.1
2007	Mississippi	Panola County	28107	21	11020	0.2
2007	Mississippi	Pike County	28113	39	15496	0.3
2007	Mississippi	Rankin County	28121	191	56492	0.3
2007	Mississippi	Smith County	28129	10	3246	0.3
2007	Mississippi	Tippah County	28139	61	7102	0.9
2007	Mississippi	Walthall County	28147	6	3021	0.2
2007	Mississippi	Wayne County	28153	174	5567	3.1
2007	Missouri		29000	5477	2719380	0.2
2007	Missouri	Barry County	29009	43	15570	0.3
2007	Missouri	Bates County	29013	33	3717	0.9
2007	Missouri	Boone County	29019	68	82572	0.1
2007	Missouri	Callaway County	29027	100	14549	0.7
2007	Missouri	Cape Girardeau County	29031	77	41957	0.2
2007	Missouri	Cass County	29037	131	22786	0.6
2007	Missouri	Clay County	29047	61	89901	0.1
2007	Missouri	Franklin County	29071	63	37622	0.2
2007	Missouri	Howell County	29091	38	15824	0.2
2007	Missouri	Jackson County	29095	44	368850	0.0
2007	Missouri	Jasper County	29097	107	58528	0.2
2007	Missouri	Lincoln County	29113	82	10948	0.7
2007	Missouri	Montgomery County	29139	10	3266	0.3
2007	Missouri	Newton County	29145	20	19641	0.1
