"Value Added by Industry as a Percentage of Gross Domestic Product"
"[Percent]" 
"Bureau of Economic Analysis" 
"Release Date: November 13, 2014"
"Line","","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"    47","    Other transportation and support activities",0.7,0.7,0.6,0.7,0.6,0.6,0.7,0.7,0.6
"    48","    Warehousing and storage",0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
"    49","  Information",4.9,4.7,4.9,5.0,4.9,4.9,4.7,4.6,4.6
"    50","    Publishing industries, except internet (includes software)",1.3,1.2,1.3,1.3,1.2,1.2,1.2,1.2,1.2
"    51","    Motion picture and sound recording industries",0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.7
"    52","    Broadcasting and telecommunications",2.6,2.5,2.6,2.6,2.6,2.5,2.3,2.3,2.3
"    53","    Data processing, internet publishing, and other information services",0.5,0.6,0.4,0.5,0.5,0.5,0.5,0.4,0.5
"    54","  Finance, insurance, real estate, rental, and leasing",20.2,20.0,19.9,19.1,19.9,19.7,19.7,19.9,20.2
"    55","    Finance and insurance",7.6,7.6,7.2,6.2,6.7,6.7,6.7,7.0,7.2
"    56","      Federal Reserve banks, credit intermediation, and related activities",3.3,3.2,2.9,2.8,2.8,2.7,2.8,2.9,3.1
"    57","      Securities, commodity contracts, and investments",1.5,1.6,1.4,0.8,1.3,1.3,1.2,1.4,1.3
"    58","      Insurance carriers and related activities",2.6,2.6,2.7,2.3,2.5,2.4,2.4,2.5,2.5
"    59","      Funds, trusts, and other financial vehicles",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3
"    60","    Real estate and rental and leasing",12.6,12.4,12.7,12.9,13.2,13.0,13.0,12.9,13.0
"    61","      Real estate",11.5,11.2,11.5,11.7,12.1,11.9,11.9,11.8,11.9
"    62","        Housing",9.4,9.4,9.4,9.7,10.2,9.9,9.8,9.7,9.7
"    63","        Other real estate",2.1,1.8,2.2,2.0,1.9,2.0,2.1,2.2,2.2
"    64","      Rental and leasing services and lessors of intangible assets",1.1,1.2,1.1,1.2,1.1,1.1,1.1,1.1,1.1
"    65","  Professional and business services",11.0,11.1,11.4,11.9,11.5,11.6,11.7,11.9,11.8
"    66","    Professional, scientific, and technical services",6.4,6.5,6.7,7.2,6.9,6.8,6.9,7.0,6.9
"    67","      Legal services",1.5,1.5,1.5,1.6,1.5,1.4,1.4,1.4,1.3
"    68","      Computer systems design and related services",1.0,1.1,1.2,1.2,1.3,1.3,1.3,1.4,1.4
"    69","      Miscellaneous professional, scientific, and technical services",3.9,4.0,4.0,4.3,4.2,4.2,4.2,4.2,4.1
"    70","    Management of companies and enterprises",1.7,1.7,1.8,1.8,1.7,1.8,1.8,1.9,1.9
"    71","    Administrative and waste management services",2.9,2.9,3.0,3.0,2.9,2.9,2.9,3.0,3.0
"    72","      Administrative and support services",2.6,2.7,2.7,2.7,2.6,2.6,2.7,2.7,2.7
"    73","      Waste management and remediation services",0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3
"    74","  Educational services, health care, and social assistance",7.3,7.3,7.4,7.8,8.4,8.3,8.3,8.3,8.2
"    75","    Educational services",0.9,0.9,1.0,1.0,1.1,1.1,1.1,1.1,1.1
"    76","    Health care and social assistance",6.3,6.4,6.4,6.8,7.3,7.2,7.2,7.1,7.1
"    77","      Ambulatory health care services",3.0,3.1,3.1,3.2,3.5,3.5,3.5,3.5,3.4
"    78","      Hospitals",2.0,2.0,2.0,2.2,2.4,2.3,2.3,2.3,2.3
"    79","      Nursing and residential care facilities",0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8
"    80","      Social assistance",0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
"    81","  Arts, entertainment, recreation, accommodation, and food services",3.7,3.7,3.7,3.6,3.6,3.6,3.6,3.7,3.7
"    82","    Arts, entertainment, and recreation",0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"    83","      Performing arts, spectator sports, museums, and related activities",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"    84","      Amusements, gambling, and recreation industries",0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
"    85","    Accommodation and food services",2.7,2.7,2.7,2.7,2.7,2.6,2.7,2.7,2.7
"    86","      Accommodation",0.8,0.8,0.9,0.8,0.7,0.7,0.8,0.8,0.8
"    87","      Food services and drinking places",1.9,1.9,1.9,1.8,1.9,1.9,1.9,1.9,1.9
"    88","  Other services, except government",2.4,2.4,2.3,2.2,2.3,2.2,2.2,2.2,2.2
"    89","Government",13.2,13.1,13.2,13.6,14.3,14.3,14.0,13.6,13.2
"    90","  Federal",4.2,4.2,4.2,4.3,4.6,4.7,4.6,4.4,4.2
"    91","    General government",3.7,3.7,3.7,3.9,4.2,4.3,4.3,4.1,4.0
"    92","      National defense",2.3,2.3,2.3,2.4,2.6,2.6,2.6,2.5,2.4
"    93","      Nondefense",1.4,1.4,1.4,1.5,1.6,1.7,1.6,1.6,1.5
"    94","    Government enterprises",0.5,0.5,0.5,0.4,0.4,0.4,0.3,0.3,0.2
"    95","  State and local",9.0,8.9,9.0,9.3,9.7,9.6,9.4,9.1,9.0
"    96","    General government",8.3,8.2,8.4,8.7,9.0,8.9,8.7,8.4,8.3
"    97","    Government enterprises",0.7,0.7,0.6,0.7,0.7,0.7,0.7,0.7,0.7
"    98","Addenda:","","","","","","","","",""
"    99","    Private goods-producing industries [1]",20.7,21.0,20.9,20.5,18.9,19.1,19.7,19.7,19.8
"    100","    Private services-producing industries [2]",66.1,66.0,65.9,65.9,66.7,66.6,66.4,66.7,67.0
"    101","    Information-communications-technology-producing industries [3]",5.8,5.8,5.9,6.0,5.9,5.9,5.8,5.7,5.7
"Legend / Footnotes:"
"1. Consists of agriculture, forestry, fishing, and hunting; mining; construction; and manufacturing."
"2. Consists of utilities; wholesale trade; retail trade; transportation and warehousing; information; finance, insurance, real estate, rental, and leasing; professional and business services; educational services, health care, and social assistance; arts, entertainment, recreation, accommodation, and food services; and other services, except government."
"3. Consists of computer and electronic product manufacturing (excluding navigational, measuring, electromedical, and control instruments manufacturing); software publishers; broadcasting and telecommunications; data processing, hosting and related services; internet publishing and broadcasting and web search portals; and computer systems design and related services."
"Note. Detail may not add to total due to rounding."
