Fiscal Year,Land Class,Revenue Type,Mineral Lease Type,Commodity,Product,Revenue
2007,Native American,Royalties,Cinders,Cinders,Cinders,"$6,549.00"
2007,Native American,Royalties,Coal,Coal,Coal-Bituminous-Raw,"$22,349.53"
2007,Native American,Royalties,Copper,Copper,Molybdenum Concentrate,"$23,605.00"
2007,Native American,Royalties,Oil & Gas,Gas,Gas Lost - Flared or Vented,"$70,008.46"
2007,Native American,Royalties,Oil & Gas,Gas,Helium,"$113,136.22"
2007,Native American,Royalties,Gypsum,Gypsum,Gypsum,"$516,710.20"
2007,Native American,Royalties,Copper,Copper,Copper,"$590,977.27"
2007,Native American,Royalties,Sand & Gravel,Sand & Gravel,Sand/Gravel-Cubic Yards,"$2,002,506.32"
2007,Native American,Royalties,Oil & Gas,Oil,Condensate,"$2,837,189.84"
2007,Native American,Royalties,Copper,Copper,Copper Concentrate,"$3,440,848.33"
2007,Native American,Royalties,Oil & Gas,NGL,Gas Plant Products,"$7,805,196.22"
2007,Native American,Royalties,Sand & Gravel,Sand & Gravel,Sand/Gravel,"$8,624,021.64"
2007,Native American,Royalties,Oil & Gas,Gas,Processed (Residue) Gas,"$13,401,982.86"
2007,Native American,Royalties,Coal,Coal,Coal,"$72,614,768.02"
2007,Native American,Royalties,Oil & Gas,Gas,Coal Bed Methane,"$72,872,808.40"
2007,Native American,Royalties,Oil & Gas,Oil,Oil,"$84,687,571.30"
2007,Native American,Royalties,Oil & Gas,Gas,Unprocessed (Wet) Gas,"$171,302,019.28"
2008,Native American,Other Revenues,Oil & Gas,Oil,Oil,"-$205,223.49"
2008,Native American,Other Revenues,Sand & Gravel,Sand & Gravel,,"-$116,769.65"
2008,Native American,Other Revenues,Oil & Gas,Gas,Unprocessed (Wet) Gas,"-$2,937.64"
2008,Native American,Other Revenues,Phosphate,Phosphate,,"$1,200.00"
2008,Native American,Other Revenues,,,,"$30,763.23"
2008,Native American,Other Revenues,Oil & Gas,NGL,Gas Plant Products,"$41,919.95"
2008,Native American,Other Revenues,Oil & Gas,Gas,Processed (Residue) Gas,"$54,065.14"
2008,Native American,Other Revenues,Oil & Gas,Oil,Condensate,"$71,657.82"
2008,Native American,Other Revenues,Gypsum,Gypsum,,"$146,032.95"
2008,Native American,Other Revenues,Copper,Copper,,"$1,825,761.70"
2008,Native American,Other Revenues,Coal,Coal,,"$7,670,538.42"
2008,Native American,Other Revenues,Oil & Gas,Oil & Gas,,"$8,379,048.16"
2008,Native American,Rents,Coal,Coal,,"-$5,009.92"
2008,Native American,Rents,Gypsum,Gypsum,,$15.00
2008,Native American,Rents,Phosphate,Phosphate,,$200.00
2008,Native American,Rents,Sand & Gravel,Sand & Gravel,,"$4,861.68"
2008,Native American,Rents,Mining-Unspecified,Mining-Unspecified,,"$7,150.00"
2008,Native American,Rents,Copper,Copper,,"$20,900.00"
2008,Native American,Rents,Oil & Gas,Oil & Gas,,"$932,433.84"
2008,Native American,Royalties,Oil & Gas,Oil,Inlet Scrubber,"-$16,935.92"
2008,Native American,Royalties,Oil & Gas,Gas,Fuel Gas,$45.45
2008,Native American,Royalties,Phosphate,Phosphate,Ferro Phosphorous Slag,"$1,951.71"
2008,Native American,Royalties,Cinders,Cinders,Cinders,"$8,607.39"
2008,Native American,Royalties,Sand & Gravel,Sand & Gravel,Sand/Gravel-Cubic Yards,"$16,543.00"
2008,Native American,Royalties,Copper,Copper,Copper,"$28,430.70"
2008,Native American,Royalties,Oil & Gas,Gas,Gas Lost - Flared or Vented,"$79,545.96"
2008,Native American,Royalties,Oil & Gas,Gas,Helium,"$96,688.40"
2008,Native American,Royalties,Oil & Gas,Oil,Drip or Scrubber Condensate,"$142,709.46"
2008,Native American,Royalties,Copper,Copper,Copper Concentrate,"$717,775.24"
2008,Native American,Royalties,Gypsum,Gypsum,Gypsum,"$985,597.37"
2008,Native American,Royalties,Oil & Gas,Oil,Condensate,"$4,707,025.34"
2008,Native American,Royalties,Sand & Gravel,Sand & Gravel,Sand/Gravel,"$4,979,275.61"
2008,Native American,Royalties,Oil & Gas,NGL,Gas Plant Products,"$21,171,996.88"
2008,Native American,Royalties,Oil & Gas,Gas,Processed (Residue) Gas,"$32,832,571.31"
2008,Native American,Royalties,Coal,Coal,Coal,"$79,463,027.34"
2008,Native American,Royalties,Oil & Gas,Gas,Coal Bed Methane,"$93,525,158.84"
2008,Native American,Royalties,Oil & Gas,Oil,Oil,"$139,284,576.92"
2008,Native American,Royalties,Oil & Gas,Gas,Unprocessed (Wet) Gas,"$158,261,159.32"
2009,Native American,Other Revenues,Oil & Gas,Oil,Oil,"-$106,238.27"
2009,Native American,Other Revenues,Oil & Gas,Gas,Unprocessed (Wet) Gas,"-$8,126.32"
2009,Native American,Other Revenues,Phosphate,Phosphate,,"$1,200.00"
2009,Native American,Other Revenues,Gypsum,Gypsum,,"$17,008.36"
2009,Native American,Other Revenues,Oil & Gas,NGL,Gas Plant Products,"$17,632.29"
2009,Native American,Other Revenues,Oil & Gas,Gas,Processed (Residue) Gas,"$23,095.50"
2009,Native American,Other Revenues,Oil & Gas,Oil,Condensate,"$31,503.73"
2009,Native American,Other Revenues,Sand & Gravel,Sand & Gravel,,"$141,419.75"
2009,Native American,Other Revenues,Copper,Copper,,"$2,100,000.00"
2009,Native American,Other Revenues,Coal,Coal,,"$5,321,959.42"
2009,Native American,Other Revenues,Oil & Gas,Oil & Gas,,"$10,973,760.39"
2009,Native American,Rents,Oil & Gas,Oil,,$27.58
2009,Native American,Rents,Phosphate,Phosphate,,$200.00
2009,Native American,Rents,Gypsum,Gypsum,,"$1,040.00"
2009,Native American,Rents,Copper,Copper,,"$8,168.74"
2009,Native American,Rents,Coal,Coal,,"$29,219.92"
2009,Native American,Rents,Sand & Gravel,Sand & Gravel,,"$182,069.74"
2009,Native American,Rents,Oil & Gas,Oil & Gas,,"$942,218.85"
2009,Native American,Royalties,Sand & Gravel,Sand & Gravel,Sand/Gravel-Cubic Yards,"-$100,532.33"
2009,Native American,Royalties,Oil & Gas,Gas,Helium,"-$7,851.70"
2009,Native American,Royalties,Oil & Gas,Gas,Fuel Gas,-$593.42
2009,Native American,Royalties,Oil & Gas,Oil,Other Liquid Hydrocarbons,$91.22
2009,Native American,Royalties,Cinders,Cinders,Cinders,"$7,678.16"
2009,Native American,Royalties,Oil & Gas,Gas,Gas Lost - Flared or Vented,"$44,481.21"
2009,Native American,Royalties,Coal,Coal,Coal-Bituminous-Raw,"$86,682.41"
2009,Native American,Royalties,Oil & Gas,Oil,Drip or Scrubber Condensate,"$113,137.28"
2009,Native American,Royalties,Copper,Copper,Molybdenum Concentrate,"$471,694.16"
2009,Native American,Royalties,Gypsum,Gypsum,Gypsum,"$474,097.60"
2009,Native American,Royalties,Sand & Gravel,Sand & Gravel,Sand/Gravel,"$1,556,994.95"
2009,Native American,Royalties,Oil & Gas,Oil,Condensate,"$2,499,363.39"
2009,Native American,Royalties,Oil & Gas,NGL,Gas Plant Products,"$9,159,964.43"
2009,Native American,Royalties,Oil & Gas,Gas,Processed (Residue) Gas,"$15,520,763.98"
2009,Native American,Royalties,Copper,Copper,Copper Concentrate,"$36,092,331.21"
2009,Native American,Royalties,Oil & Gas,Gas,Coal Bed Methane,"$66,230,801.50"
2009,Native American,Royalties,Oil & Gas,Oil,Oil,"$82,826,312.73"
2009,Native American,Royalties,Oil & Gas,Gas,Unprocessed (Wet) Gas,"$84,575,926.41"
2009,Native American,Royalties,Coal,Coal,Coal,"$86,433,117.13"
2010,Native American,Other Revenues,Oil & Gas,Oil,Oil,"-$138,559.72"
2010,Native American,Other Revenues,Gypsum,Gypsum,,"-$112,112.01"
2010,Native American,Other Revenues,Sand & Gravel,Sand & Gravel,,"-$76,790.53"
2010,Native American,Other Revenues,Oil & Gas,Gas,Unprocessed (Wet) Gas,"-$6,862.87"
2010,Native American,Other Revenues,Oil & Gas,Gas,Carbon Dioxide Gas (CO2),-$3.91
2010,Native American,Other Revenues,Oil & Gas,Gas,Fuel Gas,$74.06
2010,Native American,Other Revenues,Phosphate,Phosphate,,"$1,200.00"
2010,Native American,Other Revenues,Oil & Gas,Oil,Condensate,"$32,831.42"
2010,Native American,Other Revenues,Oil & Gas,NGL,Gas Plant Products,"$48,793.65"
2010,Native American,Other Revenues,Oil & Gas,Gas,Coal Bed Methane,"$53,877.93"
2010,Native American,Other Revenues,Oil & Gas,Gas,Processed (Residue) Gas,"$71,108.38"
2010,Native American,Other Revenues,Copper,Copper,,"$1,744,715.61"
2010,Native American,Other Revenues,Coal,Coal,,"$4,302,760.62"
2010,Native American,Other Revenues,Oil & Gas,Oil & Gas,,"$12,010,398.05"
2010,Native American,Rents,Sand & Gravel,Sand & Gravel,,"-$25,138.32"
2010,Native American,Rents,Phosphate,Phosphate,,$200.00
2010,Native American,Rents,Gypsum,Gypsum,,"$1,070.00"
2010,Native American,Rents,Copper,Copper,,"$6,174.37"
2010,Native American,Rents,Coal,Coal,,"$78,935.92"
2010,Native American,Rents,Oil & Gas,Oil & Gas (Non Royalty),,"$1,126,942.43"
2010,Native American,Royalties,Copper,Copper,Molybdenum Concentrate,"-$160,101.91"
2010,Native American,Royalties,Oil & Gas,Oil,Inlet Scrubber,-$923.35
2010,Native American,Royalties,Oil & Gas,Gas,Helium,-$94.42
2010,Native American,Royalties,Oil & Gas,Gas,Carbon Dioxide Gas (CO2),-$54.33
2010,Native American,Royalties,Oil & Gas,,,$7.71
2010,Native American,Royalties,Cinders,Cinders,Cinders,"$8,074.15"
2010,Native American,Royalties,Sand & Gravel,Sand & Gravel,Sand/Gravel-Cubic Yards,"$8,780.00"
2010,Native American,Royalties,Oil & Gas,Gas,Gas Lost - Flared or Vented,"$35,654.14"
2010,Native American,Royalties,Coal,Coal,Coal-Bituminous-Raw,"$41,030.33"
2010,Native American,Royalties,Oil & Gas,Oil,Drip or Scrubber Condensate,"$47,652.40"
2010,Native American,Royalties,Oil & Gas,Gas,Fuel Gas,"$80,715.66"
2010,Native American,Royalties,Gypsum,Gypsum,Gypsum,"$390,731.68"
2010,Native American,Royalties,Sand & Gravel,Sand & Gravel,Sand/Gravel,"$1,711,275.41"
2010,Native American,Royalties,Oil & Gas,Oil,Condensate,"$2,113,726.75"
2010,Native American,Royalties,Oil & Gas,Gas,Unprocessed (Wet) Gas,"$7,092,130.47"
2010,Native American,Royalties,Oil & Gas,NGL,Gas Plant Products,"$15,359,860.00"
2010,Native American,Royalties,Oil & Gas,Gas,Processed (Residue) Gas,"$24,610,784.76"
2010,Native American,Royalties,Copper,Copper,Copper Concentrate,"$26,412,520.89"
2010,Native American,Royalties,Coal,Coal,Coal,"$66,779,599.59"
2010,Native American,Royalties,Oil & Gas,Gas,Coal Bed Methane,"$115,677,479.44"
2010,Native American,Royalties,Oil & Gas,Oil,Oil,"$131,924,136.53"
2011,Native American,Bonus,Oil & Gas,Oil & Gas (Non Royalty),,"$17,481.15"
2011,Native American,Other Revenues,Oil & Gas,Oil,Oil,"-$156,742.84"
2011,Native American,Other Revenues,Oil & Gas,Gas,Unprocessed (Wet) Gas,"-$6,478.98"
2011,Native American,Other Revenues,Oil & Gas,Oil,Other Liquid Hydrocarbons,-$3.18
2011,Native American,Other Revenues,Phosphate,Phosphate,,"$1,200.00"
2011,Native American,Other Revenues,Gypsum,Gypsum,,"$11,478.42"
2011,Native American,Other Revenues,Oil & Gas,Oil,Condensate,"$40,409.16"
2011,Native American,Other Revenues,Oil & Gas,NGL,Gas Plant Products,"$61,324.51"
2011,Native American,Other Revenues,Oil & Gas,Gas,Processed (Residue) Gas,"$85,103.58"
2011,Native American,Other Revenues,Oil & Gas,Gas,Coal Bed Methane,"$123,524.92"
2011,Native American,Other Revenues,Sand & Gravel,Sand & Gravel,,"$161,704.00"
2011,Native American,Other Revenues,Copper,Copper,,"$1,300,000.00"
2011,Native American,Other Revenues,Coal,Coal,,"$6,382,381.14"
2011,Native American,Other Revenues,Oil & Gas,Oil & Gas,,"$18,587,532.53"
2011,Native American,Rents,Phosphate,Phosphate,,$200.00
2011,Native American,Rents,Gypsum,Gypsum,,"$1,055.00"
2011,Native American,Rents,Copper,Copper,,"$4,180.00"
2011,Native American,Rents,Sand & Gravel,Sand & Gravel,,"$75,100.00"
2011,Native American,Rents,Coal,Coal,,"$93,248.44"
2011,Native American,Rents,Oil & Gas,Oil & Gas (Non Royalty),,"$1,551,957.42"
2011,Native American,Royalties,Oil & Gas,Oil,Other Liquid Hydrocarbons,$44.82
2011,Native American,Royalties,Sand & Gravel,Sand & Gravel,Sand/Gravel-Cubic Yards,"$9,180.00"
2011,Native American,Royalties,Cinders,Cinders,Cinders,"$10,446.77"
2011,Native American,Royalties,Coal,Coal,Coal-Bituminous-Raw,"$39,335.92"
2011,Native American,Royalties,Oil & Gas,Gas,Gas Lost - Flared or Vented,"$45,685.01"
2011,Native American,Royalties,Oil & Gas,Gas,Fuel Gas,"$97,573.71"
2011,Native American,Royalties,Gypsum,Gypsum,Gypsum,"$395,225.30"
2011,Native American,Royalties,Oil & Gas,Oil,Drip or Scrubber Condensate,"$448,054.02"
2011,Native American,Royalties,Sand & Gravel,Sand & Gravel,Sand/Gravel,"$1,017,022.51"
2011,Native American,Royalties,Oil & Gas,Oil,Condensate,"$5,173,651.02"
2011,Native American,Royalties,Copper,Copper,Copper Concentrate,"$13,748,588.84"
2011,Native American,Royalties,Oil & Gas,NGL,Gas Plant Products,"$17,998,180.40"
2011,Native American,Royalties,Oil & Gas,Gas,Processed (Residue) Gas,"$20,311,491.16"
2011,Native American,Royalties,Oil & Gas,Gas,Unprocessed (Wet) Gas,"$47,535,831.87"
2011,Native American,Royalties,Coal,Coal,Coal,"$74,411,884.03"
2011,Native American,Royalties,Oil & Gas,Gas,Coal Bed Methane,"$76,709,588.83"
2011,Native American,Royalties,Oil & Gas,Oil,Oil,"$264,984,173.10"
2012,Native American,Other Revenues,Gypsum,Gypsum,,"-$9,340.25"
2012,Native American,Other Revenues,Oil & Gas,Gas,Unprocessed (Wet) Gas,"-$7,075.68"
2012,Native American,Other Revenues,Phosphate,Phosphate,,"$1,200.00"
2012,Native American,Other Revenues,Oil & Gas,Gas,Processed (Residue) Gas,"$15,351.80"
2012,Native American,Other Revenues,Oil & Gas,NGL,Gas Plant Products,"$26,924.64"
