Year	State	Jobs	Total	Share
2005	HI	288	603668	0.0005
2005	ID	2164	614548	0.0035
2005	IL	9718	5748355	0.0017
2005	IN	6469	2873795	0.0023
2005	IA	2088	1446568	0.0014
2005	KS	7580	1305440	0.0058
2005	KY	20920	1757997	0.0119
2005	LA	42476	1841046	0.0231
2005	ME	114	594481	0.0002
2005	MD	1727	2497487	0.0007
2005	MA	1838	3159934	0.0006
2005	MI	6721	4297017	0.0016
2005	MN	5131	2640326	0.0019
2005	MS	4841	1111269	0.0044
2005	MO	5081	2664447	0.0019
2005	MT	6741	413460	0.0163
2005	NE	1366	892397	0.0015
2005	NV	10561	1215783	0.0087
2005	NH	562	620893	0.0009
2005	NJ	1676	3917397	0.0004
2005	NM	16860	778233	0.0217
2005	NY	4922	8348739	0.0006
2005	NC	3508	3856748	0.0009
2005	ND	4111	328097	0.0125
2005	OH	10790	5308808	0.0020
2005	OK	36129	1465969	0.0246
2005	OR	1995	1652773	0.0012
2005	PA	18863	5552301	0.0034
2005	RI	252	477420	0.0005
2005	SC	1522	1819217	0.0008
2005	SD	789	375707	0.0021
2005	TN	3219	2685491	0.0012
2005	TX	164304	9583457	0.0171
2005	UT	8472	1115375	0.0076
2005	VT	696	300919	0.0023
2005	VA	8756	3578558	0.0024
2005	WA	3300	2766451	0.0012
2005	WV	24869	695382	0.0358
2005	WI	2956	2744006	0.0011
2005	WY	22657	254418	0.0891
2006	AL	8311	1928281	0.0043
2006	AK	12247	307637	0.0398
2006	AZ	437	2614344	0.0002
2006	AZ	9716	2614344	0.0037
2006	AR	4921	1167925	0.0042
2006	CA	23929	15503144	0.0015
2006	CO	20680	2242012	0.0092
2006	CT	737	1672109	0.0004
2006	DE	64	422187	0.0002
2006	FL	4526	7952023	0.0006
2006	GA	6988	4024699	0.0017
2006	HI	285	618178	0.0005
2006	ID	2374	643671	0.0037
2006	IL	10115	5821022	0.0017
2006	IN	6565	2892419	0.0023
2006	IA	2139	1470742	0.0015
2006	KS	8731	1327677	0.0066
2006	KY	22451	1779202	0.0126
2006	LA	45830	1807563	0.0254
2006	ME	125	598525	0.0002
2006	MD	1794	2530011	0.0007
2006	MA	1718	3194914	0.0005
2006	MI	6484	4235650	0.0015
2006	MN	5158	2670222	0.0019
2006	MS	5815	1122474	0.0052
2006	MO	5206	2699860	0.0019
2006	MT	7296	426182	0.0171
2006	NE	1312	902383	0.0015
2006	NV	11515	1271634	0.0091
2006	NH	584	627371	0.0009
2006	NJ	1671	3951210	0.0004
2006	NM	18624	807063	0.0231
2006	NY	5239	8429519	0.0006
2006	NC	3720	3965479	0.0009
2006	ND	4669	335718	0.0139
2006	OH	10967	5314572	0.0021
2006	OK	41898	1507196	0.0278
2006	OR	2054	1699932	0.0012
2006	PA	19820	5607139	0.0035
2006	RI	259	480570	0.0005
2006	SC	1501	1855842	0.0008
2006	SD	785	383876	0.0020
2006	TN	3272	2728694	0.0012
2006	TX	184625	9922313	0.0186
2006	UT	10019	1170587	0.0086
2006	VT	724	303205	0.0024
2006	VA	9401	3636417	0.0026
2006	WA	3358	2850073	0.0012
2006	WV	26855	705189	0.0381
2006	WI	3022	2767141	0.0011
2006	WY	26502	266894	0.0993
2007	AL	8176	1952091	0.0042
2007	AK	13759	310810	0.0443
2007	AZ	11449	2647691	0.0043
2007	AR	6837	1173852	0.0058
2007	CA	24935	15640575	0.0016
2007	CO	25019	2292630	0.0109
2007	CT	715	1686043	0.0004
2007	DE	9	423412	0.0000
2007	FL	4711	7945162	0.0006
2007	GA	6861	4077184	0.0017
2007	HI	302	625862	0.0005
2007	ID	2653	660683	0.0040
2007	IL	9963	5869157	0.0017
2007	IN	6652	2905725	0.0023
2007	IA	2112	1485627	0.0014
2007	KS	9259	1356966	0.0068
2007	KY	21783	1801907	0.0121
2007	LA	48026	1868986	0.0257
2007	ME	109	602321	0.0002
2007	MD	1652	2547351	0.0006
2007	MA	1483	3234357	0.0005
2007	MI	6219	4179122	0.0015
2007	MN	5225	2687482	0.0019
2007	MS	6178	1135336	0.0054
2007	MO	5477	2719380	0.0020
2007	MT	7474	436656	0.0171
2007	NE	961	916580	0.0010
2007	NV	12089	1284502	0.0094
2007	NH	682	630204	0.0011
2007	NJ	1621	3961341	0.0004
2007	NM	19378	821484	0.0236
2007	NY	5434	8554012	0.0006
2007	NC	3975	4062955	0.0010
2007	ND	5099	341705	0.0149
2007	OH	11318	5306812	0.0021
2007	OK	46588	1534802	0.0304
2007	OR	2149	1727886	0.0012
2007	PA	20561	5652547	0.0036
2007	RI	255	480132	0.0005
2007	SC	1449	1891255	0.0008
2007	SD	848	392060	0.0022
2007	TN	3876	2745099	0.0014
2007	TX	205472	10231906	0.0201
2007	UT	11034	1219207	0.0091
2007	VT	723	303448	0.0024
2007	VA	9042	3672958	0.0025
2007	WA	3036	2925908	0.0010
2007	WV	27468	706172	0.0389
2007	WI	2839	2780924	0.0010
2007	WY	27346	277721	0.0985
2008	AL	8213	1936489	0.0042
2008	AK	15166	315285	0.0481
2008	AZ	13475	2583215	0.0052
2008	AR	8330	1172208	0.0071
2008	CA	26337	15494915	0.0017
2008	CO	28347	2310865	0.0123
2008	CT	732	1687902	0.0004
2008	FL	4461	7666374	0.0006
2008	GA	5796	4031467	0.0014
2008	HI	326	619703	0.0005
2008	ID	2762	653108	0.0042
2008	IL	9608	5841692	0.0016
2008	IN	6407	2872442	0.0022
2008	IA	2131	1490575	0.0014
2008	KS	9846	1366878	0.0072
2008	KY	23462	1791017	0.0131
2008	LA	52069	1890007	0.0275
2008	MD	1606	2537752	0.0006
2008	MA	1263	3245983	0.0004
2008	MI	6388	4070914	0.0016
2008	MN	5507	2679527	0.0021
2008	MS	6518	1131096	0.0058
2008	MO	4912	2715183	0.0018
2008	MT	7503	437591	0.0171
2008	NE	976	922929	0.0011
2008	NV	12198	1252987	0.0097
2008	NH	604	628763	0.0010
2008	NJ	1629	3934789	0.0004
2008	NM	21078	825736	0.0255
2008	NY	5550	8608351	0.0006
2008	NC	3804	4043486	0.0009
2008	ND	6793	350440	0.0194
2008	OH	11614	5235972	0.0022
2008	OK	52101	1550489	0.0336
2008	OR	1974	1713764	0.0012
2008	PA	21459	5658771	0.0038
2008	RI	221	469701	0.0005
2008	SC	1472	1876081	0.0008
2008	SD	927	397108	0.0023
2008	TN	3898	2721990	0.0014
2008	TX	228593	10452907	0.0219
2008	UT	12506	1221052	0.0102
2008	VT	734	302627	0.0024
2008	VA	9232	3665654	0.0025
2008	WA	2830	2950773	0.0010
2008	WV	30054	709657	0.0424
2008	WI	2605	2772889	0.0009
2008	WY	29267	286333	0.1022
2009	AL	7720	1829487	0.0042
2009	AK	14941	313802	0.0476
2009	AZ	344	2396362	0.0001
2009	AZ	11008	2396362	0.0046
2009	AR	8185	1134488	0.0072
2009	CA	23865	14629953	0.0016
2009	CO	24003	2201427	0.0109
2009	CT	628	1615356	0.0004
2009	FL	3720	7182815	0.0005
2009	GA	5002	3796429	0.0013
2009	HI	340	592171	0.0006
2009	ID	2171	613814	0.0035
2009	IL	9297	5551930	0.0017
2009	IN	6291	2705331	0.0023
2009	IA	2178	1445627	0.0015
2009	KS	8167	1317029	0.0062
2009	KY	23291	1710677	0.0136
2009	LA	48539	1849303	0.0262
2009	MD	1496	2461109	0.0006
2009	MA	1220	3135497	0.0004
2009	MI	5539	3775435	0.0015
2009	MN	4418	2569651	0.0017
2009	MS	5706	1081138	0.0053
2009	MO	4133	2607595	0.0016
2009	MT	6501	421566	0.0154
2009	NE	907	901470	0.0010
2009	NV	11622	1138036	0.0102
2009	NH	510	605004	0.0008
2009	NJ	1486	3771296	0.0004
2009	NM	17581	791509	0.0222
2009	NY	4761	8343862	0.0006
2009	NC	3403	3823299	0.0009
2009	ND	6955	349560	0.0199
2009	OH	11450	4943970	0.0023
2009	OK	43814	1497855	0.0293
2009	OR	1676	1607915	0.0010
2009	PA	21577	5468176	0.0039
2009	RI	194	448842	0.0004
2009	SC	1339	1765739	0.0008
2009	SD	836	389360	0.0021
2009	TN	3236	2565288	0.0013
2009	TX	202720	10149694	0.0200
2009	UT	10694	1157704	0.0092
2009	VT	649	292406	0.0022
2009	VA	8494	3545623	0.0024
2009	WA	2298	2836283	0.0008
2009	WV	28943	691998	0.0418
2009	WI	2297	2644190	0.0009
2009	WY	25466	274758	0.0927
2010	AL	7776	1813155	0.0043
2010	AK	15155	316691	0.0479
2010	AZ	262	2356789	0.0001
2010	AZ	10288	2356789	0.0044
2010	AR	8358	1134071	0.0074
2010	CA	24445	14414461	0.0017
2010	CO	24232	2176986	0.0111
2010	CT	571	1595713	0.0004
2010	FL	3632	7109630	0.0005
2010	GA	4929	3753934	0.0013
2010	HI	338	586772	0.0006
2010	ID	2290	605571	0.0038
2010	IL	9065	5502322	0.0016
2010	IN	6269	2709831	0.0023
2010	IA	2133	1436340	0.0015
2010	KS	8352	1297779	0.0064
2010	KY	21835	1712178	0.0128
2010	LA	49217	1832357	0.0269
2010	ME	179	577790	0.0003
2010	MD	1477	2453197	0.0006
2010	MA	1050	3149169	0.0003
2010	MI	5615	3770225	0.0015
2010	MN	5219	2558310	0.0020
2010	MS	5763	1074617	0.0054
2010	MO	4093	2573703	0.0016
2010	MT	6862	419231	0.0164
2010	NE	913	896936	0.0010
2010	NV	12214	1108238	0.0110
2010	NH	491	600697	0.0008
2010	NJ	1368	3735703	0.0004
2010	NM	18423	781694	0.0236
2010	NY	4624	8340732	0.0006
2010	NC	3008	3788581	0.0008
2010	ND	10660	358635	0.0297
2010	OH	10934	4908571	0.0022
2010	OK	43494	1485400	0.0293
2010	OR	1576	1598173	0.0010
2010	PA	26004	5472171	0.0048
2010	SC	1245	1758204	0.0007
2010	SD	818	389198	0.0021
2010	TN	3560	2558438	0.0014
2010	TX	204570	10182150	0.0201
2010	UT	10442	1150737	0.0091
2010	VT	595	293058	0.0020
2010	VA	8605	3536676	0.0024
2010	WA	2146	2808698	0.0008
2010	WV	29307	692448	0.0423
2010	WI	2221	2633572	0.0008
2010	WY	25098	271151	0.0926
2011	AL	8301	1813497	0.0046
2011	AK	15704	322084	0.0488
2011	AZ	268	2378248	0.0001
2011	AZ	11510	2378248	0.0048
2011	AR	9102	1139682	0.0080
2011	CA	26309	14567128	0.0018
2011	CO	27788	2213059	0.0126
2011	CT	542	1612292	0.0003
2011	FL	3877	7195232	0.0005
2011	GA	4794	3792209	0.0013
2011	HI	332	593668	0.0006
2011	ID	2575	607504	0.0042
2011	IL	9519	5566648	0.0017
2011	IN	6580	2755826	0.0024
2011	IA	2174	1452769	0.0015
2011	KS	9053	1303799	0.0069
2011	KY	22661	1734503	0.0131
2011	LA	50397	1848399	0.0273
2011	ME	203	579838	0.0004
2011	MD	1441	2478505	0.0006
2011	MA	1002	3189753	0.0003
2011	MI	5909	3854837	0.0015
2011	MN	5811	2602988	0.0022
2011	MS	6190	1076488	0.0058
2011	MO	4021	2585009	0.0016
2011	MT	7590	422726	0.0180
2011	NE	1027	901584	0.0011
2011	NV	13907	1115062	0.0125
2011	NH	495	605853	0.0008
2011	NJ	1304	3734660	0.0003
2011	NM	21247	781226	0.0272
2011	NY	4665	8444791	0.0006
2011	NC	3044	3838300	0.0008
2011	ND	16786	379432	0.0442
2011	OH	11411	4968724	0.0023
2011	OK	51262	1507558	0.0340
2011	OR	1601	1616634	0.0010
2011	PA	32538	5535283	0.0059
2011	SC	1234	1780690	0.0007
2011	SD	833	393744	0.0021
2011	TN	3603	2602604	0.0014
2011	TX	235407	10422295	0.0226
2011	UT	11659	1176530	0.0099
2011	VT	612	295512	0.0021
2011	VA	9068	3578848	0.0025
2011	WA	2142	2844622	0.0008
2011	WV	32960	701905	0.0470
2011	WI	2298	2664920	0.0009
2011	WY	27384	274743	0.0997
2012	AL	8595	1828248	0.0047
2012	AK	16692	327378	0.0510
2012	AZ	12559	2431788	0.0052
2012	AR	8710	1146811	0.0076
2012	CA	28066	14959808	0.0019
2012	CO	30224	2266503	0.0133
2012	CT	554	1627748	0.0003
2012	FL	3954	7341002	0.0005
2012	GA	4642	3841767	0.0012
2012	HI	298	605240	0.0005
2012	ID	2677	614463	0.0044
2012	IL	10096	5636918	0.0018
2012	IN	6736	2812347	0.0024
2012	IA	2195	1475884	0.0015
2012	KS	9982	1320285	0.0076
2012	KY	20299	1761043	0.0115
2012	LA	52141	1871037	0.0279
2012	MD	1531	2511669	0.0006
2012	MA	866	3242273	0.0003
2012	MI	6303	3935694	0.0016
2012	MN	6242	2644408	0.0024
2012	MS	6376	1085748	0.0059
2012	MO	3975	2607420	0.0015
2012	MT	8745	430315	0.0203
2012	NE	1127	920295	0.0012
2012	NV	15426	1132140	0.0136
2012	NH	500	612419	0.0008
2012	NJ	1248	3768935	0.0003
2012	NM	23988	785455	0.0305
2012	NY	4656	8563125	0.0005
2012	NC	3003	3907085	0.0008
2012	ND	24376	411709	0.0592
2012	OH	12239	5048166	0.0024
2012	OK	58059	1540292	0.0377
2012	OR	1591	1642434	0.0010
2012	PA	36094	5578414	0.0065
2012	RI	188	450711	0.0004
2012	SC	1194	1810150	0.0007
2012	SD	848	400475	0.0021
2012	TN	3427	2653392	0.0013
2012	TX	270032	10727642	0.0252
2012	UT	12553	1215983	0.0103
2012	VT	647	299519	0.0022
2012	VA	9028	3619176	0.0025
2012	WA	2083	2894703	0.0007
2012	WV	32747	710590	0.0461
2012	WI	2740	2695404	0.0010
2012	WY	27687	278595	0.0994
2013	AL	8002	1845086	0.0043
2013	AK	17080	328716	0.0520
2013	AZ	13281	2488009	0.0053
2013	AR	7581	1146274	0.0066
2013	CA	27895	15378962	0.0018
2013	CO	30437	2335803	0.0130
2013	CT	543	1640333	0.0003
2013	FL	3968	7518448	0.0005
2013	GA	4713	3918085	0.0012
2013	HI	255	618195	0.0004
2013	ID	2553	630328	0.0041
2013	IL	9660	5687541	0.0017
2013	IN	6692	2849311	0.0023
2013	IA	2228	1496426	0.0015
2013	KS	10463	1336948	0.0078
2013	KY	17216	1779777	0.0097
2013	LA	51624	1893823	0.0273
2013	ME	187	586525	0.0003
2013	MD	1347	2531656	0.0005
2013	MA	889	3295647	0.0003
2013	MI	6492	4018602	0.0016
2013	MN	6223	2691832	0.0023
2013	MS	6229	1093581	0.0057
2013	MO	3951	2637273	0.0015
2013	MT	8860	436867	0.0203
2013	NE	1052	932768	0.0011
2013	NV	15331	1160115	0.0132
2013	NH	531	618781	0.0009
2013	NJ	1314	3812940	0.0003
2013	NM	26010	791804	0.0328
2013	NY	4394	8685758	0.0005
2013	NC	2961	3974937	0.0007
2013	ND	26196	427108	0.0613
2013	OH	12188	5110011	0.0024
2013	OK	59496	1560799	0.0381
2013	OR	1528	1678726	0.0009
2013	PA	35184	5596841	0.0063
2013	SC	1142	1846621	0.0006
2013	SD	847	404652	0.0021
2013	TN	3423	2694288	0.0013
2013	TX	289610	11031907	0.0263
2013	UT	12108	1254582	0.0097
2013	VT	621	301586	0.0021
2013	VA	8075	3640209	0.0022
2013	WA	2103	2960123	0.0007
2013	WV	30947	703916	0.0440
2013	WI	2997	2721960	0.0011
2013	WY	26613	279748	0.0951
